# event_ticker=KXATPCHALLENGERMATCH-26MAR31DAMSHE
# final_score=3-6 6-3 6-1
# score_resolution=6-3 3-6 1-6
# match_winner=Miguel Damas
# fav_player=Abdullah Shelbayh
# dog_player=Miguel Damas
# kalshi_date=2026-03-31
timestamp,Abdullah Shelbayh,Miguel Damas
2026-04-01T01:11:00Z,,60.00
2026-04-01T02:16:00Z,41.00,60.00
2026-04-01T02:41:00Z,41.00,60.00
2026-04-01T03:41:00Z,41.00,58.00
2026-04-01T03:52:00Z,41.00,58.00
2026-04-01T04:40:00Z,41.00,58.00
2026-04-01T04:41:00Z,40.00,58.00
2026-04-01T04:46:00Z,39.00,58.00
2026-04-01T05:02:00Z,39.00,58.00
2026-04-01T05:32:00Z,39.00,58.00
2026-04-01T05:36:00Z,39.00,58.00
2026-04-01T05:39:00Z,39.00,58.00
2026-04-01T05:49:00Z,39.00,61.00
2026-04-01T06:01:00Z,39.00,61.00
2026-04-01T07:39:00Z,40.00,61.00
2026-04-01T07:47:00Z,40.00,61.00
2026-04-01T08:32:00Z,40.00,59.00
2026-04-01T09:22:00Z,40.00,59.00
2026-04-01T09:50:00Z,40.00,59.00
2026-04-01T10:21:00Z,40.00,59.00
2026-04-01T10:46:00Z,40.00,60.00
2026-04-01T10:53:00Z,40.00,60.00
2026-04-01T10:57:00Z,40.00,60.00
2026-04-01T11:09:00Z,40.00,60.00
2026-04-01T11:19:00Z,40.00,60.00
2026-04-01T11:26:00Z,40.00,60.00
2026-04-01T12:01:00Z,41.00,60.00
2026-04-01T12:02:00Z,41.00,60.00
2026-04-01T12:06:00Z,41.00,60.00
2026-04-01T12:08:00Z,41.00,60.00
2026-04-01T12:10:00Z,41.00,60.00
2026-04-01T12:11:00Z,41.00,60.00
2026-04-01T12:12:00Z,41.00,60.00
2026-04-01T12:17:00Z,41.00,60.00
2026-04-01T12:32:00Z,42.97,61.00
2026-04-01T12:33:00Z,42.79,60.00
2026-04-01T12:37:00Z,42.79,61.00
2026-04-01T12:38:00Z,42.79,61.00
2026-04-01T12:39:00Z,43.00,61.00
2026-04-01T12:41:00Z,43.00,60.38
2026-04-01T12:42:00Z,43.00,61.00
2026-04-01T12:43:00Z,43.00,61.00
2026-04-01T12:44:00Z,43.00,61.00
2026-04-01T12:45:00Z,43.00,61.00
2026-04-01T12:46:00Z,43.00,61.00
2026-04-01T12:47:00Z,43.00,61.00
2026-04-01T12:48:00Z,46.53,56.29
2026-04-01T12:49:00Z,46.74,55.39
2026-04-01T12:50:00Z,53.75,53.26
2026-04-01T12:51:00Z,44.37,55.54
2026-04-01T12:52:00Z,41.46,63.17
2026-04-01T12:53:00Z,37.00,65.79
2026-04-01T12:54:00Z,33.02,70.14
2026-04-01T12:55:00Z,38.35,63.19
2026-04-01T12:56:00Z,41.40,65.99
2026-04-01T12:57:00Z,42.86,59.21
2026-04-01T12:58:00Z,39.06,63.15
2026-04-01T12:59:00Z,32.31,65.99
2026-04-01T13:00:00Z,34.65,66.92
2026-04-01T13:01:00Z,34.48,65.06
2026-04-01T13:02:00Z,37.50,65.00
2026-04-01T13:03:00Z,42.27,60.06
2026-04-01T13:04:00Z,43.30,59.17
2026-04-01T13:05:00Z,43.25,61.00
2026-04-01T13:06:00Z,51.00,48.59
2026-04-01T13:07:00Z,55.99,45.32
2026-04-01T13:08:00Z,57.38,41.94
2026-04-01T13:09:00Z,56.75,49.47
2026-04-01T13:10:00Z,55.25,50.13
2026-04-01T13:11:00Z,42.67,52.99
2026-04-01T13:12:00Z,55.31,41.92
2026-04-01T13:13:00Z,56.16,45.08
