# event_ticker=KXATPCHALLENGERMATCH-26MAY14BARNAV
# final_score=2-6 6-4 7-6(9)
# score_resolution=2-6 6-4 7-6
# match_winner=Emilio Nava
# fav_player=Emilio Nava
# dog_player=Marcelo Tomas Barrios Vera
# kalshi_date=2026-05-14
timestamp,Marcelo Tomas Barrios Vera,Emilio Nava
2026-05-13T22:35:00Z,,58.00
2026-05-14T00:22:00Z,,59.00
2026-05-14T02:57:00Z,,59.00
2026-05-14T03:11:00Z,,59.00
2026-05-14T03:22:00Z,,59.00
2026-05-14T03:45:00Z,,59.00
2026-05-14T03:57:00Z,,59.00
2026-05-14T04:03:00Z,,59.00
2026-05-14T04:04:00Z,,59.48
2026-05-14T04:09:00Z,41.00,59.48
2026-05-14T04:14:00Z,41.00,60.00
2026-05-14T04:16:00Z,41.00,60.00
2026-05-14T04:18:00Z,41.00,60.00
2026-05-14T04:23:00Z,41.00,60.00
2026-05-14T04:26:00Z,41.00,60.00
2026-05-14T04:29:00Z,41.00,60.00
2026-05-14T04:43:00Z,41.00,58.53
2026-05-14T04:45:00Z,41.00,60.68
2026-05-14T04:49:00Z,41.00,61.00
2026-05-14T04:52:00Z,41.00,61.00
2026-05-14T04:53:00Z,41.00,61.00
2026-05-14T04:56:00Z,41.00,61.00
2026-05-14T04:57:00Z,42.00,61.00
2026-05-14T05:12:00Z,42.00,61.00
2026-05-14T05:27:00Z,42.00,60.00
2026-05-14T05:32:00Z,42.00,59.00
2026-05-14T05:33:00Z,42.00,60.00
2026-05-14T05:54:00Z,42.00,60.00
2026-05-14T05:55:00Z,42.00,60.00
2026-05-14T06:23:00Z,42.00,60.00
2026-05-14T06:40:00Z,42.00,60.74
2026-05-14T06:43:00Z,42.00,61.00
2026-05-14T06:44:00Z,42.00,61.00
2026-05-14T06:45:00Z,42.00,61.00
2026-05-14T06:46:00Z,40.00,61.00
2026-05-14T09:09:00Z,40.00,61.00
2026-05-14T09:16:00Z,40.00,61.00
2026-05-14T09:39:00Z,40.00,61.00
2026-05-14T09:43:00Z,40.00,61.00
2026-05-14T09:57:00Z,40.00,60.00
2026-05-14T09:58:00Z,40.00,60.00
2026-05-14T10:02:00Z,40.00,61.00
2026-05-14T10:06:00Z,40.00,60.00
2026-05-14T10:07:00Z,41.00,60.00
2026-05-14T10:08:00Z,46.65,57.00
2026-05-14T10:09:00Z,47.00,54.00
2026-05-14T10:10:00Z,47.00,54.00
2026-05-14T10:11:00Z,47.00,55.00
2026-05-14T10:12:00Z,49.29,52.92
2026-05-14T10:13:00Z,59.54,42.00
2026-05-14T10:14:00Z,61.00,40.00
2026-05-14T10:15:00Z,59.22,42.64
2026-05-14T10:16:00Z,59.22,41.49
2026-05-14T10:17:00Z,57.00,43.34
2026-05-14T10:18:00Z,57.00,43.59
2026-05-14T10:19:00Z,57.63,42.60
2026-05-14T10:20:00Z,62.00,36.00
2026-05-14T10:21:00Z,62.00,36.00
2026-05-14T10:22:00Z,64.83,34.74
2026-05-14T10:23:00Z,64.83,35.97
2026-05-14T10:24:00Z,64.83,36.00
2026-05-14T10:25:00Z,64.83,37.00
2026-05-14T10:26:00Z,63.00,36.28
2026-05-14T10:27:00Z,58.00,41.68
2026-05-14T10:28:00Z,53.00,47.93
