# event_ticker=KXATPCHALLENGERMATCH-26MAY26COMBUE
# final_score=7-6(2) 6-3
# score_resolution=7-6 6-3
# match_winner=Tommaso Compagnucci
# fav_player=Tommaso Compagnucci
# dog_player=Gonzalo Bueno
# kalshi_date=2026-05-26
timestamp,Tommaso Compagnucci,Gonzalo Bueno
2026-05-26T02:33:00Z,36.00,
2026-05-26T02:37:00Z,36.00,66.00
2026-05-26T04:05:00Z,36.00,66.00
2026-05-26T05:07:00Z,36.00,67.00
2026-05-26T06:06:00Z,36.75,67.00
2026-05-26T06:46:00Z,36.75,64.00
2026-05-26T07:22:00Z,36.75,64.96
2026-05-26T07:31:00Z,36.75,64.00
2026-05-26T09:04:00Z,36.75,64.00
2026-05-26T09:09:00Z,36.75,64.00
2026-05-26T09:23:00Z,36.75,64.00
2026-05-26T09:24:00Z,36.75,65.00
2026-05-26T09:25:00Z,36.75,65.00
2026-05-26T09:41:00Z,38.00,65.00
2026-05-26T09:51:00Z,38.00,65.00
2026-05-26T10:09:00Z,38.00,65.00
2026-05-26T10:12:00Z,38.00,65.00
2026-05-26T10:39:00Z,39.25,62.00
2026-05-26T10:40:00Z,39.25,60.39
2026-05-26T10:48:00Z,40.00,62.91
2026-05-26T10:49:00Z,40.00,69.00
2026-05-26T10:51:00Z,29.89,70.99
2026-05-26T10:52:00Z,31.00,70.69
2026-05-26T10:53:00Z,30.61,70.54
2026-05-26T10:54:00Z,30.61,68.96
2026-05-26T10:55:00Z,31.00,68.96
2026-05-26T10:56:00Z,35.15,68.96
2026-05-26T10:57:00Z,35.15,62.13
2026-05-26T10:58:00Z,34.00,66.22
2026-05-26T10:59:00Z,34.00,69.00
2026-05-26T11:00:00Z,34.00,71.27
2026-05-26T11:01:00Z,34.00,74.64
2026-05-26T11:02:00Z,26.00,74.64
2026-05-26T11:03:00Z,24.00,78.25
2026-05-26T11:04:00Z,19.00,81.70
2026-05-26T11:05:00Z,18.00,82.00
2026-05-26T11:07:00Z,18.00,85.00
2026-05-26T11:08:00Z,16.00,86.00
2026-05-26T11:09:00Z,13.00,86.50
2026-05-26T11:11:00Z,15.50,86.50
2026-05-26T11:12:00Z,15.50,82.97
2026-05-26T11:13:00Z,19.48,82.00
2026-05-26T11:14:00Z,20.00,80.98
2026-05-26T11:15:00Z,19.50,78.00
2026-05-26T11:16:00Z,23.80,78.51
2026-05-26T11:17:00Z,24.00,76.03
2026-05-26T11:18:00Z,19.29,82.05
2026-05-26T11:20:00Z,15.00,82.05
2026-05-26T11:21:00Z,16.00,84.00
2026-05-26T11:22:00Z,16.00,85.00
2026-05-26T11:23:00Z,14.00,86.00
2026-05-26T11:24:00Z,16.00,86.00
2026-05-26T11:25:00Z,18.44,80.73
2026-05-26T11:26:00Z,20.00,80.01
2026-05-26T11:27:00Z,22.93,81.00
2026-05-26T11:28:00Z,27.44,70.12
2026-05-26T11:29:00Z,29.14,70.00
2026-05-26T11:30:00Z,30.93,73.00
2026-05-26T11:31:00Z,34.13,66.96
2026-05-26T11:32:00Z,35.00,65.95
2026-05-26T11:33:00Z,40.33,58.09
2026-05-26T11:34:00Z,46.35,55.03
2026-05-26T11:35:00Z,53.87,49.45
2026-05-26T11:36:00Z,57.15,43.00
2026-05-26T11:37:00Z,54.06,46.06
2026-05-26T11:38:00Z,56.40,43.05
2026-05-26T11:39:00Z,59.08,40.00
2026-05-26T11:40:00Z,51.59,44.34
2026-05-26T11:41:00Z,50.00,52.18
2026-05-26T11:42:00Z,42.98,59.06
2026-05-26T11:43:00Z,48.19,53.48
2026-05-26T11:44:00Z,55.21,45.03
2026-05-26T11:45:00Z,53.63,42.00
2026-05-26T11:46:00Z,55.85,45.52
2026-05-26T11:47:00Z,55.05,45.52
2026-05-26T11:48:00Z,64.68,45.52
2026-05-26T11:49:00Z,67.00,33.00
2026-05-26T11:50:00Z,68.00,33.00
2026-05-26T11:51:00Z,67.00,33.00
2026-05-26T11:52:00Z,68.00,33.00
2026-05-26T11:53:00Z,68.00,33.00
2026-05-26T11:54:00Z,68.76,33.27
2026-05-26T11:55:00Z,67.12,32.37
2026-05-26T11:56:00Z,70.00,30.11
2026-05-26T11:57:00Z,72.20,30.86
2026-05-26T11:58:00Z,72.73,28.09
2026-05-26T11:59:00Z,70.70,30.00
2026-05-26T12:00:00Z,74.06,29.12
2026-05-26T12:01:00Z,77.81,25.12
2026-05-26T12:02:00Z,81.91,21.09
2026-05-26T12:03:00Z,85.94,16.09
