# event_ticker=KXATPCHALLENGERMATCH-26FEB19ZARMID
# final_score=6-4 6-2
# score_resolution=4-6 2-6
# match_winner=Lautaro Midon
# fav_player=Carlos Maria Zarate
# dog_player=Lautaro Midon
# kalshi_date=2026-02-19
timestamp,Carlos Maria Zarate,Lautaro Midon
2026-02-19T04:18:00Z,15.00,
2026-02-19T04:21:00Z,16.00,
2026-02-19T04:25:00Z,16.00,85.00
2026-02-19T05:22:00Z,16.40,85.00
2026-02-19T05:47:00Z,15.00,85.00
2026-02-19T06:06:00Z,15.00,85.00
2026-02-19T06:26:00Z,16.47,86.00
2026-02-19T06:27:00Z,16.47,86.00
2026-02-19T06:37:00Z,16.47,86.00
2026-02-19T06:41:00Z,15.94,86.00
2026-02-19T06:42:00Z,17.00,86.00
2026-02-19T07:11:00Z,16.65,86.00
2026-02-19T07:13:00Z,17.00,86.00
2026-02-19T07:24:00Z,17.00,86.00
2026-02-19T07:46:00Z,17.00,86.00
2026-02-19T10:28:00Z,17.00,85.00
2026-02-19T10:30:00Z,18.00,85.00
2026-02-19T10:55:00Z,18.00,85.00
2026-02-19T11:43:00Z,18.00,85.00
2026-02-19T12:10:00Z,18.00,85.00
2026-02-19T12:12:00Z,18.00,85.00
2026-02-19T12:48:00Z,18.00,85.00
2026-02-19T12:49:00Z,18.00,85.00
2026-02-19T12:55:00Z,18.00,85.00
2026-02-19T13:00:00Z,18.00,85.00
2026-02-19T13:09:00Z,18.00,85.00
2026-02-19T13:30:00Z,18.00,85.00
2026-02-19T13:31:00Z,18.00,85.00
2026-02-19T13:32:00Z,18.00,85.00
2026-02-19T13:36:00Z,18.00,85.00
2026-02-19T13:37:00Z,18.00,85.00
2026-02-19T13:39:00Z,17.00,85.00
2026-02-19T13:42:00Z,16.00,85.00
2026-02-19T13:48:00Z,16.77,85.00
2026-02-19T13:50:00Z,17.00,85.00
2026-02-19T13:51:00Z,17.00,85.00
2026-02-19T13:53:00Z,17.00,85.00
2026-02-19T13:54:00Z,17.00,85.00
2026-02-19T13:59:00Z,17.00,85.00
2026-02-19T14:02:00Z,17.00,86.00
2026-02-19T14:07:00Z,17.00,86.00
2026-02-19T14:09:00Z,17.00,85.00
2026-02-19T14:20:00Z,17.00,85.00
2026-02-19T14:22:00Z,17.00,85.00
2026-02-19T14:23:00Z,17.00,85.00
2026-02-19T14:27:00Z,17.00,85.00
2026-02-19T14:31:00Z,17.00,85.00
2026-02-19T14:34:00Z,17.00,85.00
2026-02-19T14:35:00Z,17.00,85.00
2026-02-19T14:36:00Z,17.00,85.00
2026-02-19T14:38:00Z,17.00,85.00
2026-02-19T14:41:00Z,17.00,85.00
2026-02-19T14:49:00Z,17.00,85.00
