# event_ticker=KXATPCHALLENGERMATCH-26MAR02SAFSKA
# final_score=7-6(3) 6-3
# score_resolution=7-6 6-3
# match_winner=Roman Safiullin
# fav_player=Roman Safiullin
# dog_player=Timofey Skatov
# kalshi_date=2026-03-02
timestamp,Roman Safiullin,Timofey Skatov
2026-03-02T03:16:00Z,55.00,45.00
2026-03-02T03:27:00Z,54.00,45.00
2026-03-02T03:54:00Z,54.00,50.00
2026-03-02T04:40:00Z,47.00,58.00
2026-03-02T05:48:00Z,51.00,58.00
2026-03-02T05:53:00Z,51.00,58.00
2026-03-02T05:59:00Z,51.00,58.00
2026-03-02T06:18:00Z,51.01,58.00
2026-03-02T06:23:00Z,51.01,52.00
2026-03-02T07:20:00Z,51.01,52.00
2026-03-02T07:29:00Z,51.00,52.00
2026-03-02T07:30:00Z,51.00,52.00
2026-03-02T07:47:00Z,50.00,52.00
2026-03-02T08:04:00Z,50.00,52.00
2026-03-02T08:25:00Z,50.00,52.00
2026-03-02T11:16:00Z,50.00,54.00
2026-03-02T12:27:00Z,49.00,54.00
2026-03-02T13:02:00Z,49.00,53.00
2026-03-02T13:05:00Z,49.00,53.00
2026-03-02T13:10:00Z,49.00,53.00
2026-03-02T13:29:00Z,49.00,51.00
2026-03-02T13:40:00Z,49.00,51.00
2026-03-02T13:52:00Z,49.00,53.00
2026-03-02T13:53:00Z,49.00,51.00
2026-03-02T13:56:00Z,49.00,53.00
2026-03-02T13:57:00Z,49.00,53.00
2026-03-02T14:01:00Z,49.00,53.00
2026-03-02T14:04:00Z,49.00,53.00
2026-03-02T14:07:00Z,48.00,53.00
2026-03-02T14:08:00Z,48.00,53.00
2026-03-02T14:11:00Z,48.00,53.00
2026-03-02T14:15:00Z,48.00,53.00
2026-03-02T14:16:00Z,47.00,53.00
2026-03-02T14:18:00Z,47.00,53.00
2026-03-02T14:20:00Z,47.00,53.00
2026-03-02T14:21:00Z,47.00,53.00
2026-03-02T14:25:00Z,47.00,53.00
2026-03-02T14:26:00Z,47.00,53.00
2026-03-02T14:27:00Z,47.00,53.00
2026-03-02T14:28:00Z,47.00,54.00
2026-03-02T14:29:00Z,47.00,54.00
