# event_ticker=KXATPCHALLENGERMATCH-26APR01ZHUMAR
# final_score=7-6(3) 6-7(6) 6-4
# score_resolution=7-6 6-7 6-4
# match_winner=Beibit Zhukayev
# fav_player=Beibit Zhukayev
# dog_player=Dan Martin
# kalshi_date=2026-04-01
timestamp,Beibit Zhukayev,Dan Martin
2026-04-01T20:59:00Z,53.26,48.04
2026-04-01T21:00:00Z,48.66,51.56
2026-04-01T21:01:00Z,51.35,49.82
2026-04-01T21:02:00Z,60.67,41.99
2026-04-01T21:03:00Z,70.45,30.40
2026-04-01T21:04:00Z,73.47,25.99
2026-04-01T21:05:00Z,77.36,22.49
2026-04-01T21:06:00Z,79.00,20.18
2026-04-01T21:07:00Z,78.44,21.66
2026-04-01T21:08:00Z,78.62,22.00
2026-04-01T21:09:00Z,78.00,22.00
2026-04-01T21:10:00Z,78.97,21.07
2026-04-01T21:11:00Z,80.03,20.19
2026-04-01T21:12:00Z,82.49,17.97
2026-04-01T21:13:00Z,81.40,17.69
2026-04-01T21:14:00Z,79.23,19.30
2026-04-01T21:15:00Z,82.25,17.86
2026-04-01T21:16:00Z,82.52,16.16
2026-04-01T21:17:00Z,85.25,17.13
2026-04-01T21:18:00Z,86.76,13.57
2026-04-01T21:19:00Z,81.02,18.11
2026-04-01T21:20:00Z,82.48,17.21
2026-04-01T21:21:00Z,85.79,15.17
2026-04-01T21:22:00Z,83.42,19.24
2026-04-01T21:23:00Z,83.09,17.00
2026-04-01T21:24:00Z,84.02,16.86
2026-04-01T21:25:00Z,84.64,17.35
2026-04-01T21:26:00Z,79.43,20.49
2026-04-01T21:27:00Z,81.53,19.30
2026-04-01T21:28:00Z,83.00,18.18
2026-04-01T21:29:00Z,84.00,17.97
2026-04-01T21:30:00Z,83.15,18.04
2026-04-01T21:31:00Z,82.15,18.65
2026-04-01T21:32:00Z,80.10,20.67
2026-04-01T21:33:00Z,81.91,20.07
2026-04-01T21:34:00Z,83.92,17.50
2026-04-01T21:35:00Z,83.87,16.94
2026-04-01T21:36:00Z,85.61,19.76
2026-04-01T21:37:00Z,81.15,20.76
2026-04-01T21:38:00Z,82.38,18.03
2026-04-01T21:39:00Z,82.61,18.45
2026-04-01T21:40:00Z,82.30,18.96
2026-04-01T21:41:00Z,83.02,17.87
2026-04-01T21:42:00Z,81.50,20.25
2026-04-01T21:43:00Z,76.94,23.53
2026-04-01T21:44:00Z,77.95,23.88
2026-04-01T21:45:00Z,74.22,25.07
2026-04-01T21:46:00Z,66.99,32.54
2026-04-01T21:47:00Z,68.44,35.16
2026-04-01T21:48:00Z,65.66,34.68
2026-04-01T21:49:00Z,75.56,24.61
2026-04-01T21:50:00Z,67.27,31.75
2026-04-01T21:51:00Z,74.22,25.34
2026-04-01T21:52:00Z,78.02,22.87
2026-04-01T21:53:00Z,77.77,23.23
2026-04-01T21:54:00Z,76.86,23.92
2026-04-01T21:55:00Z,78.70,22.51
2026-04-01T21:56:00Z,81.44,19.00
2026-04-01T21:57:00Z,80.40,21.31
2026-04-01T21:58:00Z,76.25,24.73
2026-04-01T21:59:00Z,70.08,31.25
2026-04-01T22:00:00Z,74.66,27.86
2026-04-01T22:01:00Z,75.37,26.15
2026-04-01T22:02:00Z,81.88,18.00
2026-04-01T22:03:00Z,90.61,9.46
2026-04-01T22:04:00Z,87.69,13.27
2026-04-01T22:05:00Z,90.65,14.10
2026-04-01T22:06:00Z,94.45,6.34
2026-04-01T22:07:00Z,91.15,18.23
2026-04-01T22:08:00Z,74.83,26.79
2026-04-01T22:09:00Z,56.59,42.68
2026-04-01T22:10:00Z,54.40,45.06
2026-04-01T22:11:00Z,54.74,46.08
2026-04-01T22:12:00Z,53.97,46.48
2026-04-01T22:13:00Z,54.49,46.64
2026-04-01T22:14:00Z,54.88,46.95
2026-04-01T22:15:00Z,47.02,51.58
2026-04-01T22:16:00Z,45.88,54.78
2026-04-01T22:17:00Z,43.21,57.09
2026-04-01T22:18:00Z,49.40,50.72
2026-04-01T22:19:00Z,37.69,62.59
2026-04-01T22:20:00Z,38.42,58.82
2026-04-01T22:21:00Z,34.93,63.09
2026-04-01T22:22:00Z,39.82,64.71
2026-04-01T22:23:00Z,44.80,54.97
2026-04-01T22:24:00Z,46.78,53.13
2026-04-01T22:25:00Z,47.07,54.49
2026-04-01T22:26:00Z,56.14,47.93
2026-04-01T22:27:00Z,74.02,27.33
2026-04-01T22:28:00Z,77.35,23.63
2026-04-01T22:29:00Z,79.55,20.97
2026-04-01T22:30:00Z,79.53,20.01
2026-04-01T22:31:00Z,83.69,16.74
2026-04-01T22:32:00Z,86.27,14.20
2026-04-01T22:33:00Z,80.00,21.89
2026-04-01T22:34:00Z,66.65,34.44
2026-04-01T22:35:00Z,78.11,21.30
2026-04-01T22:36:00Z,82.34,17.25
2026-04-01T22:37:00Z,84.81,16.00
2026-04-01T22:38:00Z,90.65,9.22
2026-04-01T22:39:00Z,96.28,4.92
2026-04-01T22:40:00Z,96.83,3.40
2026-04-01T22:41:00Z,97.11,2.04
2026-04-01T22:42:00Z,96.94,1.90
2026-04-01T22:43:00Z,97.49,1.88
2026-04-01T22:44:00Z,96.45,3.18
2026-04-01T22:45:00Z,95.54,7.33
2026-04-01T22:46:00Z,94.25,6.28
2026-04-01T22:47:00Z,87.26,12.73
2026-04-01T22:48:00Z,81.07,18.69
2026-04-01T22:49:00Z,78.90,19.38
2026-04-01T22:50:00Z,83.67,19.45
2026-04-01T22:51:00Z,82.06,16.03
2026-04-01T22:52:00Z,85.73,14.47
2026-04-01T22:53:00Z,92.31,8.59
2026-04-01T22:54:00Z,94.47,7.32
2026-04-01T22:55:00Z,91.39,8.43
2026-04-01T22:56:00Z,91.48,8.71
2026-04-01T22:57:00Z,95.02,4.78
2026-04-01T22:58:00Z,90.64,8.12
2026-04-01T22:59:00Z,91.12,9.40
2026-04-01T23:00:00Z,92.54,7.64
2026-04-01T23:01:00Z,89.58,7.66
2026-04-01T23:02:00Z,88.90,11.42
2026-04-01T23:03:00Z,91.33,10.45
2026-04-01T23:04:00Z,93.88,7.93
2026-04-01T23:05:00Z,89.90,11.95
2026-04-01T23:06:00Z,98.81,1.13
2026-04-01T23:07:00Z,99.00,1.13
