# event_ticker=KXATPMATCH-25OCT01DJEVAC
# final_score=6-3 6-4
# match_winner=Valentin Vacherot
# fav_player=Valentin Vacherot
# dog_player=Laslo Djere
# kalshi_date=2025-10-01
timestamp,Valentin Vacherot,Laslo Djere
2025-09-30T21:16:00Z,70.00,45.00
2025-09-30T21:56:00Z,73.00,45.00
2025-09-30T22:14:00Z,73.00,45.00
2025-09-30T22:24:00Z,73.00,37.00
2025-09-30T22:36:00Z,62.00,37.00
2025-09-30T22:37:00Z,62.00,37.00
2025-09-30T23:26:00Z,62.00,37.00
2025-09-30T23:28:00Z,62.00,37.00
2025-10-01T00:08:00Z,62.00,37.00
2025-10-01T00:13:00Z,61.00,37.00
2025-10-01T00:15:00Z,61.00,37.00
2025-10-01T00:23:00Z,62.00,37.00
2025-10-01T00:25:00Z,62.00,37.00
2025-10-01T00:27:00Z,62.00,37.00
2025-10-01T00:35:00Z,62.00,39.00
2025-10-01T01:08:00Z,62.00,39.00
2025-10-01T01:17:00Z,62.00,39.00
2025-10-01T01:37:00Z,62.00,39.00
2025-10-01T01:39:00Z,62.00,39.00
2025-10-01T02:15:00Z,62.00,39.00
2025-10-01T02:23:00Z,62.00,39.00
2025-10-01T02:25:00Z,63.21,39.00
2025-10-01T02:26:00Z,64.00,39.00
2025-10-01T02:27:00Z,61.74,39.00
2025-10-01T02:55:00Z,63.00,39.00
2025-10-01T03:07:00Z,63.00,39.00
2025-10-01T03:15:00Z,63.00,39.00
2025-10-01T03:52:00Z,63.00,38.00
2025-10-01T03:58:00Z,63.00,38.00
2025-10-01T03:59:00Z,63.00,38.00
2025-10-01T04:02:00Z,63.00,38.00
2025-10-01T04:07:00Z,63.00,38.00
2025-10-01T04:11:00Z,63.00,38.00
2025-10-01T04:15:00Z,63.00,38.00
2025-10-01T04:26:00Z,63.00,38.00
2025-10-01T04:27:00Z,63.00,38.00
2025-10-01T04:28:00Z,63.00,38.00
2025-10-01T04:48:00Z,63.00,38.00
2025-10-01T04:52:00Z,63.00,38.00
2025-10-01T04:55:00Z,63.00,38.00
2025-10-01T05:27:00Z,63.00,37.00
2025-10-01T05:32:00Z,64.00,37.00
2025-10-01T05:33:00Z,63.00,37.00
2025-10-01T05:37:00Z,63.00,37.00
2025-10-01T05:46:00Z,64.00,37.00
2025-10-01T05:59:00Z,64.00,37.00
2025-10-01T06:00:00Z,64.00,37.00
2025-10-01T06:01:00Z,64.00,37.00
2025-10-01T06:17:00Z,63.00,37.00
2025-10-01T06:22:00Z,64.00,37.00
2025-10-01T06:26:00Z,64.00,37.00
2025-10-01T06:27:00Z,64.00,36.00
2025-10-01T06:40:00Z,65.00,36.00
2025-10-01T06:45:00Z,65.00,36.00
2025-10-01T06:46:00Z,65.00,36.00
2025-10-01T06:58:00Z,65.00,36.00
2025-10-01T07:05:00Z,65.00,36.00
2025-10-01T07:21:00Z,64.00,36.54
2025-10-01T07:22:00Z,64.24,36.54
2025-10-01T07:25:00Z,65.00,36.54
2025-10-01T07:26:00Z,65.00,36.54
2025-10-01T07:35:00Z,65.00,36.54
2025-10-01T07:37:00Z,65.00,37.00
2025-10-01T07:38:00Z,65.00,37.00
2025-10-01T07:42:00Z,65.00,42.00
2025-10-01T07:49:00Z,65.00,42.00
