# event_ticker=KXATPCHALLENGERMATCH-26MAY20CANCAR
# final_score=7-6(5) 2-6 6-4
# score_resolution=7-6 2-6 6-4
# match_winner=Carlo Alberto Caniato
# fav_player=Carlo Alberto Caniato
# dog_player=Lorenzo Carboni
# kalshi_date=2026-05-20
timestamp,Carlo Alberto Caniato,Lorenzo Carboni
2026-05-20T05:14:00Z,56.00,
2026-05-20T06:22:00Z,56.00,
2026-05-20T12:15:00Z,58.00,
2026-05-20T12:23:00Z,58.00,
2026-05-20T12:37:00Z,58.00,44.00
2026-05-20T12:52:00Z,58.00,44.00
2026-05-20T13:17:00Z,58.00,44.00
2026-05-20T13:19:00Z,58.00,44.00
2026-05-20T13:48:00Z,58.00,44.00
2026-05-20T13:55:00Z,59.00,44.00
2026-05-20T14:05:00Z,59.00,42.00
2026-05-20T14:26:00Z,59.00,42.00
2026-05-20T14:47:00Z,64.00,42.00
2026-05-20T14:48:00Z,64.02,42.00
2026-05-20T14:49:00Z,66.00,34.95
2026-05-20T14:50:00Z,61.00,39.00
2026-05-20T14:51:00Z,61.21,39.00
2026-05-20T14:52:00Z,60.00,42.85
2026-05-20T14:53:00Z,59.00,44.66
2026-05-20T14:54:00Z,55.57,44.91
2026-05-20T14:55:00Z,55.39,43.78
2026-05-20T14:56:00Z,53.86,46.24
2026-05-20T14:57:00Z,44.00,46.24
2026-05-20T14:58:00Z,44.00,46.24
2026-05-20T14:59:00Z,39.00,58.69
2026-05-20T15:00:00Z,39.11,60.00
2026-05-20T15:02:00Z,41.82,60.00
2026-05-20T15:04:00Z,41.82,59.84
2026-05-20T15:05:00Z,38.00,62.14
2026-05-20T15:06:00Z,37.28,63.06
2026-05-20T15:07:00Z,37.28,62.55
2026-05-20T15:08:00Z,39.20,60.00
2026-05-20T15:09:00Z,41.77,58.67
2026-05-20T15:10:00Z,42.94,57.00
2026-05-20T15:11:00Z,42.81,58.49
2026-05-20T15:12:00Z,50.23,53.83
2026-05-20T15:13:00Z,58.78,40.92
2026-05-20T15:14:00Z,58.78,38.61
2026-05-20T15:15:00Z,61.14,40.00
2026-05-20T15:16:00Z,62.00,42.97
2026-05-20T15:17:00Z,57.37,44.93
2026-05-20T15:18:00Z,58.00,40.78
2026-05-20T15:19:00Z,63.00,40.78
2026-05-20T15:20:00Z,65.84,40.78
2026-05-20T15:21:00Z,65.00,36.57
2026-05-20T15:22:00Z,62.00,38.00
2026-05-20T15:23:00Z,62.00,39.70
2026-05-20T15:24:00Z,62.00,40.55
2026-05-20T15:25:00Z,63.00,38.54
