# event_ticker=KXATPMATCH-26FEB27CERNAV
# final_score=6-1 6-1
# score_resolution=1-6 1-6
# match_winner=Francisco Cerundolo
# fav_player=Emilio Nava
# dog_player=Francisco Cerundolo
# kalshi_date=2026-02-27
timestamp,Emilio Nava,Francisco Cerundolo
2026-02-27T06:51:00Z,19.00,82.00
2026-02-27T06:52:00Z,19.00,82.00
2026-02-27T07:00:00Z,19.00,82.00
2026-02-27T07:06:00Z,19.00,82.00
2026-02-27T07:12:00Z,19.00,82.00
2026-02-27T07:14:00Z,19.00,82.00
2026-02-27T07:15:00Z,19.00,82.99
2026-02-27T07:21:00Z,19.00,83.00
2026-02-27T07:24:00Z,19.00,83.00
2026-02-27T07:30:00Z,19.00,83.00
2026-02-27T07:46:00Z,19.00,82.00
2026-02-27T07:49:00Z,17.00,82.00
2026-02-27T07:54:00Z,18.00,82.00
2026-02-27T08:01:00Z,18.00,82.00
2026-02-27T08:04:00Z,18.00,82.00
2026-02-27T08:10:00Z,18.00,82.00
2026-02-27T08:15:00Z,18.00,82.00
2026-02-27T08:16:00Z,18.00,83.00
2026-02-27T08:19:00Z,18.00,83.00
2026-02-27T08:22:00Z,18.00,83.00
2026-02-27T08:37:00Z,18.89,83.00
2026-02-27T08:55:00Z,18.89,83.00
2026-02-27T08:58:00Z,19.00,83.00
2026-02-27T09:03:00Z,17.00,83.00
2026-02-27T09:14:00Z,17.00,83.00
2026-02-27T09:50:00Z,19.00,83.00
2026-02-27T10:03:00Z,19.00,83.00
2026-02-27T10:23:00Z,19.85,83.00
2026-02-27T10:39:00Z,20.00,83.00
2026-02-27T10:40:00Z,20.00,82.00
2026-02-27T10:41:00Z,20.00,81.00
2026-02-27T11:04:00Z,20.00,81.00
2026-02-27T11:15:00Z,20.00,82.00
2026-02-27T11:17:00Z,20.00,82.00
2026-02-27T11:31:00Z,20.00,82.00
2026-02-27T11:33:00Z,20.00,82.00
2026-02-27T11:40:00Z,20.00,82.00
2026-02-27T11:42:00Z,20.00,82.00
2026-02-27T12:01:00Z,20.00,82.00
2026-02-27T12:05:00Z,20.00,83.00
2026-02-27T12:17:00Z,20.00,83.00
2026-02-27T12:20:00Z,20.00,83.00
2026-02-27T12:26:00Z,20.00,83.00
2026-02-27T13:00:00Z,20.00,83.00
2026-02-27T13:09:00Z,20.00,83.00
2026-02-27T13:11:00Z,20.00,83.00
2026-02-27T13:12:00Z,20.00,83.00
2026-02-27T13:17:00Z,19.00,83.00
2026-02-27T13:21:00Z,19.00,83.00
2026-02-27T13:40:00Z,19.00,83.00
2026-02-27T13:49:00Z,19.00,83.00
2026-02-27T13:50:00Z,19.00,83.00
