# event_ticker=KXATPCHALLENGERMATCH-26MAR03ERHSCH
# final_score=7-6(5) 7-6(1)
# score_resolution=7-6 7-6
# match_winner=Joel Schwaerzler
# fav_player=Joel Schwaerzler
# dog_player=Mathys Erhard
# kalshi_date=2026-03-03
timestamp,Joel Schwaerzler,Mathys Erhard
2026-03-03T02:40:00Z,57.00,
2026-03-03T04:15:00Z,57.00,44.00
2026-03-03T04:21:00Z,58.00,44.00
2026-03-03T05:09:00Z,59.64,44.00
2026-03-03T05:30:00Z,58.00,44.00
2026-03-03T05:37:00Z,59.21,44.00
2026-03-03T05:42:00Z,59.00,44.00
2026-03-03T05:47:00Z,59.00,43.00
2026-03-03T05:51:00Z,59.93,43.00
2026-03-03T05:55:00Z,59.00,43.00
2026-03-03T05:58:00Z,59.00,43.00
2026-03-03T06:07:00Z,59.00,40.47
2026-03-03T06:23:00Z,59.79,40.47
2026-03-03T06:24:00Z,60.00,40.47
2026-03-03T06:41:00Z,60.00,43.00
2026-03-03T07:16:00Z,60.00,43.00
2026-03-03T07:17:00Z,60.00,43.00
2026-03-03T07:40:00Z,60.00,43.00
2026-03-03T08:39:00Z,59.00,43.00
2026-03-03T08:50:00Z,59.00,43.00
2026-03-03T09:07:00Z,59.00,43.00
2026-03-03T09:54:00Z,59.00,43.00
2026-03-03T10:04:00Z,59.00,43.00
2026-03-03T10:08:00Z,59.00,45.49
2026-03-03T10:23:00Z,59.00,44.00
2026-03-03T10:45:00Z,57.00,44.00
2026-03-03T10:51:00Z,57.00,44.00
2026-03-03T11:21:00Z,57.00,44.00
2026-03-03T11:23:00Z,57.00,44.00
2026-03-03T11:42:00Z,57.00,44.00
2026-03-03T11:44:00Z,57.00,44.00
2026-03-03T11:49:00Z,57.00,43.00
2026-03-03T11:55:00Z,57.00,43.00
2026-03-03T12:01:00Z,57.00,43.00
2026-03-03T12:07:00Z,57.00,45.00
2026-03-03T12:17:00Z,57.00,45.00
2026-03-03T12:18:00Z,57.00,45.00
2026-03-03T12:25:00Z,57.00,45.00
2026-03-03T12:49:00Z,57.00,45.11
2026-03-03T12:53:00Z,57.00,45.00
2026-03-03T12:59:00Z,57.00,45.00
2026-03-03T13:02:00Z,57.00,43.00
2026-03-03T13:03:00Z,58.00,43.00
2026-03-03T13:04:00Z,58.09,43.00
2026-03-03T13:05:00Z,59.00,43.00
2026-03-03T13:06:00Z,59.00,43.00
2026-03-03T13:07:00Z,59.54,42.11
2026-03-03T13:08:00Z,59.54,45.00
2026-03-03T13:09:00Z,59.03,44.00
2026-03-03T13:10:00Z,59.56,43.63
2026-03-03T13:11:00Z,59.00,44.00
2026-03-03T13:12:00Z,61.53,38.80
2026-03-03T13:13:00Z,61.93,38.80
2026-03-03T13:14:00Z,59.36,40.67
2026-03-03T13:15:00Z,60.97,41.00
2026-03-03T13:16:00Z,62.38,42.37
2026-03-03T13:17:00Z,58.48,43.60
2026-03-03T13:18:00Z,58.25,44.01
2026-03-03T13:19:00Z,61.89,40.00
2026-03-03T13:20:00Z,63.00,38.28
2026-03-03T13:21:00Z,65.58,34.79
2026-03-03T13:22:00Z,65.58,35.94
2026-03-03T13:23:00Z,60.25,40.78
2026-03-03T13:24:00Z,59.99,41.00
2026-03-03T13:25:00Z,59.43,41.23
2026-03-03T13:26:00Z,59.19,44.51
2026-03-03T13:27:00Z,59.17,41.10
2026-03-03T13:28:00Z,61.35,39.12
2026-03-03T13:29:00Z,59.36,43.52
2026-03-03T13:30:00Z,63.83,38.90
2026-03-03T13:31:00Z,66.14,36.51
2026-03-03T13:32:00Z,62.98,38.11
2026-03-03T13:33:00Z,66.52,36.24
