# event_ticker=KXATPCHALLENGERMATCH-26MAY20MARRIB
# final_score=5-7 6-3 6-4
# match_winner=Juan Cruz Martin Manzano
# fav_player=Juan Cruz Martin Manzano
# dog_player=Michele Ribecai
# kalshi_date=2026-05-20
timestamp,Juan Cruz Martin Manzano,Michele Ribecai
2026-05-19T20:27:00Z,,64.00
2026-05-19T20:28:00Z,,66.00
2026-05-19T23:04:00Z,35.00,66.00
2026-05-20T00:11:00Z,35.00,65.00
2026-05-20T03:10:00Z,35.00,65.00
2026-05-20T04:25:00Z,35.00,65.00
2026-05-20T04:30:00Z,35.00,64.00
2026-05-20T04:49:00Z,35.00,65.00
2026-05-20T04:50:00Z,35.00,64.00
2026-05-20T05:14:00Z,37.00,64.00
2026-05-20T06:27:00Z,37.00,65.00
2026-05-20T07:46:00Z,37.00,67.00
2026-05-20T08:07:00Z,37.00,67.00
2026-05-20T08:10:00Z,37.00,67.00
2026-05-20T08:16:00Z,37.00,69.32
2026-05-20T08:17:00Z,37.00,70.00
2026-05-20T08:18:00Z,37.00,69.00
2026-05-20T08:19:00Z,36.01,66.00
2026-05-20T08:20:00Z,36.01,67.00
2026-05-20T08:21:00Z,36.01,65.00
2026-05-20T08:24:00Z,36.01,60.00
2026-05-20T08:25:00Z,36.01,59.00
2026-05-20T08:26:00Z,36.01,50.09
2026-05-20T08:27:00Z,50.00,50.09
2026-05-20T08:28:00Z,50.00,47.00
2026-05-20T08:29:00Z,59.00,45.00
2026-05-20T08:30:00Z,59.00,45.00
2026-05-20T08:31:00Z,59.00,48.00
2026-05-20T08:32:00Z,59.00,55.29
2026-05-20T08:34:00Z,59.00,48.00
2026-05-20T08:36:00Z,55.00,47.00
2026-05-20T08:37:00Z,55.00,49.00
2026-05-20T08:38:00Z,54.00,49.00
2026-05-20T08:41:00Z,54.00,43.69
2026-05-20T08:42:00Z,58.27,41.00
2026-05-20T08:43:00Z,58.27,38.52
2026-05-20T08:44:00Z,58.27,38.48
2026-05-20T08:45:00Z,58.27,40.50
2026-05-20T08:47:00Z,62.00,40.03
2026-05-20T08:48:00Z,59.00,40.31
2026-05-20T08:49:00Z,58.00,40.31
2026-05-20T08:50:00Z,58.00,46.07
