# event_ticker=KXATPMATCH-26APR24OFNETC
# final_score=6-4 6-4
# score_resolution=4-6 4-6
# match_winner=Tomas Martin Etcheverry
# fav_player=Sebastian Ofner
# dog_player=Tomas Martin Etcheverry
# kalshi_date=2026-04-24
timestamp,Sebastian Ofner,Tomas Martin Etcheverry
2026-04-24T04:31:00Z,,58.00
2026-04-24T04:32:00Z,,58.00
2026-04-24T04:33:00Z,,59.00
2026-04-24T04:34:00Z,,59.00
2026-04-24T04:36:00Z,,59.00
2026-04-24T04:38:00Z,,59.00
2026-04-24T04:39:00Z,,59.00
2026-04-24T04:41:00Z,43.00,59.00
2026-04-24T04:43:00Z,43.00,59.00
2026-04-24T04:49:00Z,43.00,59.47
2026-04-24T04:50:00Z,43.00,60.00
2026-04-24T04:51:00Z,43.00,60.00
2026-04-24T04:53:00Z,43.00,59.00
2026-04-24T04:56:00Z,43.00,59.00
2026-04-24T04:59:00Z,43.00,59.00
2026-04-24T05:01:00Z,43.00,59.00
2026-04-24T05:03:00Z,43.00,59.00
2026-04-24T05:04:00Z,43.00,59.00
2026-04-24T05:06:00Z,43.00,59.00
2026-04-24T05:12:00Z,43.00,59.00
2026-04-24T05:15:00Z,43.00,59.00
2026-04-24T05:16:00Z,43.00,59.00
2026-04-24T05:18:00Z,43.00,59.00
2026-04-24T05:24:00Z,43.00,59.00
2026-04-24T05:27:00Z,40.21,59.00
2026-04-24T05:28:00Z,40.21,59.00
2026-04-24T05:29:00Z,40.21,59.00
2026-04-24T05:30:00Z,40.21,59.00
2026-04-24T05:33:00Z,40.21,59.07
2026-04-24T05:41:00Z,40.21,60.00
2026-04-24T05:50:00Z,40.00,60.00
2026-04-24T05:51:00Z,40.00,60.00
2026-04-24T05:56:00Z,40.00,59.00
2026-04-24T06:02:00Z,40.00,59.00
2026-04-24T06:04:00Z,43.00,59.00
2026-04-24T06:10:00Z,43.00,59.00
2026-04-24T06:11:00Z,43.00,59.00
2026-04-24T06:13:00Z,42.00,59.00
2026-04-24T06:17:00Z,42.00,58.00
2026-04-24T06:18:00Z,42.00,59.00
2026-04-24T06:24:00Z,42.00,59.00
2026-04-24T06:30:00Z,42.00,59.00
2026-04-24T06:44:00Z,42.00,59.00
2026-04-24T06:49:00Z,42.00,59.00
2026-04-24T06:56:00Z,42.00,59.00
2026-04-24T07:15:00Z,42.00,59.00
2026-04-24T07:17:00Z,42.00,59.00
2026-04-24T07:34:00Z,42.00,59.40
2026-04-24T07:40:00Z,42.00,60.00
2026-04-24T07:41:00Z,42.00,60.98
2026-04-24T07:45:00Z,42.00,60.00
2026-04-24T07:53:00Z,42.00,60.00
