# event_ticker=KXATPMATCH-25SEP26NAKFUC
# final_score=7-5 6-3
# match_winner=Brandon Nakashima
# fav_player=Brandon Nakashima
# dog_player=Marton Fucsovics
# kalshi_date=2025-09-26
timestamp,Brandon Nakashima,Marton Fucsovics
2025-09-26T18:09:00Z,55.00,
2025-09-26T18:13:00Z,55.00,48.00
2025-09-26T18:15:00Z,54.00,48.00
2025-09-26T18:16:00Z,54.00,48.00
2025-09-26T18:19:00Z,54.00,48.00
2025-09-26T18:56:00Z,53.00,48.00
2025-09-26T19:56:00Z,52.00,48.00
2025-09-26T20:08:00Z,52.00,49.00
2025-09-26T20:47:00Z,53.00,49.00
2025-09-26T21:03:00Z,54.00,49.00
2025-09-26T21:08:00Z,54.00,48.00
2025-09-26T21:35:00Z,53.00,48.00
2025-09-26T22:07:00Z,53.00,48.00
2025-09-26T22:21:00Z,53.00,48.00
2025-09-26T22:29:00Z,53.00,48.00
2025-09-26T22:31:00Z,53.00,48.00
2025-09-26T22:35:00Z,53.00,48.00
2025-09-26T22:53:00Z,53.00,48.00
2025-09-26T23:03:00Z,53.00,48.00
2025-09-26T23:30:00Z,53.00,48.00
2025-09-26T23:45:00Z,54.00,48.00
2025-09-27T00:04:00Z,54.00,48.00
2025-09-27T00:17:00Z,54.00,48.00
2025-09-27T00:18:00Z,54.00,48.00
2025-09-27T00:21:00Z,54.00,47.00
2025-09-27T00:29:00Z,55.00,47.00
2025-09-27T00:43:00Z,55.00,47.00
2025-09-27T01:02:00Z,55.00,47.00
2025-09-27T01:33:00Z,55.00,46.00
2025-09-27T01:38:00Z,55.00,46.00
2025-09-27T01:42:00Z,55.00,46.00
2025-09-27T01:59:00Z,55.00,46.00
2025-09-27T02:02:00Z,55.00,46.00
2025-09-27T02:11:00Z,55.00,46.00
2025-09-27T02:23:00Z,55.00,46.00
2025-09-27T02:24:00Z,55.00,46.00
2025-09-27T02:34:00Z,55.00,46.69
2025-09-27T02:37:00Z,54.00,46.69
2025-09-27T02:41:00Z,54.00,46.69
2025-09-27T02:43:00Z,54.00,46.69
2025-09-27T02:46:00Z,54.00,46.00
2025-09-27T02:48:00Z,53.00,46.00
2025-09-27T03:05:00Z,54.00,46.00
2025-09-27T03:07:00Z,54.00,46.00
2025-09-27T03:08:00Z,54.00,46.00
2025-09-27T03:10:00Z,54.00,46.00
2025-09-27T03:13:00Z,54.57,46.00
2025-09-27T03:18:00Z,55.00,46.00
2025-09-27T03:24:00Z,55.00,46.00
2025-09-27T03:26:00Z,55.00,46.00
2025-09-27T03:30:00Z,55.00,47.00
2025-09-27T03:31:00Z,55.00,47.00
2025-09-27T03:32:00Z,55.00,47.00
2025-09-27T03:34:00Z,55.00,47.00
2025-09-27T03:37:00Z,56.00,47.00
2025-09-27T03:39:00Z,56.00,47.00
2025-09-27T03:43:00Z,56.00,47.00
2025-09-27T03:45:00Z,56.00,46.00
2025-09-27T03:47:00Z,56.00,46.00
2025-09-27T03:48:00Z,56.00,46.00
2025-09-27T03:49:00Z,53.00,46.40
