# event_ticker=KXATPCHALLENGERMATCH-26APR21SHIPAR
# final_score=7-6(4) 6-1
# score_resolution=7-6 6-1
# match_winner=Sho Shimabukuro
# fav_player=Sho Shimabukuro
# dog_player=Uisung Park
# kalshi_date=2026-04-21
timestamp,Sho Shimabukuro,Uisung Park
2026-04-20T17:46:00Z,85.65,
2026-04-20T19:02:00Z,86.00,
2026-04-20T20:04:00Z,86.00,16.00
2026-04-20T20:17:00Z,86.00,16.00
2026-04-20T21:05:00Z,86.00,14.00
2026-04-20T21:19:00Z,86.00,16.62
2026-04-20T21:34:00Z,86.00,16.62
2026-04-20T21:42:00Z,86.00,16.00
2026-04-20T22:12:00Z,86.00,16.00
2026-04-20T22:41:00Z,86.00,16.00
2026-04-20T23:44:00Z,86.00,16.00
2026-04-20T23:56:00Z,86.00,16.00
2026-04-21T00:14:00Z,86.00,16.00
2026-04-21T00:18:00Z,86.00,16.00
2026-04-21T00:22:00Z,86.00,16.00
2026-04-21T01:01:00Z,86.00,16.00
2026-04-21T01:41:00Z,86.00,15.00
2026-04-21T01:47:00Z,86.00,15.00
2026-04-21T01:51:00Z,86.00,15.00
2026-04-21T01:58:00Z,86.00,16.00
2026-04-21T02:04:00Z,86.00,16.00
2026-04-21T02:12:00Z,85.00,16.00
2026-04-21T02:53:00Z,86.00,16.00
2026-04-21T03:02:00Z,86.00,16.00
2026-04-21T03:05:00Z,86.00,16.00
2026-04-21T03:33:00Z,87.00,16.00
2026-04-21T03:51:00Z,87.00,14.13
2026-04-21T04:03:00Z,87.00,15.00
2026-04-21T04:07:00Z,87.00,15.00
2026-04-21T04:10:00Z,86.00,15.00
2026-04-21T04:12:00Z,87.00,15.00
2026-04-21T04:13:00Z,87.00,15.00
2026-04-21T04:20:00Z,87.00,15.00
2026-04-21T04:25:00Z,87.00,15.97
2026-04-21T04:26:00Z,87.00,15.97
2026-04-21T04:30:00Z,86.00,15.97
2026-04-21T04:31:00Z,86.00,15.97
2026-04-21T04:36:00Z,86.00,15.00
2026-04-21T04:41:00Z,86.50,15.00
2026-04-21T04:42:00Z,84.00,15.00
2026-04-21T04:52:00Z,84.00,15.00
2026-04-21T04:55:00Z,86.00,15.00
2026-04-21T05:06:00Z,86.00,13.00
2026-04-21T05:08:00Z,88.43,13.00
2026-04-21T05:11:00Z,86.16,13.00
2026-04-21T05:14:00Z,86.16,13.00
2026-04-21T05:20:00Z,88.86,13.00
2026-04-21T05:22:00Z,88.86,13.00
2026-04-21T05:23:00Z,89.00,13.00
2026-04-21T05:24:00Z,89.00,13.00
2026-04-21T05:25:00Z,89.00,13.00
2026-04-21T05:26:00Z,89.00,13.00
2026-04-21T05:27:00Z,89.00,13.35
2026-04-21T05:28:00Z,88.41,13.77
2026-04-21T05:29:00Z,87.44,14.74
2026-04-21T05:30:00Z,87.75,15.01
