# event_ticker=KXATPCHALLENGERMATCH-26APR21ANDCRA
# final_score=6-4 6-4
# score_resolution=4-6 4-6
# match_winner=Andy Andrade
# fav_player=Oliver Crawford
# dog_player=Andres Andrade
# kalshi_date=2026-04-21
timestamp,Andres Andrade,Oliver Crawford
2026-04-21T11:44:00Z,57.00,
2026-04-21T12:07:00Z,57.00,45.00
2026-04-21T12:31:00Z,57.00,48.00
2026-04-21T13:26:00Z,57.00,48.00
2026-04-21T14:00:00Z,54.00,48.00
2026-04-21T14:49:00Z,54.00,48.00
2026-04-21T15:56:00Z,54.00,48.00
2026-04-21T15:59:00Z,54.00,48.00
2026-04-21T16:24:00Z,54.00,48.00
2026-04-21T16:44:00Z,54.00,48.00
2026-04-21T16:55:00Z,54.00,48.00
2026-04-21T17:00:00Z,54.00,48.00
2026-04-21T17:17:00Z,54.00,48.00
2026-04-21T17:25:00Z,54.00,48.00
2026-04-21T17:33:00Z,54.00,48.00
2026-04-21T17:36:00Z,54.00,48.00
2026-04-21T17:38:00Z,54.00,48.00
2026-04-21T18:03:00Z,54.00,48.00
2026-04-21T18:13:00Z,54.00,48.00
2026-04-21T18:18:00Z,52.00,48.00
2026-04-21T18:32:00Z,53.00,48.00
2026-04-21T18:35:00Z,53.94,48.00
2026-04-21T18:47:00Z,54.00,48.00
2026-04-21T18:49:00Z,54.00,48.00
2026-04-21T18:54:00Z,54.00,49.00
2026-04-21T18:55:00Z,54.00,49.00
2026-04-21T18:59:00Z,54.00,49.00
2026-04-21T19:01:00Z,54.00,49.00
2026-04-21T19:02:00Z,54.00,49.00
2026-04-21T19:03:00Z,54.00,48.91
2026-04-21T19:04:00Z,54.00,48.00
2026-04-21T19:05:00Z,54.00,48.52
2026-04-21T19:07:00Z,54.00,49.00
2026-04-21T19:10:00Z,54.00,49.00
2026-04-21T19:12:00Z,54.00,49.00
2026-04-21T19:15:00Z,54.00,49.00
2026-04-21T19:22:00Z,54.00,49.00
2026-04-21T19:23:00Z,54.00,47.00
2026-04-21T19:24:00Z,54.00,47.00
2026-04-21T19:26:00Z,54.00,47.00
2026-04-21T19:27:00Z,54.00,47.00
2026-04-21T19:28:00Z,54.00,47.00
2026-04-21T19:29:00Z,54.00,47.00
2026-04-21T19:33:00Z,54.00,49.00
2026-04-21T19:34:00Z,54.00,47.00
2026-04-21T19:35:00Z,54.00,49.00
2026-04-21T19:36:00Z,54.00,49.05
2026-04-21T19:38:00Z,54.00,48.97
2026-04-21T19:39:00Z,54.00,48.89
2026-04-21T19:40:00Z,54.00,48.00
2026-04-21T19:41:00Z,54.00,48.00
2026-04-21T19:43:00Z,54.72,48.00
2026-04-21T19:44:00Z,55.00,47.94
2026-04-21T19:45:00Z,57.00,46.00
2026-04-21T19:46:00Z,55.78,46.00
2026-04-21T19:47:00Z,56.00,46.00
2026-04-21T19:48:00Z,56.84,46.00
2026-04-21T19:49:00Z,56.95,46.00
2026-04-21T19:50:00Z,57.00,46.00
2026-04-21T19:51:00Z,57.00,46.00
2026-04-21T19:52:00Z,56.98,46.00
2026-04-21T19:53:00Z,56.89,46.00
2026-04-21T19:54:00Z,57.62,46.00
2026-04-21T19:55:00Z,57.11,46.00
2026-04-21T19:56:00Z,57.00,46.00
2026-04-21T19:57:00Z,57.00,46.00
2026-04-21T19:58:00Z,55.00,43.43
2026-04-21T19:59:00Z,58.07,44.00
2026-04-21T20:00:00Z,57.90,44.00
2026-04-21T20:01:00Z,57.94,44.00
