# event_ticker=KXATPCHALLENGERMATCH-26APR25SKAFOM
# final_score=6-3 7-5
# match_winner=Sergey Fomin
# fav_player=Sergey Fomin
# dog_player=Timofey Skatov
# kalshi_date=2026-04-25
timestamp,Timofey Skatov,Sergey Fomin
2026-04-24T21:19:00Z,,29.00
2026-04-24T21:21:00Z,75.00,29.00
2026-04-24T21:23:00Z,75.00,20.00
2026-04-24T21:33:00Z,80.00,20.00
2026-04-24T21:39:00Z,80.00,20.00
2026-04-24T21:58:00Z,80.00,23.00
2026-04-24T22:14:00Z,80.00,23.00
2026-04-24T22:15:00Z,80.00,23.00
2026-04-24T22:17:00Z,80.00,23.00
2026-04-24T22:20:00Z,80.00,23.00
2026-04-24T22:39:00Z,80.00,23.00
2026-04-24T22:43:00Z,80.00,23.00
2026-04-24T23:01:00Z,80.00,23.00
2026-04-24T23:28:00Z,80.00,23.00
2026-04-24T23:34:00Z,80.00,23.00
2026-04-24T23:48:00Z,78.00,23.00
2026-04-24T23:50:00Z,77.00,23.00
2026-04-24T23:54:00Z,78.00,23.00
2026-04-25T00:06:00Z,78.00,23.00
2026-04-25T00:11:00Z,78.00,23.00
2026-04-25T00:27:00Z,78.00,23.00
2026-04-25T00:35:00Z,78.00,22.00
2026-04-25T00:53:00Z,78.00,22.00
2026-04-25T00:59:00Z,78.00,23.00
2026-04-25T01:00:00Z,77.00,23.00
2026-04-25T01:01:00Z,77.00,23.00
2026-04-25T01:29:00Z,78.00,23.00
2026-04-25T01:36:00Z,78.69,23.00
2026-04-25T01:40:00Z,80.00,21.00
2026-04-25T02:03:00Z,80.00,21.00
2026-04-25T02:59:00Z,80.00,21.00
2026-04-25T03:01:00Z,80.00,21.00
2026-04-25T03:11:00Z,80.00,21.00
2026-04-25T03:17:00Z,80.00,21.00
2026-04-25T03:26:00Z,80.00,21.00
2026-04-25T03:30:00Z,80.00,22.00
2026-04-25T03:33:00Z,80.00,22.00
2026-04-25T03:39:00Z,80.00,22.00
2026-04-25T03:48:00Z,80.00,22.00
