# event_ticker=KXATPCHALLENGERMATCH-26MAR18BOSESC
# final_score=7-5 6-2
# score_resolution=5-7 2-6
# match_winner=Pedro Boscardin Dias
# fav_player=Hernando Jose Escurra Isnardi
# dog_player=Pedro Boscardin Dias
# kalshi_date=2026-03-18
timestamp,Hernando Jose Escurra Isnardi,Pedro Boscardin Dias
2026-03-18T10:10:00Z,,94.00
2026-03-18T10:20:00Z,,93.00
2026-03-18T10:35:00Z,,93.00
2026-03-18T10:37:00Z,,93.00
2026-03-18T10:44:00Z,,93.00
2026-03-18T10:45:00Z,,94.00
2026-03-18T10:50:00Z,8.00,94.00
2026-03-18T11:00:00Z,8.00,94.00
2026-03-18T11:15:00Z,8.00,94.00
2026-03-18T11:23:00Z,7.00,94.00
2026-03-18T11:30:00Z,7.00,94.00
2026-03-18T12:34:00Z,7.00,94.00
2026-03-18T12:35:00Z,6.00,94.00
2026-03-18T13:07:00Z,7.00,94.00
2026-03-18T13:25:00Z,8.00,94.00
2026-03-18T13:26:00Z,8.00,94.00
2026-03-18T13:29:00Z,8.00,94.00
2026-03-18T13:35:00Z,8.00,94.00
2026-03-18T13:44:00Z,8.00,94.00
2026-03-18T13:50:00Z,8.00,94.00
2026-03-18T14:10:00Z,7.00,94.00
2026-03-18T14:13:00Z,8.00,94.00
2026-03-18T14:16:00Z,8.00,94.00
2026-03-18T14:38:00Z,8.00,94.00
2026-03-18T14:52:00Z,7.00,94.00
2026-03-18T15:38:00Z,7.00,94.00
2026-03-18T15:41:00Z,7.00,94.00
2026-03-18T15:44:00Z,7.00,94.00
2026-03-18T15:45:00Z,7.00,94.00
2026-03-18T16:11:00Z,8.00,94.00
2026-03-18T16:42:00Z,8.00,93.00
2026-03-18T16:51:00Z,7.00,93.00
2026-03-18T17:00:00Z,8.00,93.00
2026-03-18T17:27:00Z,8.00,93.00
2026-03-18T17:31:00Z,8.69,93.00
2026-03-18T17:34:00Z,8.00,93.00
2026-03-18T17:58:00Z,8.00,93.00
2026-03-18T18:03:00Z,7.00,93.00
2026-03-18T18:46:00Z,8.72,93.00
2026-03-18T18:57:00Z,9.00,93.00
2026-03-18T19:11:00Z,8.00,93.00
2026-03-18T19:14:00Z,9.00,93.00
2026-03-18T19:18:00Z,9.00,93.00
2026-03-18T19:24:00Z,9.00,93.00
2026-03-18T19:33:00Z,9.00,93.00
2026-03-18T19:35:00Z,9.00,92.00
2026-03-18T19:43:00Z,9.00,92.00
2026-03-18T19:45:00Z,9.00,93.00
2026-03-18T19:46:00Z,9.00,93.00
2026-03-18T19:48:00Z,9.00,93.00
2026-03-18T19:57:00Z,9.00,92.00
2026-03-18T19:59:00Z,9.00,92.00
2026-03-18T20:02:00Z,9.00,92.00
2026-03-18T20:04:00Z,8.00,92.00
2026-03-18T20:06:00Z,8.00,92.00
2026-03-18T20:07:00Z,7.00,92.00
2026-03-18T20:15:00Z,8.00,92.00
2026-03-18T20:21:00Z,8.00,92.00
2026-03-18T20:22:00Z,7.00,92.00
2026-03-18T20:24:00Z,8.00,92.00
2026-03-18T20:29:00Z,8.00,93.00
2026-03-18T20:41:00Z,8.31,93.00
2026-03-18T20:45:00Z,8.00,93.00
2026-03-18T20:46:00Z,8.00,93.00
2026-03-18T20:47:00Z,8.00,93.00
2026-03-18T20:50:00Z,8.61,93.00
2026-03-18T20:54:00Z,9.00,93.00
2026-03-18T20:55:00Z,9.00,93.00
2026-03-18T20:57:00Z,9.00,93.00
2026-03-18T20:58:00Z,9.00,93.00
2026-03-18T20:59:00Z,9.00,92.95
2026-03-18T21:01:00Z,9.00,91.00
2026-03-18T21:02:00Z,9.00,91.00
2026-03-18T21:03:00Z,9.00,91.00
2026-03-18T21:04:00Z,9.00,91.00
2026-03-18T21:06:00Z,9.00,91.00
2026-03-18T21:08:00Z,9.00,91.00
2026-03-18T21:10:00Z,9.00,91.00
2026-03-18T21:11:00Z,9.00,91.00
2026-03-18T21:13:00Z,9.00,91.00
2026-03-18T21:15:00Z,10.58,91.00
2026-03-18T21:16:00Z,9.21,91.00
2026-03-18T21:17:00Z,9.00,91.00
2026-03-18T21:18:00Z,9.00,91.00
2026-03-18T21:19:00Z,10.05,91.57
