# event_ticker=KXATPCHALLENGERMATCH-26APR29PELSAK
# final_score=2-6 6-4 6-4
# match_winner=Andrea Pellegrino
# fav_player=Andrea Pellegrino
# dog_player=Stefanos Sakellaridis
# kalshi_date=2026-04-29
timestamp,Andrea Pellegrino,Stefanos Sakellaridis
2026-04-28T22:46:00Z,,60.00
2026-04-28T22:48:00Z,,60.00
2026-04-28T23:03:00Z,43.00,60.00
2026-04-28T23:57:00Z,43.00,60.00
2026-04-29T01:05:00Z,43.00,60.00
2026-04-29T01:42:00Z,43.00,60.00
2026-04-29T02:21:00Z,41.00,60.00
2026-04-29T02:36:00Z,41.00,60.00
2026-04-29T04:39:00Z,41.00,60.00
2026-04-29T04:40:00Z,41.00,60.00
2026-04-29T05:04:00Z,41.00,59.00
2026-04-29T05:10:00Z,41.00,60.00
2026-04-29T05:50:00Z,41.00,60.00
2026-04-29T06:26:00Z,41.00,59.00
2026-04-29T06:28:00Z,41.00,59.00
2026-04-29T06:30:00Z,41.00,59.00
2026-04-29T06:31:00Z,41.00,59.00
2026-04-29T07:27:00Z,41.00,59.00
2026-04-29T07:45:00Z,43.00,59.00
2026-04-29T07:48:00Z,43.00,59.00
2026-04-29T08:33:00Z,43.00,59.00
2026-04-29T09:13:00Z,42.00,59.00
2026-04-29T09:25:00Z,42.00,59.65
2026-04-29T09:36:00Z,42.00,61.00
2026-04-29T09:41:00Z,42.00,62.95
2026-04-29T09:49:00Z,39.00,62.95
2026-04-29T09:59:00Z,39.00,63.00
2026-04-29T10:01:00Z,39.00,63.00
2026-04-29T10:02:00Z,39.00,63.00
2026-04-29T10:03:00Z,39.00,63.00
2026-04-29T10:05:00Z,41.16,61.01
2026-04-29T10:06:00Z,41.00,61.01
2026-04-29T10:08:00Z,41.00,61.01
2026-04-29T10:09:00Z,39.00,60.04
2026-04-29T10:10:00Z,42.00,60.04
2026-04-29T10:11:00Z,42.00,60.04
2026-04-29T10:12:00Z,40.00,61.00
2026-04-29T10:13:00Z,44.00,58.00
2026-04-29T10:14:00Z,44.00,59.97
2026-04-29T10:15:00Z,44.00,60.00
2026-04-29T10:16:00Z,40.00,63.00
2026-04-29T10:17:00Z,36.85,63.00
2026-04-29T10:18:00Z,35.60,64.14
2026-04-29T10:19:00Z,37.73,63.24
2026-04-29T10:20:00Z,44.00,54.99
2026-04-29T10:21:00Z,47.00,54.78
2026-04-29T10:22:00Z,43.00,56.90
2026-04-29T10:23:00Z,40.00,56.90
2026-04-29T10:24:00Z,38.00,62.00
2026-04-29T10:25:00Z,38.69,63.89
2026-04-29T10:26:00Z,32.37,68.11
2026-04-29T10:27:00Z,26.95,76.08
2026-04-29T10:28:00Z,23.02,77.00
2026-04-29T10:29:00Z,23.02,80.59
2026-04-29T10:31:00Z,32.33,76.64
2026-04-29T10:32:00Z,32.75,67.64
2026-04-29T10:33:00Z,35.07,64.10
2026-04-29T10:34:00Z,38.00,66.46
2026-04-29T10:35:00Z,38.99,62.13
2026-04-29T10:36:00Z,33.56,68.99
2026-04-29T10:37:00Z,33.16,67.01
2026-04-29T10:38:00Z,30.35,71.74
2026-04-29T10:39:00Z,23.55,73.81
2026-04-29T10:40:00Z,21.86,78.34
2026-04-29T10:41:00Z,21.66,79.15
2026-04-29T10:42:00Z,20.97,80.00
2026-04-29T10:43:00Z,20.95,79.42
2026-04-29T10:44:00Z,19.09,82.00
2026-04-29T10:45:00Z,19.00,81.66
2026-04-29T10:46:00Z,16.99,84.14
2026-04-29T10:47:00Z,15.00,86.00
2026-04-29T10:48:00Z,15.00,86.00
2026-04-29T10:49:00Z,15.58,85.83
2026-04-29T10:50:00Z,11.00,88.97
