# event_ticker=KXATPMATCH-26JAN10BAUMPE
# final_score=6-3 7-6(2)
# score_resolution=6-3 7-6
# match_winner=Giovanni Mpetshi Perricard
# fav_player=Giovanni Mpetshi Perricard
# dog_player=Roberto Bautista Agut
# kalshi_date=2026-01-10
timestamp,Giovanni Mpetshi Perricard,Roberto Bautista Agut
2026-01-12T13:38:00Z,70.00,
2026-01-12T13:51:00Z,70.00,32.00
2026-01-12T13:58:00Z,70.00,32.00
2026-01-12T14:30:00Z,70.44,32.00
2026-01-12T14:48:00Z,71.00,32.00
2026-01-12T14:49:00Z,71.00,32.00
2026-01-12T15:11:00Z,71.00,32.00
2026-01-12T15:21:00Z,71.00,32.00
2026-01-12T15:40:00Z,71.00,32.00
2026-01-12T15:58:00Z,71.00,32.00
2026-01-12T16:08:00Z,71.00,32.00
2026-01-12T16:11:00Z,71.00,32.00
2026-01-12T16:37:00Z,71.00,32.00
2026-01-12T16:56:00Z,71.00,32.00
2026-01-12T17:11:00Z,71.00,31.00
2026-01-12T17:17:00Z,71.00,32.00
2026-01-12T17:31:00Z,71.00,32.00
2026-01-12T17:32:00Z,70.00,32.00
2026-01-12T17:57:00Z,70.00,31.00
2026-01-12T18:05:00Z,70.00,31.00
2026-01-12T18:14:00Z,70.00,31.00
2026-01-12T18:22:00Z,69.00,31.00
2026-01-12T18:28:00Z,69.00,31.00
2026-01-12T18:30:00Z,69.00,31.00
2026-01-12T18:40:00Z,69.00,31.40
2026-01-12T18:50:00Z,69.00,31.00
2026-01-12T18:55:00Z,69.00,31.00
2026-01-12T19:04:00Z,69.00,31.00
2026-01-12T19:10:00Z,70.00,31.00
2026-01-12T19:14:00Z,70.00,31.00
2026-01-12T19:16:00Z,70.00,31.00
2026-01-12T19:18:00Z,70.00,31.00
2026-01-12T19:22:00Z,70.00,31.00
2026-01-12T19:39:00Z,70.00,31.00
2026-01-12T19:54:00Z,70.00,31.00
2026-01-12T19:57:00Z,70.00,31.00
2026-01-12T20:07:00Z,70.00,31.00
2026-01-12T20:12:00Z,70.00,31.00
2026-01-12T20:17:00Z,70.00,31.00
2026-01-12T20:19:00Z,70.00,31.00
2026-01-12T20:26:00Z,70.00,31.00
2026-01-12T20:44:00Z,70.00,31.00
2026-01-12T20:55:00Z,70.00,31.00
2026-01-12T20:57:00Z,70.00,31.00
2026-01-12T21:25:00Z,70.00,31.00
2026-01-12T21:27:00Z,70.00,31.00
2026-01-12T21:34:00Z,70.00,31.00
2026-01-12T21:38:00Z,70.00,31.00
2026-01-12T21:43:00Z,69.00,31.00
2026-01-12T21:48:00Z,70.00,31.00
2026-01-12T21:51:00Z,70.00,31.00
2026-01-12T21:53:00Z,70.00,31.00
2026-01-12T21:59:00Z,70.00,31.00
2026-01-12T22:03:00Z,70.00,31.00
2026-01-12T22:07:00Z,70.00,31.00
2026-01-12T22:10:00Z,70.00,31.00
2026-01-12T22:11:00Z,70.00,31.00
2026-01-12T22:13:00Z,70.00,31.00
2026-01-12T22:16:00Z,70.00,31.00
2026-01-12T22:17:00Z,70.00,31.00
2026-01-12T22:19:00Z,70.00,31.00
2026-01-12T22:23:00Z,69.00,31.00
2026-01-12T22:26:00Z,69.00,31.00
2026-01-12T22:27:00Z,69.00,31.00
2026-01-12T22:28:00Z,69.00,31.00
2026-01-12T22:29:00Z,69.00,31.00
2026-01-12T22:30:00Z,69.75,31.00
2026-01-12T22:33:00Z,69.75,31.00
2026-01-12T22:34:00Z,70.00,31.00
2026-01-12T22:35:00Z,70.00,31.00
2026-01-12T22:39:00Z,70.00,31.00
2026-01-12T22:40:00Z,70.00,31.00
2026-01-12T22:43:00Z,71.00,31.00
2026-01-12T22:44:00Z,71.00,31.00
2026-01-12T22:46:00Z,72.00,31.00
2026-01-12T22:52:00Z,72.00,31.00
2026-01-12T22:57:00Z,72.00,32.00
2026-01-12T22:59:00Z,72.00,32.00
2026-01-12T23:00:00Z,72.00,32.00
2026-01-12T23:05:00Z,70.00,32.00
2026-01-12T23:08:00Z,70.00,31.00
2026-01-12T23:13:00Z,70.00,31.00
2026-01-12T23:23:00Z,70.00,31.62
2026-01-12T23:24:00Z,71.00,31.62
2026-01-12T23:25:00Z,71.00,31.62
2026-01-12T23:26:00Z,70.00,31.00
2026-01-12T23:30:00Z,70.00,31.00
2026-01-12T23:31:00Z,70.00,31.00
2026-01-12T23:34:00Z,71.00,31.00
2026-01-12T23:35:00Z,71.00,31.00
2026-01-12T23:37:00Z,70.00,31.00
2026-01-12T23:39:00Z,70.41,31.00
2026-01-12T23:42:00Z,71.00,31.00
