# event_ticker=KXATPMATCH-26JAN03SONSAK
# final_score=6-2 7-6(4)
# score_resolution=6-2 7-6
# match_winner=Lorenzo Sonego
# fav_player=Lorenzo Sonego
# dog_player=Rei Sakamoto
# kalshi_date=2026-01-03
timestamp,Lorenzo Sonego,Rei Sakamoto
2026-01-05T19:01:00Z,69.00,
2026-01-05T19:03:00Z,66.13,
2026-01-05T19:48:00Z,67.00,
2026-01-05T20:58:00Z,66.00,
2026-01-05T22:19:00Z,67.00,
2026-01-05T23:39:00Z,66.00,
2026-01-05T23:41:00Z,66.00,
2026-01-06T01:54:00Z,67.00,
2026-01-06T02:05:00Z,67.00,36.00
2026-01-06T02:23:00Z,67.00,36.00
2026-01-06T02:25:00Z,67.00,36.00
2026-01-06T02:28:00Z,67.00,36.00
2026-01-06T03:27:00Z,67.00,36.00
2026-01-06T03:32:00Z,67.00,36.00
2026-01-06T03:33:00Z,67.00,36.00
2026-01-06T03:41:00Z,67.00,36.00
2026-01-06T03:44:00Z,67.00,34.00
2026-01-06T03:52:00Z,67.00,34.00
2026-01-06T04:04:00Z,67.00,34.00
2026-01-06T04:06:00Z,67.00,36.00
2026-01-06T04:11:00Z,67.00,36.00
2026-01-06T04:12:00Z,67.00,36.00
2026-01-06T04:18:00Z,67.00,36.00
2026-01-06T04:19:00Z,67.00,36.00
2026-01-06T04:20:00Z,67.00,36.00
2026-01-06T04:22:00Z,67.00,36.00
2026-01-06T04:37:00Z,67.00,36.00
2026-01-06T04:39:00Z,67.00,36.00
2026-01-06T04:43:00Z,67.00,36.00
2026-01-06T04:49:00Z,67.00,36.00
2026-01-06T05:04:00Z,67.00,36.00
2026-01-06T05:06:00Z,67.00,36.00
2026-01-06T05:08:00Z,67.00,36.00
2026-01-06T05:13:00Z,67.00,36.00
2026-01-06T05:14:00Z,67.00,36.00
2026-01-06T05:19:00Z,67.00,36.00
2026-01-06T05:20:00Z,67.00,36.00
2026-01-06T05:23:00Z,67.00,36.00
2026-01-06T05:24:00Z,67.00,36.00
2026-01-06T05:25:00Z,67.00,36.00
2026-01-06T05:26:00Z,67.00,35.00
2026-01-06T05:29:00Z,67.00,35.00
2026-01-06T05:31:00Z,67.00,35.00
2026-01-06T05:34:00Z,67.00,35.00
2026-01-06T05:35:00Z,66.61,35.00
2026-01-06T05:36:00Z,67.00,36.00
