# event_ticker=KXATPCHALLENGERMATCH-26FEB19FICNEF
# final_score=6-3 6-3
# score_resolution=3-6 3-6
# match_winner=Juan Pablo Ficovich
# fav_player=Axel Nefve
# dog_player=Juan Pablo Ficovich
# kalshi_date=2026-02-19
timestamp,Axel Nefve,Juan Pablo Ficovich
2026-02-19T11:22:00Z,13.00,85.00
2026-02-19T11:25:00Z,13.00,85.00
2026-02-19T11:28:00Z,13.00,85.00
2026-02-19T11:31:00Z,13.00,85.00
2026-02-19T11:34:00Z,13.00,85.00
2026-02-19T11:37:00Z,13.00,85.00
2026-02-19T11:40:00Z,13.00,85.00
2026-02-19T11:43:00Z,13.00,85.00
2026-02-19T11:46:00Z,13.00,85.00
2026-02-19T12:02:00Z,13.00,85.00
2026-02-19T12:21:00Z,13.00,85.00
2026-02-19T12:44:00Z,15.50,85.00
2026-02-19T12:53:00Z,15.50,85.00
2026-02-19T13:48:00Z,16.84,85.00
2026-02-19T14:05:00Z,16.84,85.00
2026-02-19T14:49:00Z,16.00,85.00
2026-02-19T15:43:00Z,17.00,85.00
2026-02-19T16:00:00Z,17.00,84.00
2026-02-19T16:04:00Z,17.00,84.00
2026-02-19T16:12:00Z,17.00,84.00
2026-02-19T16:23:00Z,17.00,84.00
2026-02-19T16:33:00Z,17.00,84.00
2026-02-19T16:44:00Z,16.00,84.00
2026-02-19T16:47:00Z,16.00,85.00
2026-02-19T16:48:00Z,16.00,85.00
2026-02-19T17:19:00Z,16.00,85.00
2026-02-19T17:23:00Z,16.00,85.00
2026-02-19T17:27:00Z,16.00,85.00
2026-02-19T17:36:00Z,16.00,85.00
2026-02-19T17:38:00Z,16.00,85.00
2026-02-19T17:47:00Z,16.00,85.00
2026-02-19T18:10:00Z,16.00,85.00
2026-02-19T18:11:00Z,16.00,85.00
2026-02-19T18:13:00Z,16.00,85.00
2026-02-19T18:20:00Z,16.00,85.00
2026-02-19T18:21:00Z,15.80,85.00
2026-02-19T18:24:00Z,15.80,87.00
2026-02-19T18:25:00Z,15.86,87.00
2026-02-19T18:40:00Z,15.00,87.00
