# event_ticker=KXATPMATCH-25OCT28MOUOPE
# final_score=3-6 7-5 6-1
# match_winner=Corentin Moutet
# fav_player=Corentin Moutet
# dog_player=Reilly Opelka
# kalshi_date=2025-10-28
timestamp,Corentin Moutet,Reilly Opelka
2025-10-28T00:22:00Z,,36.00
2025-10-28T00:30:00Z,,36.00
2025-10-28T01:31:00Z,68.00,36.00
2025-10-28T02:31:00Z,68.00,36.00
2025-10-28T02:42:00Z,68.00,36.00
2025-10-28T02:43:00Z,68.00,36.00
2025-10-28T03:02:00Z,68.00,35.00
2025-10-28T03:12:00Z,68.00,35.00
2025-10-28T03:19:00Z,68.00,35.00
2025-10-28T03:28:00Z,68.00,35.00
2025-10-28T03:40:00Z,68.00,35.00
2025-10-28T03:41:00Z,68.00,35.00
2025-10-28T04:05:00Z,68.00,35.00
2025-10-28T04:40:00Z,68.00,35.00
2025-10-28T04:58:00Z,68.00,35.00
2025-10-28T05:14:00Z,68.00,35.00
2025-10-28T05:24:00Z,68.00,35.00
2025-10-28T05:39:00Z,68.00,35.00
2025-10-28T05:41:00Z,68.00,35.00
2025-10-28T05:42:00Z,68.00,35.00
2025-10-28T05:45:00Z,68.00,35.00
2025-10-28T05:46:00Z,68.00,35.00
2025-10-28T05:59:00Z,68.00,35.00
2025-10-28T06:06:00Z,68.00,35.00
2025-10-28T06:08:00Z,68.00,35.00
2025-10-28T06:17:00Z,66.00,35.00
2025-10-28T06:19:00Z,66.00,35.00
2025-10-28T06:50:00Z,66.00,35.00
2025-10-28T06:59:00Z,66.00,35.00
2025-10-28T07:01:00Z,66.00,35.00
2025-10-28T07:04:00Z,66.00,35.00
2025-10-28T07:07:00Z,66.00,35.00
2025-10-28T07:14:00Z,66.00,35.00
2025-10-28T07:23:00Z,66.00,35.00
2025-10-28T07:48:00Z,66.00,35.00
2025-10-28T08:08:00Z,66.00,35.00
2025-10-28T08:12:00Z,66.00,33.44
2025-10-28T08:15:00Z,65.00,33.44
2025-10-28T08:25:00Z,66.00,33.44
2025-10-28T08:53:00Z,66.00,33.44
2025-10-28T09:05:00Z,66.87,33.44
2025-10-28T09:22:00Z,67.00,33.44
2025-10-28T09:28:00Z,67.00,33.44
2025-10-28T09:34:00Z,67.00,33.44
2025-10-28T09:44:00Z,67.00,35.00
2025-10-28T09:46:00Z,67.00,35.00
2025-10-28T09:48:00Z,67.00,35.00
2025-10-28T09:49:00Z,67.00,35.00
2025-10-28T10:04:00Z,67.00,35.00
2025-10-28T10:06:00Z,67.00,35.00
2025-10-28T10:09:00Z,67.00,35.00
2025-10-28T10:11:00Z,67.00,34.00
2025-10-28T10:14:00Z,67.00,34.00
2025-10-28T10:24:00Z,67.33,34.00
2025-10-28T10:33:00Z,68.00,34.00
2025-10-28T10:42:00Z,68.00,34.00
2025-10-28T10:46:00Z,68.00,34.00
2025-10-28T10:50:00Z,68.00,34.00
2025-10-28T10:53:00Z,67.00,34.00
2025-10-28T10:55:00Z,67.53,34.00
2025-10-28T11:00:00Z,68.00,34.00
2025-10-28T11:01:00Z,68.00,34.00
2025-10-28T11:03:00Z,68.00,34.00
2025-10-28T11:05:00Z,67.96,34.00
2025-10-28T11:08:00Z,67.96,34.00
2025-10-28T11:10:00Z,67.96,34.00
2025-10-28T11:12:00Z,67.96,34.00
2025-10-28T11:13:00Z,67.00,34.00
2025-10-28T11:14:00Z,68.00,34.00
2025-10-28T11:16:00Z,68.00,34.00
2025-10-28T11:18:00Z,68.00,34.00
2025-10-28T11:19:00Z,69.00,34.00
2025-10-28T11:21:00Z,69.00,33.00
2025-10-28T11:22:00Z,69.00,33.00
2025-10-28T11:23:00Z,68.29,33.00
