# event_ticker=KXATPCHALLENGERMATCH-26APR23MCCRIE
# final_score=6-1 6-4
# match_winner=Leandro Riedi
# fav_player=Leandro Riedi
# dog_player=James McCabe
# kalshi_date=2026-04-23
timestamp,James McCabe,Leandro Riedi
2026-04-23T14:51:00Z,,72.00
2026-04-23T15:30:00Z,27.00,74.00
2026-04-23T15:32:00Z,27.00,75.00
2026-04-23T16:01:00Z,27.00,74.00
2026-04-23T16:57:00Z,27.00,75.00
2026-04-23T17:36:00Z,27.00,75.00
2026-04-23T17:59:00Z,27.00,75.00
2026-04-23T18:02:00Z,26.00,75.00
2026-04-23T18:13:00Z,26.00,77.00
2026-04-23T18:24:00Z,26.00,77.00
2026-04-23T18:28:00Z,26.00,77.00
2026-04-23T18:54:00Z,26.00,77.00
2026-04-23T19:00:00Z,26.00,77.00
2026-04-23T19:08:00Z,26.00,77.00
2026-04-23T19:10:00Z,26.00,77.00
2026-04-23T19:22:00Z,26.00,77.00
2026-04-23T19:26:00Z,26.00,77.00
2026-04-23T19:40:00Z,26.00,77.00
2026-04-23T19:58:00Z,26.00,77.00
2026-04-23T20:01:00Z,26.00,76.00
2026-04-23T20:02:00Z,26.00,77.00
2026-04-23T20:13:00Z,26.00,77.00
2026-04-23T20:19:00Z,25.00,77.00
2026-04-23T20:28:00Z,25.00,77.00
2026-04-23T20:41:00Z,25.00,77.00
2026-04-23T20:57:00Z,25.00,77.00
2026-04-23T20:58:00Z,25.00,77.00
2026-04-23T21:04:00Z,25.00,77.00
2026-04-23T21:38:00Z,25.00,77.00
2026-04-23T21:40:00Z,25.00,77.00
2026-04-23T21:43:00Z,25.00,77.00
2026-04-23T21:46:00Z,25.00,77.00
2026-04-23T21:47:00Z,25.00,77.00
2026-04-23T21:56:00Z,25.00,77.00
2026-04-23T22:07:00Z,25.00,77.00
2026-04-23T22:09:00Z,25.00,77.00
2026-04-23T22:18:00Z,25.00,77.00
2026-04-23T22:23:00Z,25.00,77.00
2026-04-23T22:33:00Z,25.00,77.00
2026-04-23T22:39:00Z,25.00,77.00
2026-04-23T22:43:00Z,25.00,77.00
2026-04-23T22:44:00Z,25.00,77.00
2026-04-23T22:45:00Z,25.00,77.00
2026-04-23T22:50:00Z,25.00,76.00
2026-04-23T22:59:00Z,25.00,76.00
2026-04-23T23:17:00Z,25.00,76.00
2026-04-23T23:21:00Z,26.00,76.00
2026-04-23T23:23:00Z,26.00,76.00
2026-04-23T23:24:00Z,26.00,76.00
