# event_ticker=KXATPCHALLENGERMATCH-26APR30BELCAD
# final_score=7-5 6-1
# match_winner=Gianluca Cadenasso
# fav_player=Gianluca Cadenasso
# dog_player=Mattia Bellucci
# kalshi_date=2026-04-30
timestamp,Mattia Bellucci,Gianluca Cadenasso
2026-04-30T02:22:00Z,59.00,
2026-04-30T02:28:00Z,59.00,
2026-04-30T02:51:00Z,59.00,
2026-04-30T03:22:00Z,59.00,
2026-04-30T03:31:00Z,59.00,
2026-04-30T03:43:00Z,59.00,
2026-04-30T04:08:00Z,59.00,42.00
2026-04-30T04:11:00Z,59.00,42.00
2026-04-30T04:25:00Z,59.00,42.00
2026-04-30T04:37:00Z,59.00,42.00
2026-04-30T04:40:00Z,59.00,42.00
2026-04-30T05:01:00Z,59.00,42.00
2026-04-30T05:02:00Z,59.00,42.00
2026-04-30T05:14:00Z,59.00,42.00
2026-04-30T05:23:00Z,60.00,42.00
2026-04-30T05:24:00Z,60.00,41.00
2026-04-30T05:26:00Z,60.00,41.00
2026-04-30T05:28:00Z,60.00,41.00
2026-04-30T05:31:00Z,59.00,41.00
2026-04-30T05:35:00Z,59.00,41.00
2026-04-30T05:41:00Z,59.00,41.00
2026-04-30T05:49:00Z,59.00,41.00
2026-04-30T06:05:00Z,59.00,41.00
2026-04-30T06:34:00Z,60.00,41.00
2026-04-30T06:54:00Z,60.00,41.00
2026-04-30T06:55:00Z,60.00,41.00
2026-04-30T09:15:00Z,59.00,41.00
2026-04-30T09:16:00Z,60.00,41.00
2026-04-30T09:21:00Z,60.00,41.00
2026-04-30T09:28:00Z,60.00,41.00
2026-04-30T09:40:00Z,60.00,41.00
2026-04-30T10:20:00Z,60.00,41.00
2026-04-30T10:28:00Z,60.00,41.00
2026-04-30T10:29:00Z,60.00,41.00
2026-04-30T10:40:00Z,60.00,41.00
2026-04-30T10:52:00Z,60.00,41.00
2026-04-30T11:01:00Z,60.00,41.00
2026-04-30T11:12:00Z,60.00,41.00
2026-04-30T11:39:00Z,60.99,41.00
2026-04-30T11:41:00Z,61.00,41.00
2026-04-30T11:46:00Z,60.00,41.00
2026-04-30T11:52:00Z,60.00,42.00
2026-04-30T12:04:00Z,60.83,42.00
2026-04-30T12:09:00Z,59.00,42.00
2026-04-30T12:15:00Z,60.00,42.00
2026-04-30T12:19:00Z,60.00,42.00
2026-04-30T12:27:00Z,60.00,42.00
2026-04-30T12:30:00Z,60.00,42.00
2026-04-30T12:32:00Z,60.00,42.00
2026-04-30T12:38:00Z,60.00,42.00
2026-04-30T12:39:00Z,60.43,42.00
2026-04-30T12:41:00Z,60.00,42.00
2026-04-30T12:47:00Z,60.00,42.00
2026-04-30T12:49:00Z,60.00,42.00
2026-04-30T12:50:00Z,60.00,42.00
2026-04-30T12:58:00Z,60.00,42.00
2026-04-30T13:01:00Z,60.99,42.00
2026-04-30T13:05:00Z,60.99,42.00
2026-04-30T13:10:00Z,60.57,42.00
2026-04-30T13:12:00Z,60.57,41.00
2026-04-30T13:13:00Z,61.00,41.00
2026-04-30T13:14:00Z,60.59,42.00
2026-04-30T13:15:00Z,61.00,42.00
2026-04-30T13:17:00Z,61.00,42.00
2026-04-30T13:19:00Z,61.00,42.00
2026-04-30T13:20:00Z,60.00,42.00
2026-04-30T13:21:00Z,60.00,42.00
2026-04-30T13:22:00Z,60.00,42.00
2026-04-30T13:33:00Z,61.00,42.00
2026-04-30T13:34:00Z,61.00,42.00
2026-04-30T13:36:00Z,61.00,42.00
2026-04-30T13:38:00Z,58.19,42.00
2026-04-30T13:40:00Z,59.00,42.00
2026-04-30T13:43:00Z,60.00,42.00
2026-04-30T13:46:00Z,60.00,42.00
2026-04-30T13:47:00Z,60.00,42.00
2026-04-30T13:48:00Z,61.00,42.00
2026-04-30T13:50:00Z,60.69,42.00
2026-04-30T13:51:00Z,56.24,43.28
2026-04-30T13:52:00Z,57.20,42.82
2026-04-30T13:53:00Z,55.25,44.90
2026-04-30T13:54:00Z,56.28,42.12
2026-04-30T13:55:00Z,57.00,42.12
2026-04-30T13:56:00Z,53.90,45.64
2026-04-30T13:57:00Z,56.24,45.64
2026-04-30T13:58:00Z,57.96,45.76
2026-04-30T13:59:00Z,60.78,40.50
2026-04-30T14:00:00Z,63.84,36.38
2026-04-30T14:01:00Z,68.00,31.00
2026-04-30T14:02:00Z,68.30,31.00
2026-04-30T14:03:00Z,72.83,29.00
2026-04-30T14:04:00Z,71.82,29.00
2026-04-30T14:05:00Z,72.00,29.00
2026-04-30T14:06:00Z,76.21,29.00
2026-04-30T14:07:00Z,78.01,22.00
2026-04-30T14:08:00Z,80.33,20.11
2026-04-30T14:09:00Z,83.00,18.00
2026-04-30T14:10:00Z,81.00,18.96
2026-04-30T14:11:00Z,78.71,20.65
2026-04-30T14:12:00Z,77.27,22.78
2026-04-30T14:13:00Z,75.76,24.00
2026-04-30T14:14:00Z,75.04,24.38
2026-04-30T14:15:00Z,76.00,24.00
2026-04-30T14:16:00Z,74.59,26.00
2026-04-30T14:17:00Z,71.79,27.82
2026-04-30T14:18:00Z,69.00,31.00
2026-04-30T14:19:00Z,67.00,33.84
2026-04-30T14:20:00Z,59.53,38.25
2026-04-30T14:21:00Z,55.00,44.00
2026-04-30T14:22:00Z,52.09,45.91
2026-04-30T14:23:00Z,53.57,47.00
2026-04-30T14:24:00Z,54.29,45.00
2026-04-30T14:25:00Z,56.72,46.00
2026-04-30T14:26:00Z,51.15,48.84
2026-04-30T14:27:00Z,46.99,55.15
2026-04-30T14:28:00Z,44.00,55.15
2026-04-30T14:29:00Z,46.67,53.62
2026-04-30T14:30:00Z,47.93,53.62
2026-04-30T14:31:00Z,41.39,57.18
2026-04-30T14:32:00Z,42.79,58.00
2026-04-30T14:33:00Z,46.70,53.05
2026-04-30T14:34:00Z,43.77,51.43
2026-04-30T14:35:00Z,40.68,51.43
2026-04-30T14:36:00Z,40.00,60.00
2026-04-30T14:37:00Z,40.28,57.92
2026-04-30T14:38:00Z,38.55,64.16
2026-04-30T14:39:00Z,37.65,65.54
2026-04-30T14:40:00Z,36.76,63.26
2026-04-30T14:41:00Z,31.69,68.06
2026-04-30T14:42:00Z,21.40,76.23
2026-04-30T14:43:00Z,21.00,79.00
2026-04-30T14:44:00Z,21.00,80.00
2026-04-30T14:45:00Z,21.00,80.00
2026-04-30T14:46:00Z,22.87,77.48
2026-04-30T14:47:00Z,21.23,79.00
2026-04-30T14:48:00Z,17.40,81.01
2026-04-30T14:49:00Z,16.28,84.72
2026-04-30T14:50:00Z,13.77,88.14
2026-04-30T14:51:00Z,15.47,85.57
2026-04-30T14:52:00Z,17.16,87.29
2026-04-30T14:53:00Z,10.97,87.34
2026-04-30T14:54:00Z,6.78,91.91
2026-04-30T14:55:00Z,6.56,94.02
2026-04-30T14:56:00Z,11.97,89.00
2026-04-30T14:57:00Z,10.38,90.14
2026-04-30T14:58:00Z,5.95,94.00
2026-04-30T14:59:00Z,6.00,95.00
2026-04-30T15:00:00Z,4.13,95.08
2026-04-30T15:01:00Z,4.28,96.66
2026-04-30T15:02:00Z,3.75,96.15
2026-04-30T15:03:00Z,5.33,95.79
2026-04-30T15:04:00Z,5.28,95.13
2026-04-30T15:05:00Z,6.00,95.15
2026-04-30T15:06:00Z,6.97,93.91
2026-04-30T15:07:00Z,6.20,94.01
2026-04-30T15:08:00Z,5.42,93.00
2026-04-30T15:09:00Z,4.73,96.00
2026-04-30T15:10:00Z,5.00,96.44
2026-04-30T15:11:00Z,2.38,97.99
2026-04-30T15:12:00Z,3.00,99.00
2026-04-30T15:13:00Z,1.03,99.00
2026-04-30T15:14:00Z,1.61,98.97
2026-04-30T15:15:00Z,1.00,99.00
2026-04-30T15:16:00Z,1.00,99.00
2026-04-30T15:17:00Z,1.04,98.92
2026-04-30T15:18:00Z,1.71,98.81
2026-04-30T15:20:00Z,1.00,98.85
2026-04-30T15:21:00Z,1.00,98.85
