# event_ticker=KXATPMATCH-25SEP20SVRZHA
# final_score=6-4 6-3
# match_winner=Dalibor Svrcina
# fav_player=Dalibor Svrcina
# dog_player=Zhizhen Zhang
# kalshi_date=2025-09-20
timestamp,Dalibor Svrcina,Zhizhen Zhang
2025-09-20T02:09:00Z,,71.00
2025-09-20T02:11:00Z,,68.00
2025-09-20T03:14:00Z,,60.00
2025-09-20T03:18:00Z,41.00,60.00
2025-09-20T04:23:00Z,41.00,61.00
2025-09-20T04:29:00Z,41.00,61.00
2025-09-20T04:31:00Z,41.00,61.00
2025-09-20T04:32:00Z,41.00,61.00
2025-09-20T04:53:00Z,41.00,61.00
2025-09-20T05:05:00Z,40.91,60.00
2025-09-20T05:08:00Z,40.91,61.00
2025-09-20T05:22:00Z,40.91,61.00
2025-09-20T05:32:00Z,39.00,61.00
2025-09-20T05:38:00Z,39.00,62.00
2025-09-20T05:42:00Z,39.00,62.00
2025-09-20T05:50:00Z,39.00,62.16
2025-09-20T05:51:00Z,39.00,62.86
2025-09-20T06:03:00Z,38.00,62.86
2025-09-20T06:06:00Z,38.00,63.00
2025-09-20T06:16:00Z,38.00,63.00
2025-09-20T06:20:00Z,38.00,63.00
2025-09-20T06:24:00Z,38.00,63.00
2025-09-20T06:30:00Z,37.50,63.00
2025-09-20T06:31:00Z,37.50,63.00
2025-09-20T06:51:00Z,37.50,63.00
2025-09-20T06:53:00Z,37.50,63.00
2025-09-20T07:05:00Z,37.50,63.00
2025-09-20T07:12:00Z,37.50,63.00
2025-09-20T07:14:00Z,38.00,63.00
2025-09-20T07:21:00Z,38.00,63.00
2025-09-20T07:22:00Z,38.00,63.00
2025-09-20T07:24:00Z,38.00,63.00
2025-09-20T07:31:00Z,38.00,63.00
2025-09-20T07:36:00Z,38.00,63.00
2025-09-20T07:37:00Z,38.00,63.00
2025-09-20T07:48:00Z,38.78,63.00
2025-09-20T07:51:00Z,39.00,63.00
2025-09-20T08:03:00Z,39.00,63.00
2025-09-20T08:13:00Z,39.00,63.00
2025-09-20T08:16:00Z,39.00,63.00
2025-09-20T08:20:00Z,39.00,63.00
2025-09-20T08:25:00Z,39.00,63.00
2025-09-20T08:37:00Z,39.00,63.00
2025-09-20T08:39:00Z,39.00,62.00
2025-09-20T08:44:00Z,39.00,60.00
2025-09-20T08:45:00Z,39.00,61.00
2025-09-20T08:51:00Z,39.00,63.00
2025-09-20T08:54:00Z,40.00,60.00
2025-09-20T08:55:00Z,41.00,60.00
2025-09-20T09:03:00Z,41.00,60.00
2025-09-20T09:10:00Z,41.00,60.74
2025-09-20T09:18:00Z,41.00,60.74
2025-09-20T09:21:00Z,41.00,60.00
2025-09-20T09:39:00Z,41.00,60.00
2025-09-20T09:41:00Z,41.00,60.14
2025-09-20T09:44:00Z,41.00,60.00
2025-09-20T09:48:00Z,41.00,60.00
2025-09-20T09:53:00Z,41.00,60.00
2025-09-20T09:55:00Z,41.00,60.00
2025-09-20T09:56:00Z,41.00,60.00
2025-09-20T09:57:00Z,41.00,60.00
2025-09-20T09:58:00Z,41.00,60.00
2025-09-20T10:01:00Z,41.00,60.00
2025-09-20T10:12:00Z,41.00,60.00
2025-09-20T10:14:00Z,41.00,60.00
2025-09-20T10:17:00Z,41.00,60.00
2025-09-20T10:20:00Z,42.00,60.00
2025-09-20T10:25:00Z,42.00,60.00
2025-09-20T10:30:00Z,42.00,60.00
2025-09-20T10:33:00Z,42.00,60.00
2025-09-20T10:34:00Z,42.00,60.00
2025-09-20T10:38:00Z,42.00,60.00
2025-09-20T10:43:00Z,42.00,60.00
2025-09-20T10:45:00Z,42.00,60.00
2025-09-20T10:54:00Z,42.00,60.00
2025-09-20T11:00:00Z,42.00,60.00
2025-09-20T11:02:00Z,42.00,60.00
2025-09-20T11:03:00Z,42.00,60.00
2025-09-20T11:08:00Z,42.00,60.00
2025-09-20T11:12:00Z,42.00,60.00
2025-09-20T11:14:00Z,42.00,58.00
2025-09-20T11:15:00Z,42.00,59.00
2025-09-20T11:17:00Z,42.00,59.00
2025-09-20T11:18:00Z,42.00,59.00
2025-09-20T11:19:00Z,42.00,59.00
2025-09-20T11:20:00Z,42.00,59.00
2025-09-20T11:21:00Z,41.00,59.00
2025-09-20T11:24:00Z,41.00,59.00
2025-09-20T11:27:00Z,41.00,59.00
2025-09-20T11:29:00Z,41.00,59.00
2025-09-20T11:30:00Z,41.00,63.00
2025-09-20T11:32:00Z,40.00,69.14
2025-09-20T11:33:00Z,40.00,60.00
2025-09-20T11:34:00Z,39.50,60.00
2025-09-20T11:35:00Z,38.26,65.00
2025-09-20T11:41:00Z,41.00,65.00
2025-09-20T11:45:00Z,40.00,65.00
2025-09-20T11:46:00Z,41.00,61.00
2025-09-20T11:48:00Z,40.95,61.00
2025-09-20T11:49:00Z,40.95,61.00
2025-09-20T11:51:00Z,41.00,61.00
2025-09-20T11:53:00Z,41.00,59.00
2025-09-20T11:56:00Z,41.00,61.00
2025-09-20T11:57:00Z,41.00,61.00
2025-09-20T11:58:00Z,41.00,61.00
2025-09-20T12:00:00Z,41.00,61.00
2025-09-20T12:03:00Z,41.00,61.00
2025-09-20T12:09:00Z,41.00,61.00
2025-09-20T12:10:00Z,41.00,61.24
2025-09-20T12:11:00Z,41.00,60.00
2025-09-20T12:12:00Z,41.00,61.53
2025-09-20T12:13:00Z,41.00,62.00
2025-09-20T12:14:00Z,41.00,62.00
2025-09-20T12:15:00Z,39.00,62.60
2025-09-20T12:16:00Z,40.00,62.60
2025-09-20T12:17:00Z,40.00,63.00
2025-09-20T12:18:00Z,40.00,63.00
2025-09-20T12:19:00Z,40.00,60.00
2025-09-20T12:20:00Z,40.00,62.00
2025-09-20T12:21:00Z,40.00,62.00
2025-09-20T12:22:00Z,40.00,62.00
2025-09-20T12:23:00Z,40.00,62.84
2025-09-20T12:24:00Z,40.23,62.84
2025-09-20T12:25:00Z,41.00,62.84
2025-09-20T12:26:00Z,41.00,62.84
2025-09-20T12:28:00Z,41.00,62.00
2025-09-20T12:29:00Z,42.00,62.00
2025-09-20T12:30:00Z,42.00,60.02
2025-09-20T12:31:00Z,42.00,59.02
2025-09-20T12:32:00Z,41.13,60.04
2025-09-20T12:33:00Z,42.00,61.00
2025-09-20T12:34:00Z,42.00,60.04
2025-09-20T12:35:00Z,41.81,58.08
2025-09-20T12:36:00Z,45.14,57.90
2025-09-20T12:37:00Z,38.48,65.46
2025-09-20T12:38:00Z,36.24,67.21
2025-09-20T12:39:00Z,28.00,74.44
2025-09-20T12:40:00Z,22.12,77.23
2025-09-20T12:41:00Z,23.04,74.58
2025-09-20T12:42:00Z,35.50,67.59
2025-09-20T12:43:00Z,33.00,67.59
2025-09-20T12:44:00Z,35.77,75.17
2025-09-20T12:45:00Z,41.00,75.17
2025-09-20T12:46:00Z,41.00,74.71
2025-09-20T12:47:00Z,42.84,65.02
2025-09-20T12:48:00Z,43.25,64.86
2025-09-20T12:49:00Z,43.70,63.00
2025-09-20T12:50:00Z,44.93,60.90
2025-09-20T12:51:00Z,42.00,73.83
2025-09-20T12:52:00Z,42.00,62.00
2025-09-20T12:53:00Z,42.00,62.92
2025-09-20T12:54:00Z,40.00,62.92
2025-09-20T12:55:00Z,37.97,62.92
2025-09-20T12:56:00Z,32.31,77.91
2025-09-20T12:57:00Z,36.00,68.50
