# event_ticker=KXATPCHALLENGERMATCH-26JUN02MRVSVR
# final_score=5-7 6-3 6-4
# score_resolution=7-5 3-6 4-6
# match_winner=Maxim Mrva
# fav_player=Dalibor Svrcina
# dog_player=Maxim Mrva
# kalshi_date=2026-06-02
timestamp,Maxim Mrva,Dalibor Svrcina
2026-06-02T02:04:00Z,,74.00
2026-06-02T03:34:00Z,,74.00
2026-06-02T04:15:00Z,,74.00
2026-06-02T04:56:00Z,30.00,74.00
2026-06-02T05:02:00Z,30.00,74.00
2026-06-02T05:09:00Z,30.00,74.00
2026-06-02T05:50:00Z,28.00,74.00
2026-06-02T06:15:00Z,28.00,74.00
2026-06-02T06:44:00Z,28.00,74.00
2026-06-02T08:28:00Z,28.00,73.00
2026-06-02T10:42:00Z,28.00,73.00
2026-06-02T10:52:00Z,28.00,73.00
2026-06-02T10:53:00Z,28.00,73.00
2026-06-02T10:57:00Z,28.00,73.00
2026-06-02T11:17:00Z,28.00,73.00
2026-06-02T11:30:00Z,28.00,73.00
2026-06-02T11:54:00Z,23.00,73.00
2026-06-02T11:55:00Z,23.00,80.00
2026-06-02T11:56:00Z,20.00,80.74
2026-06-02T11:57:00Z,18.23,82.00
2026-06-02T11:58:00Z,15.99,83.58
2026-06-02T11:59:00Z,15.99,84.43
2026-06-02T12:00:00Z,16.74,84.43
2026-06-02T12:01:00Z,20.00,84.43
2026-06-02T12:02:00Z,19.00,81.53
2026-06-02T12:03:00Z,16.00,85.00
2026-06-02T12:04:00Z,16.00,85.07
2026-06-02T12:05:00Z,17.82,85.07
2026-06-02T12:07:00Z,17.82,83.00
2026-06-02T12:08:00Z,18.00,83.00
2026-06-02T12:09:00Z,15.00,85.00
2026-06-02T12:10:00Z,13.00,85.00
2026-06-02T12:11:00Z,10.00,88.50
2026-06-02T12:12:00Z,14.97,88.50
2026-06-02T12:13:00Z,13.00,88.50
2026-06-02T12:14:00Z,13.00,84.00
2026-06-02T12:15:00Z,13.00,82.00
2026-06-02T12:16:00Z,22.67,82.00
2026-06-02T12:17:00Z,22.00,80.00
2026-06-02T12:18:00Z,27.97,74.00
2026-06-02T12:19:00Z,30.64,70.63
2026-06-02T12:20:00Z,21.00,70.63
2026-06-02T12:21:00Z,15.30,79.00
2026-06-02T12:22:00Z,18.12,84.00
2026-06-02T12:23:00Z,15.71,84.00
2026-06-02T12:24:00Z,18.13,82.21
2026-06-02T12:25:00Z,19.50,78.00
2026-06-02T12:26:00Z,28.00,71.69
2026-06-02T12:27:00Z,30.04,68.98
2026-06-02T12:28:00Z,29.24,74.97
2026-06-02T12:29:00Z,21.59,79.17
2026-06-02T12:30:00Z,18.99,79.17
2026-06-02T12:31:00Z,16.72,83.00
2026-06-02T12:32:00Z,17.00,83.00
2026-06-02T12:33:00Z,17.00,82.00
2026-06-02T12:34:00Z,17.00,84.27
2026-06-02T12:35:00Z,11.30,86.73
2026-06-02T12:36:00Z,12.00,89.00
2026-06-02T12:38:00Z,12.00,89.00
2026-06-02T12:39:00Z,11.24,88.91
2026-06-02T12:40:00Z,14.54,86.42
2026-06-02T12:41:00Z,17.52,84.00
2026-06-02T12:42:00Z,18.78,84.00
2026-06-02T12:43:00Z,17.62,82.50
2026-06-02T12:44:00Z,20.01,78.95
2026-06-02T12:45:00Z,22.34,78.41
2026-06-02T12:46:00Z,27.74,71.00
2026-06-02T12:47:00Z,28.03,71.00
2026-06-02T12:48:00Z,33.24,70.81
2026-06-02T12:49:00Z,28.88,72.92
2026-06-02T12:50:00Z,25.00,75.00
2026-06-02T12:51:00Z,28.00,71.00
2026-06-02T12:52:00Z,28.28,75.00
2026-06-02T12:53:00Z,22.53,79.33
2026-06-02T12:54:00Z,17.34,82.81
2026-06-02T12:55:00Z,19.73,82.00
2026-06-02T12:56:00Z,22.93,82.00
2026-06-02T12:57:00Z,21.90,77.57
2026-06-02T12:58:00Z,23.77,77.83
2026-06-02T12:59:00Z,20.81,80.30
2026-06-02T13:00:00Z,25.55,80.30
2026-06-02T13:01:00Z,27.66,73.68
2026-06-02T13:02:00Z,29.24,74.00
2026-06-02T13:03:00Z,27.93,73.47
2026-06-02T13:04:00Z,19.53,80.99
2026-06-02T13:05:00Z,20.17,77.00
2026-06-02T13:06:00Z,25.16,75.62
2026-06-02T13:07:00Z,22.21,78.98
2026-06-02T13:08:00Z,24.18,75.99
2026-06-02T13:09:00Z,32.24,70.10
2026-06-02T13:10:00Z,35.36,65.90
2026-06-02T13:11:00Z,37.99,61.03
2026-06-02T13:12:00Z,38.77,60.90
2026-06-02T13:13:00Z,39.08,60.96
2026-06-02T13:14:00Z,39.98,61.00
2026-06-02T13:15:00Z,39.00,61.38
2026-06-02T13:16:00Z,38.88,61.41
2026-06-02T13:17:00Z,33.80,65.76
2026-06-02T13:18:00Z,32.62,68.93
2026-06-02T13:19:00Z,38.25,61.74
2026-06-02T13:20:00Z,43.02,56.15
2026-06-02T13:21:00Z,43.70,56.17
2026-06-02T13:22:00Z,46.34,54.30
2026-06-02T13:23:00Z,47.07,53.76
2026-06-02T13:24:00Z,59.30,44.94
2026-06-02T13:25:00Z,61.93,39.48
2026-06-02T13:26:00Z,59.56,42.82
2026-06-02T13:27:00Z,67.24,31.97
2026-06-02T13:28:00Z,71.04,29.01
2026-06-02T13:29:00Z,74.19,25.95
2026-06-02T13:30:00Z,79.79,23.19
2026-06-02T13:31:00Z,82.05,20.94
2026-06-02T13:32:00Z,76.48,24.71
2026-06-02T13:33:00Z,86.97,13.50
2026-06-02T13:34:00Z,89.46,10.41
2026-06-02T13:35:00Z,90.37,9.88
2026-06-02T13:36:00Z,91.12,9.56
2026-06-02T13:37:00Z,84.76,18.18
2026-06-02T13:38:00Z,80.81,19.95
2026-06-02T13:39:00Z,86.65,16.73
2026-06-02T13:40:00Z,88.66,13.85
2026-06-02T13:41:00Z,89.82,11.98
2026-06-02T13:42:00Z,77.90,20.65
2026-06-02T13:43:00Z,73.40,27.78
2026-06-02T13:44:00Z,68.33,31.95
2026-06-02T13:45:00Z,63.62,36.69
2026-06-02T13:46:00Z,54.94,46.14
2026-06-02T13:47:00Z,58.99,39.48
2026-06-02T13:48:00Z,64.27,37.57
2026-06-02T13:49:00Z,35.55,34.08
2026-06-02T13:50:00Z,68.66,31.83
2026-06-02T13:51:00Z,75.76,27.58
2026-06-02T13:52:00Z,74.35,29.25
2026-06-02T13:53:00Z,73.70,26.42
2026-06-02T13:54:00Z,82.67,18.12
2026-06-02T13:55:00Z,80.33,19.56
2026-06-02T13:56:00Z,77.35,24.24
2026-06-02T13:57:00Z,76.45,22.85
2026-06-02T13:58:00Z,84.07,21.87
2026-06-02T13:59:00Z,83.02,20.69
