# event_ticker=KXATPCHALLENGERMATCH-26MAY04MORBAS
# final_score=3-6 6-4 6-1
# match_winner=Nishesh Basavareddy
# fav_player=Nishesh Basavareddy
# dog_player=Alejandro Moro Canas
# kalshi_date=2026-05-04
timestamp,Alejandro Moro Canas,Nishesh Basavareddy
2026-05-04T01:43:00Z,,65.00
2026-05-04T01:47:00Z,38.00,65.00
2026-05-04T01:48:00Z,38.00,65.00
2026-05-04T01:56:00Z,38.00,65.00
2026-05-04T02:15:00Z,38.00,65.00
2026-05-04T02:22:00Z,38.00,65.00
2026-05-04T02:29:00Z,38.00,65.00
2026-05-04T02:34:00Z,38.00,65.00
2026-05-04T02:38:00Z,38.00,65.00
2026-05-04T02:39:00Z,38.00,65.00
2026-05-04T03:15:00Z,37.00,65.00
2026-05-04T03:24:00Z,37.33,65.00
2026-05-04T03:27:00Z,37.33,64.00
2026-05-04T03:29:00Z,37.00,64.00
2026-05-04T03:32:00Z,37.00,64.00
2026-05-04T03:34:00Z,37.00,64.91
2026-05-04T03:47:00Z,37.00,64.91
2026-05-04T03:52:00Z,37.00,64.91
2026-05-04T03:53:00Z,37.00,64.91
2026-05-04T04:06:00Z,37.00,64.91
2026-05-04T04:11:00Z,37.00,64.91
2026-05-04T04:20:00Z,37.00,64.91
2026-05-04T04:57:00Z,37.00,64.91
2026-05-04T05:05:00Z,36.00,64.91
2026-05-04T05:22:00Z,36.00,65.00
2026-05-04T05:25:00Z,36.00,65.00
2026-05-04T05:35:00Z,36.00,65.00
2026-05-04T05:40:00Z,35.00,65.00
2026-05-04T05:45:00Z,37.02,65.00
2026-05-04T06:41:00Z,37.02,62.00
2026-05-04T07:00:00Z,37.02,62.00
2026-05-04T07:21:00Z,37.02,62.00
2026-05-04T07:36:00Z,37.02,62.00
2026-05-04T08:14:00Z,37.00,62.00
2026-05-04T09:28:00Z,37.00,62.00
2026-05-04T09:30:00Z,37.00,62.00
2026-05-04T09:36:00Z,37.00,62.00
2026-05-04T10:03:00Z,37.00,62.00
2026-05-04T10:26:00Z,37.00,62.00
2026-05-04T10:39:00Z,37.00,60.00
2026-05-04T11:12:00Z,37.00,62.00
2026-05-04T11:22:00Z,37.00,62.00
