# event_ticker=KXATPCHALLENGERMATCH-26APR28JORCUK
# final_score=6-4 6-2
# score_resolution=4-6 2-6
# match_winner=David Jorda Sanchis
# fav_player=Daniel Cukierman
# dog_player=David Jorda Sanchis
# kalshi_date=2026-04-28
timestamp,David Jorda Sanchis,Daniel Cukierman
2026-04-27T20:34:00Z,68.00,
2026-04-27T21:57:00Z,68.00,
2026-04-28T02:42:00Z,69.00,
2026-04-28T02:47:00Z,68.00,
2026-04-28T05:41:00Z,68.00,31.00
2026-04-28T06:39:00Z,69.00,31.00
2026-04-28T06:50:00Z,69.00,31.00
2026-04-28T07:11:00Z,69.00,31.00
2026-04-28T08:08:00Z,69.00,35.99
2026-04-28T08:12:00Z,69.00,26.00
2026-04-28T08:13:00Z,77.00,26.00
2026-04-28T08:14:00Z,77.00,27.00
2026-04-28T08:15:00Z,82.87,27.00
2026-04-28T08:18:00Z,84.00,27.00
2026-04-28T08:19:00Z,85.00,27.00
2026-04-28T08:20:00Z,85.00,15.00
2026-04-28T08:21:00Z,85.00,16.00
2026-04-28T08:23:00Z,85.00,15.00
2026-04-28T08:24:00Z,85.00,16.26
2026-04-28T08:25:00Z,84.78,16.26
2026-04-28T08:26:00Z,87.00,16.26
2026-04-28T08:28:00Z,84.00,14.00
2026-04-28T08:30:00Z,84.00,18.00
2026-04-28T08:31:00Z,83.28,18.39
2026-04-28T08:32:00Z,83.99,21.00
2026-04-28T08:33:00Z,75.86,23.45
2026-04-28T08:34:00Z,75.86,28.00
2026-04-28T08:35:00Z,75.86,28.01
2026-04-28T08:37:00Z,68.00,33.92
2026-04-28T08:38:00Z,67.00,33.20
2026-04-28T08:39:00Z,70.00,30.00
2026-04-28T08:40:00Z,70.00,27.00
2026-04-28T08:41:00Z,76.00,27.00
2026-04-28T08:42:00Z,80.00,19.05
2026-04-28T08:43:00Z,78.10,21.97
2026-04-28T08:44:00Z,79.54,21.09
2026-04-28T08:45:00Z,86.35,13.80
2026-04-28T08:47:00Z,89.00,11.95
2026-04-28T08:48:00Z,91.00,11.32
2026-04-28T08:49:00Z,91.00,10.00
2026-04-28T08:50:00Z,92.00,10.00
2026-04-28T08:51:00Z,93.00,8.00
2026-04-28T08:52:00Z,95.95,4.41
2026-04-28T08:53:00Z,97.00,2.96
2026-04-28T08:54:00Z,97.00,2.96
2026-04-28T08:55:00Z,98.00,1.74
2026-04-28T08:57:00Z,98.00,1.74
2026-04-28T08:58:00Z,97.94,1.74
2026-04-28T09:00:00Z,98.00,1.74
2026-04-28T09:03:00Z,98.00,2.61
2026-04-28T09:04:00Z,98.00,3.00
2026-04-28T09:05:00Z,98.00,3.00
2026-04-28T09:06:00Z,98.00,3.00
2026-04-28T09:07:00Z,98.00,2.00
2026-04-28T09:08:00Z,99.00,1.00
2026-04-28T09:09:00Z,99.00,3.00
2026-04-28T09:10:00Z,99.00,2.00
2026-04-28T09:11:00Z,99.00,2.00
2026-04-28T09:12:00Z,99.00,2.00
2026-04-28T09:14:00Z,99.00,1.00
