# event_ticker=KXATPMATCH-25AUG10DEOPE
# final_score=7-6(6) 6-4
# score_resolution=6-7 4-6
# match_winner=Reilly Opelka
# fav_player=Alex de Minaur
# dog_player=Reilly Opelka
# kalshi_date=2025-08-10
timestamp,Alex de Minaur,Reilly Opelka
2025-08-10T05:20:00Z,85.00,33.00
2025-08-10T05:21:00Z,85.00,33.00
2025-08-10T05:23:00Z,84.86,33.00
2025-08-10T05:27:00Z,85.00,33.00
2025-08-10T05:36:00Z,85.00,32.00
2025-08-10T05:44:00Z,77.77,32.00
2025-08-10T05:48:00Z,78.00,32.00
2025-08-10T06:01:00Z,78.00,32.00
2025-08-10T06:06:00Z,78.00,32.00
2025-08-10T06:12:00Z,78.00,32.00
2025-08-10T06:47:00Z,77.00,32.00
2025-08-10T07:01:00Z,77.00,32.00
2025-08-10T07:08:00Z,77.00,32.00
2025-08-10T07:17:00Z,77.00,32.00
2025-08-10T07:31:00Z,76.00,32.00
2025-08-10T07:36:00Z,76.00,32.00
2025-08-10T07:45:00Z,76.00,25.00
2025-08-10T08:04:00Z,76.00,25.00
2025-08-10T08:21:00Z,76.55,25.00
2025-08-10T08:23:00Z,79.00,25.00
2025-08-10T08:59:00Z,81.16,25.00
2025-08-10T09:15:00Z,83.00,25.00
2025-08-10T09:46:00Z,83.00,25.00
2025-08-10T10:01:00Z,83.00,24.50
2025-08-10T10:19:00Z,83.00,24.50
2025-08-10T10:42:00Z,83.00,24.50
2025-08-10T10:49:00Z,83.00,24.50
2025-08-10T10:50:00Z,83.00,25.00
2025-08-10T11:03:00Z,83.00,25.00
2025-08-10T11:09:00Z,83.00,25.00
2025-08-10T11:11:00Z,83.00,25.00
2025-08-10T11:12:00Z,83.00,25.00
2025-08-10T11:23:00Z,83.00,25.00
2025-08-10T11:48:00Z,83.00,25.00
2025-08-10T12:06:00Z,83.00,20.00
2025-08-10T12:09:00Z,83.00,20.00
2025-08-10T12:32:00Z,81.00,20.00
2025-08-10T12:33:00Z,81.00,20.00
2025-08-10T12:34:00Z,81.00,20.00
2025-08-10T12:39:00Z,81.00,21.00
2025-08-10T12:47:00Z,81.00,21.00
2025-08-10T12:51:00Z,81.00,21.00
2025-08-10T12:56:00Z,81.00,21.00
