# event_ticker=KXATPMATCH-26FEB24MANSHI
# final_score=6-3 6-4
# match_winner=Sho Shimabukuro
# fav_player=Sho Shimabukuro
# dog_player=Adrian Mannarino
# kalshi_date=2026-02-24
timestamp,Sho Shimabukuro,Adrian Mannarino
2026-02-24T16:50:00Z,,56.00
2026-02-24T16:58:00Z,45.56,56.00
2026-02-24T17:00:00Z,45.56,56.00
2026-02-24T17:13:00Z,45.56,56.00
2026-02-24T17:24:00Z,45.00,56.00
2026-02-24T17:31:00Z,45.00,56.00
2026-02-24T17:48:00Z,45.00,56.00
2026-02-24T17:49:00Z,45.00,56.00
2026-02-24T18:00:00Z,45.00,56.00
2026-02-24T18:01:00Z,46.00,56.00
2026-02-24T18:44:00Z,46.00,56.00
2026-02-24T18:45:00Z,46.00,56.00
2026-02-24T18:47:00Z,46.00,56.00
2026-02-24T18:52:00Z,46.00,56.00
2026-02-24T19:03:00Z,46.00,56.00
2026-02-24T19:07:00Z,46.00,56.00
2026-02-24T19:08:00Z,46.00,56.00
2026-02-24T19:18:00Z,46.00,56.00
2026-02-24T19:32:00Z,46.00,56.00
2026-02-24T19:36:00Z,46.00,56.00
2026-02-24T19:37:00Z,46.00,56.00
2026-02-24T19:46:00Z,46.00,56.00
2026-02-24T19:49:00Z,46.00,55.00
2026-02-24T19:58:00Z,46.00,55.00
2026-02-24T19:59:00Z,46.00,56.00
2026-02-24T20:03:00Z,46.00,56.00
2026-02-24T20:11:00Z,46.00,56.00
2026-02-24T20:13:00Z,46.00,56.00
2026-02-24T20:20:00Z,46.00,56.00
2026-02-24T20:42:00Z,46.00,55.00
2026-02-24T20:44:00Z,46.00,55.00
2026-02-24T20:50:00Z,46.00,55.00
2026-02-24T20:53:00Z,46.00,55.00
2026-02-24T20:56:00Z,46.00,55.00
2026-02-24T20:58:00Z,46.00,55.00
2026-02-24T21:02:00Z,46.00,55.00
2026-02-24T21:03:00Z,46.00,55.00
2026-02-24T21:07:00Z,46.00,55.00
2026-02-24T21:13:00Z,46.00,55.00
2026-02-24T21:14:00Z,46.00,55.00
2026-02-24T21:23:00Z,46.00,55.88
2026-02-24T21:25:00Z,46.00,55.54
2026-02-24T21:33:00Z,46.00,55.00
2026-02-24T21:36:00Z,46.00,55.00
2026-02-24T21:44:00Z,46.00,55.00
2026-02-24T21:46:00Z,46.00,55.00
2026-02-24T21:51:00Z,46.00,56.00
2026-02-24T21:52:00Z,46.00,56.00
2026-02-24T21:54:00Z,46.00,56.00
2026-02-24T21:55:00Z,46.00,56.00
