# event_ticker=KXATPCHALLENGERMATCH-26APR30BURPEL
# final_score=6-4 4-6 7-5
# score_resolution=4-6 6-4 5-7
# match_winner=Roman Andres Burruchaga
# fav_player=Andrea Pellegrino
# dog_player=Roman Andres Burruchaga
# kalshi_date=2026-04-30
timestamp,Roman Andres Burruchaga,Andrea Pellegrino
2026-04-30T03:43:00Z,71.00,
2026-04-30T04:03:00Z,71.00,30.00
2026-04-30T04:04:00Z,71.00,30.00
2026-04-30T04:57:00Z,71.00,30.00
2026-04-30T05:01:00Z,71.00,30.00
2026-04-30T05:17:00Z,71.00,30.00
2026-04-30T05:38:00Z,71.00,30.00
2026-04-30T05:48:00Z,71.00,30.00
2026-04-30T06:11:00Z,71.00,30.00
2026-04-30T06:24:00Z,71.00,30.00
2026-04-30T06:48:00Z,71.00,30.00
2026-04-30T06:56:00Z,71.00,30.00
2026-04-30T09:29:00Z,71.00,30.00
2026-04-30T10:36:00Z,71.00,30.00
2026-04-30T10:41:00Z,71.00,30.00
2026-04-30T10:51:00Z,70.00,31.00
2026-04-30T10:52:00Z,69.00,32.00
2026-04-30T10:53:00Z,69.00,32.00
2026-04-30T10:54:00Z,69.00,32.00
2026-04-30T10:57:00Z,69.00,32.00
2026-04-30T11:05:00Z,69.00,32.00
2026-04-30T11:13:00Z,69.00,32.00
2026-04-30T11:15:00Z,67.44,33.00
2026-04-30T11:16:00Z,66.24,33.00
2026-04-30T11:17:00Z,66.24,34.00
2026-04-30T11:26:00Z,66.24,34.00
2026-04-30T11:27:00Z,66.00,33.75
2026-04-30T11:31:00Z,67.05,33.75
2026-04-30T11:42:00Z,68.00,33.75
2026-04-30T11:47:00Z,68.00,33.75
2026-04-30T12:02:00Z,68.00,33.75
2026-04-30T12:11:00Z,68.00,33.75
2026-04-30T12:12:00Z,68.00,33.75
2026-04-30T12:19:00Z,68.00,33.75
2026-04-30T12:39:00Z,68.00,33.75
2026-04-30T12:41:00Z,68.00,33.00
2026-04-30T12:51:00Z,68.00,33.00
2026-04-30T12:52:00Z,68.00,33.00
2026-04-30T13:10:00Z,68.00,33.00
2026-04-30T13:17:00Z,68.00,33.00
2026-04-30T13:39:00Z,68.00,33.00
2026-04-30T13:48:00Z,67.00,33.00
2026-04-30T13:49:00Z,66.40,33.79
2026-04-30T13:50:00Z,66.00,34.00
2026-04-30T13:51:00Z,66.00,34.00
2026-04-30T13:52:00Z,66.00,34.00
2026-04-30T13:58:00Z,67.00,34.00
2026-04-30T14:15:00Z,67.00,34.00
2026-04-30T14:16:00Z,67.00,33.00
2026-04-30T14:26:00Z,68.00,33.00
2026-04-30T14:30:00Z,67.00,33.00
2026-04-30T14:37:00Z,67.00,33.00
2026-04-30T14:41:00Z,68.00,33.00
