# event_ticker=KXATPCHALLENGERMATCH-26APR06SHEPIR
# final_score=6-1 2-6 6-1
# score_resolution=1-6 6-2 1-6
# match_winner=Zsombor Piros
# fav_player=Abdullah Shelbayh
# dog_player=Zsombor Piros
# kalshi_date=2026-04-06
timestamp,Abdullah Shelbayh,Zsombor Piros
2026-04-07T00:08:00Z,27.00,
2026-04-07T00:12:00Z,24.00,
2026-04-07T00:38:00Z,24.00,76.00
2026-04-07T01:30:00Z,27.00,76.00
2026-04-07T02:47:00Z,27.00,76.00
2026-04-07T03:32:00Z,27.00,74.00
2026-04-07T03:33:00Z,27.00,73.00
2026-04-07T03:53:00Z,27.00,76.00
2026-04-07T04:18:00Z,27.00,76.00
2026-04-07T04:23:00Z,27.00,76.00
2026-04-07T04:30:00Z,27.00,75.00
2026-04-07T04:31:00Z,27.00,75.00
2026-04-07T04:37:00Z,27.00,75.00
2026-04-07T04:38:00Z,27.00,75.00
2026-04-07T04:45:00Z,27.22,75.00
2026-04-07T04:48:00Z,27.22,75.00
2026-04-07T04:49:00Z,27.22,75.00
2026-04-07T05:07:00Z,27.22,75.00
2026-04-07T05:08:00Z,27.22,75.00
2026-04-07T05:10:00Z,27.22,72.00
2026-04-07T05:18:00Z,27.22,75.00
2026-04-07T05:28:00Z,27.22,75.00
2026-04-07T05:45:00Z,27.22,75.00
2026-04-07T05:47:00Z,27.22,75.00
2026-04-07T05:55:00Z,27.22,75.00
2026-04-07T05:57:00Z,27.22,76.00
2026-04-07T06:11:00Z,24.00,78.94
2026-04-07T06:15:00Z,24.00,79.00
2026-04-07T06:26:00Z,25.00,79.00
2026-04-07T06:51:00Z,25.00,79.00
2026-04-07T06:59:00Z,25.00,79.00
2026-04-07T07:05:00Z,25.00,79.00
2026-04-07T07:42:00Z,25.00,79.00
2026-04-07T07:52:00Z,25.00,79.00
2026-04-07T07:53:00Z,25.00,79.00
2026-04-07T07:58:00Z,25.00,78.00
2026-04-07T08:06:00Z,25.00,78.00
2026-04-07T08:15:00Z,25.00,76.00
2026-04-07T08:28:00Z,25.00,79.00
2026-04-07T08:32:00Z,25.00,79.00
2026-04-07T08:41:00Z,25.00,79.00
2026-04-07T08:42:00Z,24.00,79.00
2026-04-07T08:58:00Z,24.00,78.00
2026-04-07T09:00:00Z,24.00,78.00
2026-04-07T09:03:00Z,24.00,78.00
2026-04-07T09:04:00Z,24.00,78.00
2026-04-07T09:06:00Z,24.00,78.00
2026-04-07T09:31:00Z,22.00,78.00
2026-04-07T09:36:00Z,22.00,79.00
2026-04-07T09:38:00Z,24.00,79.00
2026-04-07T09:40:00Z,24.00,79.00
2026-04-07T09:51:00Z,24.00,79.00
2026-04-07T09:56:00Z,24.00,79.00
2026-04-07T09:58:00Z,24.00,79.00
2026-04-07T10:08:00Z,24.00,79.00
2026-04-07T10:10:00Z,24.00,79.00
2026-04-07T10:11:00Z,24.00,79.00
2026-04-07T10:24:00Z,24.00,79.00
2026-04-07T10:26:00Z,24.55,79.00
2026-04-07T10:31:00Z,24.00,78.00
2026-04-07T10:32:00Z,24.00,78.00
2026-04-07T10:36:00Z,24.00,78.00
2026-04-07T10:39:00Z,24.00,78.00
2026-04-07T10:44:00Z,24.00,78.00
2026-04-07T10:47:00Z,24.00,78.00
2026-04-07T10:51:00Z,24.00,78.00
2026-04-07T10:53:00Z,24.00,78.00
2026-04-07T10:54:00Z,24.00,78.00
2026-04-07T10:55:00Z,24.00,78.00
2026-04-07T10:57:00Z,24.00,77.11
2026-04-07T11:02:00Z,24.00,77.00
2026-04-07T11:05:00Z,22.00,79.00
2026-04-07T11:07:00Z,24.67,75.66
2026-04-07T11:08:00Z,24.67,71.43
2026-04-07T11:09:00Z,26.89,74.17
2026-04-07T11:10:00Z,22.54,80.62
2026-04-07T11:11:00Z,14.51,85.76
2026-04-07T11:12:00Z,16.00,85.76
2026-04-07T11:13:00Z,20.34,85.76
2026-04-07T11:14:00Z,20.34,80.00
2026-04-07T11:15:00Z,20.34,83.00
2026-04-07T11:16:00Z,15.99,83.19
2026-04-07T11:17:00Z,15.13,87.00
2026-04-07T11:18:00Z,16.00,86.00
2026-04-07T11:19:00Z,11.58,86.00
2026-04-07T11:20:00Z,11.55,88.97
2026-04-07T11:21:00Z,11.55,90.00
2026-04-07T11:22:00Z,12.81,89.00
2026-04-07T11:23:00Z,15.11,86.00
2026-04-07T11:24:00Z,15.11,87.00
2026-04-07T11:25:00Z,15.11,88.74
2026-04-07T11:27:00Z,13.00,89.00
2026-04-07T11:28:00Z,13.00,89.00
2026-04-07T11:29:00Z,11.58,90.62
2026-04-07T11:30:00Z,11.00,89.00
2026-04-07T11:31:00Z,9.66,91.99
2026-04-07T11:32:00Z,8.00,92.22
2026-04-07T11:33:00Z,10.77,90.29
2026-04-07T11:34:00Z,9.57,90.00
2026-04-07T11:35:00Z,9.57,93.00
2026-04-07T11:37:00Z,8.00,93.00
2026-04-07T11:38:00Z,8.00,94.00
2026-04-07T11:39:00Z,8.00,94.00
2026-04-07T11:40:00Z,9.42,91.02
2026-04-07T11:41:00Z,10.99,91.00
2026-04-07T11:42:00Z,9.00,90.00
2026-04-07T11:43:00Z,8.30,90.13
2026-04-07T11:44:00Z,9.00,93.45
2026-04-07T11:45:00Z,10.31,92.00
2026-04-07T11:46:00Z,13.95,86.90
2026-04-07T11:47:00Z,15.69,86.00
2026-04-07T11:48:00Z,21.56,80.00
2026-04-07T11:49:00Z,23.09,78.10
2026-04-07T11:50:00Z,23.09,77.00
2026-04-07T11:51:00Z,23.49,78.18
2026-04-07T11:52:00Z,25.00,78.18
2026-04-07T11:53:00Z,24.67,76.38
2026-04-07T11:54:00Z,25.00,76.23
2026-04-07T11:55:00Z,21.16,76.00
