# event_ticker=KXATPMATCH-25OCT13GRIFEA
# final_score=6-3 6-7(6) 7-6(5)
# score_resolution=6-3 6-7 7-6
# match_winner=Jacob Fearnley
# fav_player=Jacob Fearnley
# dog_player=Tallon Griekspoor
# kalshi_date=2025-10-13
timestamp,Jacob Fearnley,Tallon Griekspoor
2025-10-13T03:19:00Z,,66.00
2025-10-13T03:42:00Z,,66.00
2025-10-13T04:18:00Z,36.00,66.00
2025-10-13T04:22:00Z,36.00,66.00
2025-10-13T04:26:00Z,36.00,66.00
2025-10-13T04:38:00Z,36.00,66.00
2025-10-13T04:40:00Z,34.00,66.00
2025-10-13T04:42:00Z,34.00,66.00
2025-10-13T04:44:00Z,34.00,66.00
2025-10-13T04:52:00Z,36.00,66.00
2025-10-13T04:57:00Z,36.00,66.00
2025-10-13T05:10:00Z,36.00,66.00
2025-10-13T05:12:00Z,36.00,66.00
2025-10-13T05:34:00Z,36.00,66.00
2025-10-13T05:48:00Z,35.00,66.00
2025-10-13T05:53:00Z,35.00,67.00
2025-10-13T06:28:00Z,35.00,67.00
2025-10-13T06:29:00Z,35.00,67.00
2025-10-13T06:35:00Z,35.00,67.00
2025-10-13T06:59:00Z,35.00,67.00
2025-10-13T07:13:00Z,35.00,67.00
2025-10-13T07:17:00Z,33.00,67.00
2025-10-13T07:21:00Z,33.00,67.00
2025-10-13T07:41:00Z,33.00,68.00
2025-10-13T07:44:00Z,33.00,68.00
2025-10-13T07:47:00Z,33.00,66.00
2025-10-13T08:13:00Z,33.00,66.00
2025-10-13T08:21:00Z,35.00,66.00
2025-10-13T08:22:00Z,35.00,67.00
2025-10-13T08:33:00Z,35.00,67.00
2025-10-13T08:40:00Z,35.00,67.00
2025-10-13T08:43:00Z,35.00,67.00
2025-10-13T08:57:00Z,35.00,67.00
2025-10-13T08:59:00Z,35.00,67.00
2025-10-13T09:00:00Z,35.00,66.00
2025-10-13T09:08:00Z,35.00,66.00
2025-10-13T09:20:00Z,35.00,66.00
2025-10-13T09:44:00Z,35.00,66.00
2025-10-13T10:26:00Z,35.00,67.00
2025-10-13T10:31:00Z,35.00,67.00
2025-10-13T10:32:00Z,35.00,67.00
