# event_ticker=KXATPCHALLENGERMATCH-26APR28WAWOFN
# final_score=6-3 6-4
# match_winner=Sebastian Ofner
# fav_player=Sebastian Ofner
# dog_player=Stan Wawrinka
# kalshi_date=2026-04-28
timestamp,Stan Wawrinka,Sebastian Ofner
2026-04-28T00:31:00Z,42.00,
2026-04-28T00:35:00Z,42.00,62.00
2026-04-28T01:43:00Z,40.00,62.00
2026-04-28T02:09:00Z,40.00,62.00
2026-04-28T02:28:00Z,37.00,62.00
2026-04-28T02:56:00Z,37.00,61.00
2026-04-28T03:19:00Z,37.00,63.00
2026-04-28T03:46:00Z,40.00,63.00
2026-04-28T04:21:00Z,40.00,63.00
2026-04-28T05:57:00Z,40.00,63.00
2026-04-28T06:09:00Z,40.00,63.00
2026-04-28T06:27:00Z,39.00,63.00
2026-04-28T10:15:00Z,40.00,63.00
2026-04-28T11:28:00Z,39.00,63.00
2026-04-28T11:34:00Z,39.00,62.94
2026-04-28T11:46:00Z,39.00,64.00
2026-04-28T11:52:00Z,39.00,64.00
2026-04-28T11:54:00Z,39.00,64.20
2026-04-28T12:02:00Z,39.00,64.00
2026-04-28T12:03:00Z,39.00,64.00
2026-04-28T12:12:00Z,39.00,64.00
2026-04-28T12:14:00Z,39.00,64.09
2026-04-28T12:15:00Z,39.00,63.63
2026-04-28T12:16:00Z,41.85,60.21
2026-04-28T12:17:00Z,41.85,57.00
2026-04-28T12:18:00Z,42.62,57.07
2026-04-28T12:19:00Z,49.49,52.88
2026-04-28T12:20:00Z,53.03,54.88
2026-04-28T12:21:00Z,44.09,57.52
2026-04-28T12:22:00Z,42.02,57.11
2026-04-28T12:23:00Z,39.05,61.23
2026-04-28T12:24:00Z,38.21,62.65
2026-04-28T12:25:00Z,34.78,64.38
2026-04-28T12:26:00Z,40.04,59.70
2026-04-28T12:27:00Z,43.00,57.78
2026-04-28T12:28:00Z,43.00,57.84
2026-04-28T12:29:00Z,43.00,57.94
2026-04-28T12:30:00Z,42.37,57.47
2026-04-28T12:31:00Z,42.37,57.91
2026-04-28T12:32:00Z,46.41,52.90
2026-04-28T12:33:00Z,51.45,49.15
2026-04-28T12:34:00Z,47.83,54.18
2026-04-28T12:35:00Z,51.62,52.30
2026-04-28T12:36:00Z,41.65,58.93
2026-04-28T12:37:00Z,40.05,60.50
2026-04-28T12:38:00Z,43.94,55.43
2026-04-28T12:39:00Z,44.85,55.09
2026-04-28T12:40:00Z,46.53,54.00
2026-04-28T12:41:00Z,46.99,55.00
2026-04-28T12:42:00Z,44.81,58.05
2026-04-28T12:43:00Z,42.02,57.60
2026-04-28T12:44:00Z,40.99,62.96
2026-04-28T12:45:00Z,33.26,66.58
2026-04-28T12:46:00Z,30.23,74.66
2026-04-28T12:47:00Z,22.40,77.87
2026-04-28T12:48:00Z,22.92,78.82
2026-04-28T12:49:00Z,22.92,76.35
2026-04-28T12:50:00Z,20.90,79.02
2026-04-28T12:51:00Z,20.00,80.18
2026-04-28T12:52:00Z,18.00,81.25
2026-04-28T12:53:00Z,16.81,82.57
2026-04-28T12:54:00Z,19.94,81.54
2026-04-28T12:55:00Z,15.00,86.00
2026-04-28T12:56:00Z,14.00,85.76
2026-04-28T12:57:00Z,15.00,85.02
2026-04-28T12:58:00Z,14.95,87.00
2026-04-28T12:59:00Z,15.00,87.00
2026-04-28T13:00:00Z,15.79,87.00
2026-04-28T13:01:00Z,14.70,86.54
2026-04-28T13:02:00Z,16.00,86.54
2026-04-28T13:03:00Z,14.68,85.53
2026-04-28T13:04:00Z,11.90,88.00
2026-04-28T13:05:00Z,9.16,89.45
2026-04-28T13:06:00Z,13.79,89.00
2026-04-28T13:07:00Z,14.36,85.41
2026-04-28T13:08:00Z,12.00,88.00
2026-04-28T13:10:00Z,14.21,87.85
2026-04-28T13:11:00Z,15.90,86.44
2026-04-28T13:12:00Z,15.95,85.00
2026-04-28T13:13:00Z,17.03,81.83
2026-04-28T13:14:00Z,19.17,80.28
2026-04-28T13:15:00Z,17.80,84.81
2026-04-28T13:16:00Z,13.00,87.00
2026-04-28T13:17:00Z,10.00,87.01
2026-04-28T13:18:00Z,12.76,90.83
2026-04-28T13:19:00Z,12.76,83.00
2026-04-28T13:20:00Z,18.97,80.00
2026-04-28T13:21:00Z,20.56,79.16
2026-04-28T13:22:00Z,16.79,82.86
2026-04-28T13:23:00Z,15.93,85.97
2026-04-28T13:24:00Z,15.00,86.05
2026-04-28T13:25:00Z,13.00,88.46
2026-04-28T13:26:00Z,16.97,84.20
2026-04-28T13:27:00Z,17.00,83.77
2026-04-28T13:28:00Z,17.96,83.00
2026-04-28T13:29:00Z,18.47,83.54
2026-04-28T13:30:00Z,17.95,85.34
2026-04-28T13:31:00Z,15.00,85.99
2026-04-28T13:32:00Z,12.56,87.00
2026-04-28T13:33:00Z,13.46,89.16
2026-04-28T13:34:00Z,5.10,95.97
2026-04-28T13:35:00Z,3.81,96.89
2026-04-28T13:36:00Z,1.00,99.00
2026-04-28T13:37:00Z,1.00,99.00
