# event_ticker=KXATPMATCH-25SEP24GIRKOR
# final_score=4-6 6-3 7-6(4)
# score_resolution=6-4 3-6 6-7
# match_winner=Sebastian Korda
# fav_player=Marcos Giron
# dog_player=Sebastian Korda
# kalshi_date=2025-09-24
timestamp,Marcos Giron,Sebastian Korda
2025-09-24T16:22:00Z,37.00,
2025-09-24T16:23:00Z,37.00,
2025-09-24T16:32:00Z,37.00,65.00
2025-09-24T16:40:00Z,37.00,65.00
2025-09-24T17:06:00Z,37.00,62.00
2025-09-24T17:07:00Z,39.00,62.00
2025-09-24T17:33:00Z,39.00,62.00
2025-09-24T18:09:00Z,39.00,63.00
2025-09-24T18:25:00Z,39.00,63.00
2025-09-24T18:48:00Z,39.00,63.00
2025-09-24T18:56:00Z,39.00,63.00
2025-09-24T19:00:00Z,39.00,63.00
2025-09-24T19:03:00Z,39.00,62.00
2025-09-24T19:06:00Z,39.00,62.00
2025-09-24T20:09:00Z,39.00,61.00
2025-09-24T20:33:00Z,38.00,61.00
2025-09-24T20:34:00Z,38.00,61.00
2025-09-24T20:58:00Z,38.00,63.00
2025-09-24T21:08:00Z,38.00,63.00
2025-09-24T21:19:00Z,38.00,63.00
2025-09-24T21:34:00Z,39.00,63.00
2025-09-24T21:35:00Z,38.00,63.00
2025-09-24T21:37:00Z,38.00,63.00
2025-09-24T21:44:00Z,38.64,63.00
2025-09-24T21:47:00Z,39.00,63.00
2025-09-24T21:48:00Z,39.00,63.00
2025-09-24T21:49:00Z,39.00,63.00
2025-09-24T21:52:00Z,38.00,63.00
2025-09-24T21:55:00Z,38.00,63.00
2025-09-24T21:57:00Z,38.00,63.00
2025-09-24T22:12:00Z,38.00,62.00
2025-09-24T22:13:00Z,39.00,62.00
2025-09-24T22:16:00Z,39.00,62.00
2025-09-24T22:25:00Z,39.00,62.00
2025-09-24T22:30:00Z,39.00,62.00
2025-09-24T22:33:00Z,39.00,62.00
2025-09-24T22:41:00Z,39.00,62.00
2025-09-24T23:11:00Z,39.00,62.00
2025-09-24T23:25:00Z,39.00,62.00
2025-09-24T23:36:00Z,39.00,62.00
2025-09-24T23:46:00Z,39.00,62.00
2025-09-24T23:59:00Z,39.00,62.00
2025-09-25T00:06:00Z,39.00,62.00
2025-09-25T00:17:00Z,39.00,62.00
2025-09-25T00:20:00Z,39.00,62.00
2025-09-25T00:23:00Z,39.00,62.00
2025-09-25T00:28:00Z,39.00,62.00
2025-09-25T00:36:00Z,39.00,62.00
2025-09-25T01:10:00Z,39.00,62.00
2025-09-25T01:12:00Z,39.00,62.00
2025-09-25T01:13:00Z,39.00,62.00
2025-09-25T01:14:00Z,39.00,62.00
2025-09-25T01:16:00Z,39.00,61.00
2025-09-25T01:17:00Z,39.00,61.00
2025-09-25T01:21:00Z,39.00,62.00
2025-09-25T01:24:00Z,39.00,62.00
2025-09-25T01:25:00Z,39.00,62.00
2025-09-25T01:27:00Z,39.00,62.00
2025-09-25T01:29:00Z,39.00,61.00
2025-09-25T01:30:00Z,39.00,61.00
2025-09-25T01:34:00Z,40.00,61.00
2025-09-25T01:44:00Z,40.00,62.00
2025-09-25T01:49:00Z,40.00,62.00
2025-09-25T01:50:00Z,40.00,62.00
2025-09-25T01:51:00Z,40.00,62.00
2025-09-25T01:52:00Z,40.00,62.00
2025-09-25T01:53:00Z,40.00,61.98
2025-09-25T01:54:00Z,40.00,62.00
2025-09-25T01:55:00Z,40.00,61.00
2025-09-25T01:56:00Z,40.00,61.00
2025-09-25T01:57:00Z,40.64,61.00
2025-09-25T01:59:00Z,41.00,61.00
2025-09-25T02:00:00Z,41.00,61.00
2025-09-25T02:01:00Z,41.00,62.00
2025-09-25T02:02:00Z,40.97,62.00
2025-09-25T02:03:00Z,41.00,62.00
2025-09-25T02:04:00Z,41.00,60.00
2025-09-25T02:06:00Z,40.68,61.12
2025-09-25T02:07:00Z,42.14,61.00
2025-09-25T02:08:00Z,43.05,61.00
2025-09-25T02:10:00Z,43.05,61.00
2025-09-25T02:11:00Z,42.87,61.00
2025-09-25T02:12:00Z,46.00,59.58
2025-09-25T02:13:00Z,52.61,51.78
2025-09-25T02:14:00Z,52.61,58.94
2025-09-25T02:15:00Z,41.00,61.00
2025-09-25T02:16:00Z,45.00,57.80
2025-09-25T02:17:00Z,48.33,53.43
2025-09-25T02:18:00Z,51.21,50.69
2025-09-25T02:19:00Z,57.24,49.42
2025-09-25T02:20:00Z,49.19,50.17
2025-09-25T02:21:00Z,44.01,59.63
2025-09-25T02:22:00Z,43.33,58.69
2025-09-25T02:23:00Z,41.00,58.69
2025-09-25T02:24:00Z,41.50,61.00
2025-09-25T02:25:00Z,43.00,59.75
2025-09-25T02:26:00Z,42.97,59.00
2025-09-25T02:27:00Z,43.33,58.00
2025-09-25T02:28:00Z,46.43,52.99
2025-09-25T02:29:00Z,46.43,53.97
2025-09-25T02:30:00Z,44.00,59.01
2025-09-25T02:31:00Z,44.00,59.99
