# event_ticker=KXATPCHALLENGERMATCH-26MAY05BAXARC
# final_score=6-2 6-3
# score_resolution=2-6 3-6
# match_winner=Florent Bax
# fav_player=Adrian Arcon
# dog_player=Florent Bax
# kalshi_date=2026-05-05
timestamp,Florent Bax,Adrian Arcon
2026-05-06T01:42:00Z,91.00,8.95
2026-05-06T01:43:00Z,92.00,8.24
2026-05-06T01:44:00Z,91.00,8.00
2026-05-06T01:45:00Z,92.00,8.00
2026-05-06T01:46:00Z,91.00,8.13
2026-05-06T01:47:00Z,91.00,8.98
2026-05-06T01:48:00Z,91.00,8.84
2026-05-06T01:49:00Z,91.00,9.00
2026-05-06T01:50:00Z,91.00,8.00
2026-05-06T01:51:00Z,91.00,8.26
2026-05-06T01:52:00Z,91.00,9.00
2026-05-06T01:53:00Z,92.00,8.00
2026-05-06T01:54:00Z,92.00,9.00
2026-05-06T01:55:00Z,92.00,8.22
2026-05-06T01:56:00Z,92.00,8.19
2026-05-06T01:57:00Z,92.00,8.00
2026-05-06T01:58:00Z,91.04,9.00
2026-05-06T01:59:00Z,91.04,9.00
2026-05-06T02:00:00Z,92.00,8.04
2026-05-06T02:01:00Z,91.50,8.00
2026-05-06T02:02:00Z,91.50,8.02
2026-05-06T02:03:00Z,92.00,8.76
2026-05-06T02:04:00Z,92.00,9.00
2026-05-06T02:05:00Z,92.00,8.00
2026-05-06T02:06:00Z,92.00,8.15
2026-05-06T02:08:00Z,92.00,8.08
2026-05-06T02:09:00Z,91.23,8.99
2026-05-06T02:10:00Z,91.23,8.52
2026-05-06T02:11:00Z,91.28,8.21
2026-05-06T02:12:00Z,91.28,8.39
2026-05-06T02:13:00Z,91.28,8.88
2026-05-06T02:14:00Z,91.28,8.09
2026-05-06T02:15:00Z,91.28,9.00
2026-05-06T02:16:00Z,92.00,9.00
2026-05-06T02:17:00Z,92.00,8.00
2026-05-06T02:20:00Z,91.00,8.17
2026-05-06T02:22:00Z,92.00,8.14
2026-05-06T02:23:00Z,91.00,8.13
2026-05-06T02:24:00Z,92.00,9.00
2026-05-06T02:25:00Z,92.00,9.00
2026-05-06T02:26:00Z,92.00,8.80
2026-05-06T02:27:00Z,91.00,9.00
2026-05-06T02:28:00Z,91.00,8.69
2026-05-06T02:29:00Z,92.00,9.00
2026-05-06T02:30:00Z,92.00,8.18
2026-05-06T02:31:00Z,92.00,8.77
2026-05-06T02:32:00Z,92.00,8.83
2026-05-06T02:34:00Z,92.00,8.00
2026-05-06T02:35:00Z,92.00,8.73
2026-05-06T02:36:00Z,92.00,8.18
2026-05-06T02:37:00Z,92.00,9.00
2026-05-06T02:38:00Z,92.00,9.00
2026-05-06T02:39:00Z,92.00,9.00
2026-05-06T02:40:00Z,92.00,8.11
2026-05-06T02:41:00Z,91.00,8.99
2026-05-06T02:42:00Z,91.00,8.24
2026-05-06T02:43:00Z,91.00,8.74
2026-05-06T02:44:00Z,91.00,9.00
2026-05-06T02:45:00Z,91.00,9.00
2026-05-06T02:46:00Z,92.00,9.00
