# event_ticker=KXATPCHALLENGERMATCH-26MAY12DEVCHA
# final_score=6-1 6-4
# match_winner=Joshua Charlton
# fav_player=Joshua Charlton
# dog_player=S D Prajwal Dev
# kalshi_date=2026-05-12
timestamp,S D Prajwal Dev,Joshua Charlton
2026-05-11T22:39:00Z,,53.00
2026-05-11T23:00:00Z,47.00,53.00
2026-05-11T23:21:00Z,47.00,55.00
2026-05-12T00:34:00Z,47.00,54.00
2026-05-12T02:18:00Z,47.00,55.00
2026-05-12T02:36:00Z,47.00,55.00
2026-05-12T03:05:00Z,47.00,55.00
2026-05-12T03:40:00Z,47.00,55.00
2026-05-12T03:44:00Z,47.00,55.00
2026-05-12T04:07:00Z,47.00,55.33
2026-05-12T04:09:00Z,47.00,56.00
2026-05-12T05:06:00Z,47.00,56.00
2026-05-12T05:37:00Z,47.00,56.00
2026-05-12T05:38:00Z,47.00,56.00
2026-05-12T05:46:00Z,46.64,56.00
2026-05-12T05:50:00Z,47.00,56.00
2026-05-12T05:56:00Z,46.00,56.00
2026-05-12T06:01:00Z,46.00,55.00
2026-05-12T06:16:00Z,46.00,56.00
2026-05-12T06:22:00Z,46.00,56.00
2026-05-12T06:37:00Z,46.00,56.00
2026-05-12T06:43:00Z,46.00,56.00
2026-05-12T06:52:00Z,46.00,54.00
2026-05-12T06:54:00Z,46.00,55.00
2026-05-12T07:12:00Z,46.00,55.00
2026-05-12T07:23:00Z,46.00,55.00
2026-05-12T07:29:00Z,46.00,55.00
2026-05-12T07:38:00Z,46.00,55.00
2026-05-12T07:39:00Z,46.00,55.00
2026-05-12T07:53:00Z,46.00,56.00
2026-05-12T08:19:00Z,46.00,56.00
2026-05-12T08:28:00Z,45.00,56.00
2026-05-12T08:31:00Z,45.00,56.00
2026-05-12T08:52:00Z,47.00,56.00
2026-05-12T09:53:00Z,47.00,56.00
2026-05-12T10:02:00Z,46.00,55.00
2026-05-12T10:03:00Z,46.00,55.41
2026-05-12T10:05:00Z,46.00,55.00
2026-05-12T10:06:00Z,46.00,55.00
2026-05-12T10:08:00Z,46.00,59.00
2026-05-12T10:11:00Z,36.00,64.15
2026-05-12T10:12:00Z,36.00,66.86
2026-05-12T10:13:00Z,31.00,65.23
2026-05-12T10:14:00Z,29.92,71.94
2026-05-12T10:15:00Z,27.04,71.94
2026-05-12T10:17:00Z,27.04,77.00
2026-05-12T10:19:00Z,27.04,77.00
2026-05-12T10:20:00Z,24.00,77.00
2026-05-12T10:21:00Z,22.69,77.00
2026-05-12T10:22:00Z,22.69,79.00
2026-05-12T10:23:00Z,22.69,76.00
2026-05-12T10:29:00Z,20.00,80.98
2026-05-12T10:30:00Z,17.00,80.98
2026-05-12T10:31:00Z,20.00,80.98
2026-05-12T10:32:00Z,20.00,81.34
2026-05-12T10:34:00Z,16.09,82.00
2026-05-12T10:36:00Z,18.36,82.00
2026-05-12T10:37:00Z,18.36,84.00
2026-05-12T10:38:00Z,18.36,87.00
2026-05-12T10:42:00Z,14.00,87.43
2026-05-12T10:44:00Z,14.00,87.43
2026-05-12T10:45:00Z,14.00,84.29
2026-05-12T10:46:00Z,18.00,83.00
2026-05-12T10:47:00Z,18.00,84.00
2026-05-12T10:50:00Z,12.00,89.00
2026-05-12T10:51:00Z,11.00,88.00
2026-05-12T10:52:00Z,5.38,94.22
2026-05-12T10:53:00Z,4.67,94.22
2026-05-12T10:54:00Z,5.00,96.00
2026-05-12T10:55:00Z,4.00,96.00
2026-05-12T10:56:00Z,5.00,94.00
2026-05-12T10:57:00Z,5.00,96.30
2026-05-12T10:58:00Z,5.00,96.00
2026-05-12T10:59:00Z,2.31,97.00
2026-05-12T11:00:00Z,1.00,98.72
2026-05-12T11:01:00Z,2.89,97.00
2026-05-12T11:02:00Z,4.00,97.00
2026-05-12T11:03:00Z,4.00,96.00
2026-05-12T11:05:00Z,5.62,95.63
2026-05-12T11:06:00Z,8.46,92.10
2026-05-12T11:07:00Z,15.91,87.26
2026-05-12T11:08:00Z,12.87,91.67
2026-05-12T11:09:00Z,7.40,90.79
2026-05-12T11:10:00Z,17.13,85.02
2026-05-12T11:11:00Z,19.89,79.12
2026-05-12T11:12:00Z,18.00,83.00
2026-05-12T11:13:00Z,16.40,86.35
2026-05-12T11:14:00Z,7.04,91.38
2026-05-12T11:15:00Z,5.00,95.75
2026-05-12T11:16:00Z,5.11,94.98
2026-05-12T11:17:00Z,7.78,92.01
2026-05-12T11:18:00Z,10.00,92.97
2026-05-12T11:19:00Z,10.62,93.66
2026-05-12T11:20:00Z,4.13,96.92
2026-05-12T11:21:00Z,3.00,98.54
2026-05-12T11:22:00Z,2.92,98.00
2026-05-12T11:23:00Z,3.00,96.59
2026-05-12T11:24:00Z,3.78,97.52
2026-05-12T11:25:00Z,1.97,98.00
2026-05-12T11:26:00Z,1.97,97.00
2026-05-12T11:27:00Z,2.93,97.00
2026-05-12T11:28:00Z,3.00,97.79
2026-05-12T11:29:00Z,1.40,98.98
2026-05-12T11:30:00Z,1.00,99.00
