# event_ticker=KXATPCHALLENGERMATCH-26MAY11DENADD
# final_score=6-2 6-3
# score_resolution=2-6 3-6
# match_winner=Guy Den Ouden
# fav_player=Dan Added
# dog_player=Guy Den Ouden
# kalshi_date=2026-05-11
timestamp,Guy Den Ouden,Dan Added
2026-05-11T05:33:00Z,73.00,
2026-05-11T06:04:00Z,73.00,29.00
2026-05-11T08:38:00Z,73.00,29.00
2026-05-11T11:41:00Z,73.00,27.00
2026-05-11T12:20:00Z,73.00,28.00
2026-05-11T12:26:00Z,73.00,28.00
2026-05-11T13:43:00Z,73.00,28.00
2026-05-11T14:18:00Z,73.00,28.00
2026-05-11T14:20:00Z,73.00,23.99
2026-05-11T14:21:00Z,80.83,17.77
2026-05-11T14:22:00Z,83.72,16.24
2026-05-11T14:23:00Z,84.15,16.77
2026-05-11T14:24:00Z,82.66,19.51
2026-05-11T14:25:00Z,80.00,20.00
2026-05-11T14:26:00Z,79.72,20.15
2026-05-11T14:27:00Z,81.86,18.02
2026-05-11T14:28:00Z,83.00,18.02
2026-05-11T14:29:00Z,82.99,17.00
2026-05-11T14:30:00Z,83.08,16.00
2026-05-11T14:31:00Z,80.00,18.49
2026-05-11T14:32:00Z,80.65,18.63
2026-05-11T14:33:00Z,82.00,17.00
2026-05-11T14:34:00Z,79.00,22.98
2026-05-11T14:35:00Z,79.00,22.10
2026-05-11T14:36:00Z,78.67,21.00
2026-05-11T14:37:00Z,79.91,19.35
2026-05-11T14:38:00Z,81.00,20.00
2026-05-11T14:39:00Z,80.00,20.00
2026-05-11T14:40:00Z,80.00,20.00
2026-05-11T14:41:00Z,80.76,20.00
2026-05-11T14:42:00Z,79.95,20.31
2026-05-11T14:43:00Z,79.14,20.31
2026-05-11T14:44:00Z,80.83,20.00
2026-05-11T14:46:00Z,81.77,18.54
2026-05-11T14:47:00Z,81.73,19.00
2026-05-11T14:48:00Z,81.86,19.00
2026-05-11T14:49:00Z,82.00,18.00
2026-05-11T14:50:00Z,81.88,18.00
2026-05-11T14:51:00Z,80.00,19.46
2026-05-11T14:52:00Z,80.00,24.99
2026-05-11T14:53:00Z,76.00,24.00
2026-05-11T14:54:00Z,76.00,27.00
2026-05-11T14:55:00Z,72.14,27.00
2026-05-11T14:56:00Z,73.71,27.00
2026-05-11T14:57:00Z,77.35,27.00
2026-05-11T14:58:00Z,80.21,20.78
2026-05-11T14:59:00Z,82.19,17.91
2026-05-11T15:00:00Z,84.30,14.00
2026-05-11T15:01:00Z,87.00,14.00
2026-05-11T15:02:00Z,90.00,10.00
2026-05-11T15:03:00Z,94.95,5.88
2026-05-11T15:04:00Z,96.00,5.88
2026-05-11T15:05:00Z,96.09,3.83
2026-05-11T15:06:00Z,99.00,2.00
2026-05-11T15:07:00Z,98.50,2.00
2026-05-11T15:10:00Z,97.74,3.00
2026-05-11T15:11:00Z,98.05,3.81
2026-05-11T15:12:00Z,97.00,2.00
2026-05-11T15:13:00Z,97.46,2.01
2026-05-11T15:14:00Z,98.95,1.02
2026-05-11T15:15:00Z,98.95,1.00
2026-05-11T15:16:00Z,98.95,1.00
2026-05-11T15:17:00Z,98.95,1.00
2026-05-11T15:18:00Z,97.04,2.39
2026-05-11T15:19:00Z,96.31,2.46
2026-05-11T15:20:00Z,98.57,2.65
2026-05-11T15:21:00Z,97.18,5.61
2026-05-11T15:22:00Z,98.02,2.22
2026-05-11T15:23:00Z,97.37,3.12
2026-05-11T15:24:00Z,98.56,2.63
2026-05-11T15:25:00Z,99.00,2.63
2026-05-11T15:26:00Z,99.00,1.00
