# event_ticker=KXATPCHALLENGERMATCH-26FEB25GAKPIR
# final_score=7-6(1) 6-3
# score_resolution=6-7 3-6
# match_winner=Zsombor Piros
# fav_player=Ivan Gakhov
# dog_player=Zsombor Piros
# kalshi_date=2026-02-25
timestamp,Ivan Gakhov,Zsombor Piros
2026-02-25T05:55:00Z,28.00,80.00
2026-02-25T06:12:00Z,28.00,78.00
2026-02-25T06:17:00Z,28.00,78.52
2026-02-25T06:20:00Z,28.00,74.58
2026-02-25T06:21:00Z,31.00,74.58
2026-02-25T06:24:00Z,31.00,74.00
2026-02-25T06:29:00Z,28.00,75.00
2026-02-25T06:53:00Z,28.00,75.00
2026-02-25T06:55:00Z,28.00,74.00
2026-02-25T07:33:00Z,28.00,75.00
2026-02-25T09:38:00Z,28.00,78.00
2026-02-25T09:48:00Z,28.00,78.00
2026-02-25T09:52:00Z,28.00,78.00
2026-02-25T09:55:00Z,31.00,71.00
2026-02-25T10:03:00Z,31.00,77.00
2026-02-25T10:06:00Z,32.00,77.00
2026-02-25T10:10:00Z,28.00,77.90
2026-02-25T10:20:00Z,32.00,77.90
2026-02-25T10:50:00Z,28.00,74.00
2026-02-25T11:15:00Z,28.00,74.00
2026-02-25T12:11:00Z,31.00,71.00
2026-02-25T12:12:00Z,28.00,74.00
2026-02-25T12:14:00Z,28.00,75.00
2026-02-25T12:30:00Z,28.00,71.00
2026-02-25T12:33:00Z,28.00,74.95
2026-02-25T12:58:00Z,30.00,74.95
2026-02-25T13:00:00Z,30.00,75.63
2026-02-25T13:05:00Z,30.00,75.95
2026-02-25T13:08:00Z,30.00,75.95
2026-02-25T13:10:00Z,30.00,75.07
2026-02-25T13:12:00Z,28.00,75.00
2026-02-25T13:20:00Z,28.00,75.00
2026-02-25T13:31:00Z,30.00,75.00
2026-02-25T13:35:00Z,30.00,75.00
2026-02-25T13:36:00Z,30.00,75.00
2026-02-25T13:41:00Z,28.00,74.00
2026-02-25T13:45:00Z,28.00,75.98
2026-02-25T13:46:00Z,30.00,75.98
2026-02-25T13:48:00Z,30.00,75.83
2026-02-25T13:52:00Z,29.07,75.83
2026-02-25T13:54:00Z,29.07,73.00
2026-02-25T13:56:00Z,29.07,73.00
2026-02-25T13:57:00Z,29.07,73.00
2026-02-25T14:00:00Z,29.07,71.00
2026-02-25T14:02:00Z,29.07,74.74
2026-02-25T14:04:00Z,29.07,75.26
2026-02-25T14:05:00Z,33.97,72.00
2026-02-25T14:07:00Z,34.18,69.45
2026-02-25T14:08:00Z,35.00,71.00
2026-02-25T14:09:00Z,35.27,71.00
2026-02-25T14:10:00Z,35.49,70.73
2026-02-25T14:11:00Z,35.99,70.00
2026-02-25T14:12:00Z,36.00,70.00
2026-02-25T14:13:00Z,34.51,70.48
2026-02-25T14:14:00Z,33.05,72.97
2026-02-25T14:15:00Z,33.29,70.99
