# event_ticker=KXATPCHALLENGERMATCH-26FEB10PERCOR
# final_score=4-6 6-2 7-5
# match_winner=Raphael Perot
# fav_player=Raphael Perot
# dog_player=Felix Corwin
# kalshi_date=2026-02-10
timestamp,Raphael Perot,Felix Corwin
2026-02-10T13:57:00Z,60.00,35.65
2026-02-10T14:00:00Z,80.00,35.65
2026-02-10T14:48:00Z,71.00,35.65
2026-02-10T15:30:00Z,71.00,30.00
2026-02-10T15:58:00Z,73.00,30.00
2026-02-10T16:27:00Z,73.00,30.00
2026-02-10T17:05:00Z,74.00,30.00
2026-02-10T17:18:00Z,74.87,30.00
2026-02-10T17:28:00Z,72.00,30.00
2026-02-10T18:04:00Z,74.00,30.00
2026-02-10T18:13:00Z,74.00,30.00
2026-02-10T18:15:00Z,74.97,30.00
2026-02-10T18:35:00Z,75.00,30.00
2026-02-10T18:39:00Z,75.00,30.00
2026-02-10T18:49:00Z,75.00,30.00
2026-02-10T19:20:00Z,75.00,30.00
2026-02-10T19:21:00Z,75.00,30.00
2026-02-10T19:22:00Z,75.00,28.00
2026-02-10T19:24:00Z,75.00,28.00
2026-02-10T20:26:00Z,75.00,28.00
2026-02-10T20:27:00Z,75.00,28.00
2026-02-10T20:31:00Z,75.00,28.00
2026-02-10T20:41:00Z,75.00,28.00
2026-02-10T20:49:00Z,75.00,28.00
2026-02-10T21:08:00Z,75.00,28.00
2026-02-10T21:11:00Z,75.00,26.00
2026-02-10T21:12:00Z,75.84,26.00
2026-02-10T21:17:00Z,75.84,26.00
2026-02-10T21:26:00Z,76.00,26.00
2026-02-10T21:31:00Z,76.00,26.00
2026-02-10T21:36:00Z,76.00,26.00
2026-02-10T21:44:00Z,76.00,26.23
2026-02-10T21:45:00Z,76.00,27.00
2026-02-10T21:50:00Z,75.00,27.00
2026-02-10T21:52:00Z,75.00,25.00
2026-02-10T21:59:00Z,75.00,25.00
2026-02-10T22:00:00Z,75.00,27.00
2026-02-10T22:01:00Z,75.00,27.00
2026-02-10T22:04:00Z,75.00,27.00
2026-02-10T22:06:00Z,75.00,27.00
2026-02-10T22:07:00Z,75.00,27.00
2026-02-10T22:09:00Z,75.00,27.00
2026-02-10T22:11:00Z,75.00,27.00
2026-02-10T22:12:00Z,75.00,27.00
2026-02-10T22:13:00Z,75.83,27.00
2026-02-10T22:14:00Z,75.83,26.00
2026-02-10T22:15:00Z,75.69,26.00
2026-02-10T22:16:00Z,75.69,25.66
2026-02-10T22:18:00Z,76.00,27.00
2026-02-10T22:19:00Z,76.00,27.00
2026-02-10T22:20:00Z,75.00,27.00
2026-02-10T22:21:00Z,76.00,27.00
2026-02-10T22:22:00Z,76.00,27.00
2026-02-10T22:24:00Z,75.00,27.00
2026-02-10T22:25:00Z,75.00,27.00
2026-02-10T22:27:00Z,75.00,27.00
