# event_ticker=KXATPMATCH-25OCT16KHASTR
# final_score=4-6 7-6(5) 6-3
# score_resolution=4-6 7-6 6-3
# match_winner=Jan-Lennard Struff
# fav_player=Jan-Lennard Struff
# dog_player=Karen Khachanov
# kalshi_date=2025-10-16
timestamp,Jan-Lennard Struff,Karen Khachanov
2025-10-16T04:16:00Z,,69.00
2025-10-16T04:23:00Z,33.00,69.00
2025-10-16T04:25:00Z,33.00,69.00
2025-10-16T04:29:00Z,33.00,69.00
2025-10-16T04:31:00Z,33.00,67.00
2025-10-16T04:34:00Z,33.00,67.00
2025-10-16T04:35:00Z,33.00,67.00
2025-10-16T04:39:00Z,34.00,67.00
2025-10-16T04:56:00Z,33.00,67.00
2025-10-16T05:00:00Z,33.00,67.00
2025-10-16T05:07:00Z,32.00,67.00
2025-10-16T05:12:00Z,32.00,67.00
2025-10-16T05:14:00Z,33.00,67.00
2025-10-16T05:20:00Z,32.00,67.00
2025-10-16T05:22:00Z,32.00,68.00
2025-10-16T05:34:00Z,33.00,68.00
2025-10-16T05:52:00Z,33.00,68.00
2025-10-16T06:22:00Z,33.00,68.00
2025-10-16T06:31:00Z,33.00,68.00
2025-10-16T06:36:00Z,33.00,68.00
2025-10-16T06:42:00Z,34.00,68.00
2025-10-16T09:07:00Z,34.00,68.00
2025-10-16T09:12:00Z,34.00,67.00
2025-10-16T09:14:00Z,34.00,67.00
2025-10-16T09:18:00Z,34.00,67.00
2025-10-16T09:20:00Z,34.00,67.00
2025-10-16T09:30:00Z,34.00,67.00
2025-10-16T09:38:00Z,34.00,67.00
2025-10-16T09:40:00Z,34.00,67.00
2025-10-16T09:58:00Z,34.00,67.00
2025-10-16T10:00:00Z,34.00,67.00
2025-10-16T10:09:00Z,34.00,66.00
2025-10-16T10:18:00Z,34.00,67.00
2025-10-16T10:36:00Z,34.00,66.00
2025-10-16T10:42:00Z,34.00,66.00
2025-10-16T10:49:00Z,35.00,66.00
2025-10-16T10:52:00Z,35.00,67.00
2025-10-16T10:53:00Z,35.00,67.00
2025-10-16T11:14:00Z,35.00,67.00
2025-10-16T11:23:00Z,35.00,67.00
2025-10-16T11:26:00Z,35.00,67.00
2025-10-16T11:29:00Z,35.00,67.00
2025-10-16T12:00:00Z,34.00,67.00
2025-10-16T12:07:00Z,35.00,67.00
2025-10-16T12:12:00Z,34.00,67.00
2025-10-16T12:14:00Z,34.00,66.40
2025-10-16T12:17:00Z,35.00,66.40
2025-10-16T12:18:00Z,35.00,67.43
2025-10-16T12:24:00Z,35.00,68.00
2025-10-16T12:33:00Z,33.00,68.00
2025-10-16T12:36:00Z,33.00,68.00
2025-10-16T12:37:00Z,33.00,68.00
2025-10-16T12:38:00Z,33.00,68.00
2025-10-16T12:40:00Z,33.00,68.00
