# event_ticker=KXATPCHALLENGERMATCH-26MAY14FERALE
# final_score=3-6 7-5 6-3
# score_resolution=6-3 5-7 3-6
# match_winner=Arthur Fery
# fav_player=Yannick Theodor Alexandrescou
# dog_player=Arthur Fery
# kalshi_date=2026-05-14
timestamp,Arthur Fery,Yannick Theodor Alexandrescou
2026-05-14T12:07:00Z,77.00,
2026-05-14T12:22:00Z,82.00,
2026-05-14T12:32:00Z,77.00,
2026-05-14T12:33:00Z,77.00,28.00
2026-05-14T12:34:00Z,82.00,28.00
2026-05-14T12:35:00Z,82.00,91.00
2026-05-14T12:37:00Z,82.00,17.00
2026-05-14T12:39:00Z,84.00,17.00
2026-05-14T12:44:00Z,84.00,17.00
2026-05-14T12:45:00Z,84.00,17.00
2026-05-14T12:52:00Z,84.00,13.00
2026-05-14T12:55:00Z,84.00,34.48
2026-05-14T12:59:00Z,84.00,26.00
2026-05-14T13:00:00Z,81.42,24.67
2026-05-14T13:01:00Z,81.42,23.19
2026-05-14T13:02:00Z,82.70,22.80
2026-05-14T13:03:00Z,80.97,32.29
2026-05-14T13:04:00Z,74.00,32.00
2026-05-14T13:05:00Z,63.74,43.00
2026-05-14T13:06:00Z,73.00,43.00
2026-05-14T13:07:00Z,68.29,32.10
2026-05-14T13:08:00Z,67.39,39.57
2026-05-14T13:09:00Z,67.39,35.00
2026-05-14T13:10:00Z,64.69,36.63
2026-05-14T13:11:00Z,59.01,42.02
2026-05-14T13:12:00Z,63.90,44.00
2026-05-14T13:13:00Z,66.14,35.13
2026-05-14T13:14:00Z,63.31,36.76
2026-05-14T13:15:00Z,65.16,35.26
2026-05-14T13:16:00Z,64.00,38.99
2026-05-14T13:17:00Z,62.00,39.00
2026-05-14T13:18:00Z,63.01,38.00
2026-05-14T13:19:00Z,62.00,38.00
2026-05-14T13:20:00Z,63.56,38.00
2026-05-14T13:21:00Z,58.04,37.45
2026-05-14T13:22:00Z,64.00,36.16
2026-05-14T13:23:00Z,66.65,33.39
2026-05-14T13:24:00Z,67.00,33.00
2026-05-14T13:25:00Z,62.01,37.95
2026-05-14T13:26:00Z,62.00,39.50
2026-05-14T13:27:00Z,60.09,40.00
2026-05-14T13:29:00Z,62.00,39.00
2026-05-14T13:30:00Z,61.00,39.96
2026-05-14T13:31:00Z,61.00,40.00
2026-05-14T13:32:00Z,60.33,41.00
2026-05-14T13:33:00Z,60.33,40.60
2026-05-14T13:34:00Z,61.00,39.17
2026-05-14T13:35:00Z,59.39,41.99
2026-05-14T13:36:00Z,59.39,38.00
2026-05-14T13:37:00Z,59.39,42.05
2026-05-14T13:38:00Z,57.00,45.00
2026-05-14T13:39:00Z,57.00,44.95
2026-05-14T13:40:00Z,58.00,44.64
2026-05-14T13:41:00Z,56.88,47.65
2026-05-14T13:42:00Z,57.28,44.10
2026-05-14T13:43:00Z,58.93,42.06
2026-05-14T13:44:00Z,59.00,42.06
2026-05-14T13:45:00Z,59.00,42.27
2026-05-14T13:46:00Z,59.00,43.00
2026-05-14T13:47:00Z,56.00,44.14
2026-05-14T13:48:00Z,60.16,44.00
2026-05-14T13:49:00Z,58.59,44.18
2026-05-14T13:50:00Z,52.53,47.22
2026-05-14T13:51:00Z,52.60,48.41
2026-05-14T13:52:00Z,51.00,57.85
2026-05-14T13:53:00Z,54.38,49.59
2026-05-14T13:54:00Z,56.00,45.51
2026-05-14T13:55:00Z,58.04,44.00
2026-05-14T13:56:00Z,59.53,39.74
2026-05-14T13:57:00Z,57.00,45.31
2026-05-14T13:58:00Z,58.45,42.47
2026-05-14T13:59:00Z,63.31,36.86
2026-05-14T14:00:00Z,60.60,39.29
2026-05-14T14:01:00Z,59.70,40.24
2026-05-14T14:02:00Z,66.91,35.13
2026-05-14T14:03:00Z,61.50,40.12
2026-05-14T14:04:00Z,62.22,41.79
2026-05-14T14:05:00Z,56.09,45.07
2026-05-14T14:06:00Z,50.27,53.54
2026-05-14T14:07:00Z,44.24,53.54
2026-05-14T14:08:00Z,52.72,49.00
2026-05-14T14:09:00Z,53.83,67.07
2026-05-14T14:10:00Z,30.29,70.70
2026-05-14T14:11:00Z,28.78,71.06
2026-05-14T14:12:00Z,31.01,75.46
2026-05-14T14:13:00Z,27.59,73.78
2026-05-14T14:14:00Z,35.87,69.46
2026-05-14T14:15:00Z,40.88,58.63
2026-05-14T14:16:00Z,42.00,57.81
2026-05-14T14:17:00Z,42.00,58.00
2026-05-14T14:18:00Z,42.76,58.94
2026-05-14T14:19:00Z,50.39,45.84
2026-05-14T14:20:00Z,64.33,32.36
2026-05-14T14:21:00Z,56.97,46.15
2026-05-14T14:22:00Z,63.16,44.66
2026-05-14T14:23:00Z,50.47,50.94
2026-05-14T14:24:00Z,37.95,63.41
2026-05-14T14:25:00Z,31.77,72.41
2026-05-14T14:26:00Z,33.00,66.85
2026-05-14T14:27:00Z,33.96,68.74
2026-05-14T14:28:00Z,36.10,66.16
2026-05-14T14:29:00Z,31.60,79.73
2026-05-14T14:30:00Z,20.83,81.45
2026-05-14T14:31:00Z,21.02,79.89
2026-05-14T14:32:00Z,22.34,79.33
2026-05-14T14:33:00Z,21.19,81.81
2026-05-14T14:34:00Z,12.61,85.49
2026-05-14T14:35:00Z,14.25,86.68
2026-05-14T14:36:00Z,11.69,87.72
2026-05-14T14:37:00Z,16.98,81.87
2026-05-14T14:38:00Z,20.84,79.89
2026-05-14T14:39:00Z,21.33,79.61
2026-05-14T14:40:00Z,23.49,79.28
2026-05-14T14:41:00Z,17.02,86.78
2026-05-14T14:42:00Z,37.31,74.58
2026-05-14T14:43:00Z,46.35,51.64
2026-05-14T14:44:00Z,59.81,41.68
2026-05-14T14:45:00Z,57.32,44.52
2026-05-14T14:46:00Z,60.64,40.62
2026-05-14T14:47:00Z,57.06,47.57
2026-05-14T14:48:00Z,47.53,51.67
2026-05-14T14:49:00Z,59.98,42.12
