# event_ticker=KXATPMATCH-26JUN08VIRMAJ
# final_score=6-7(7) 6-4 7-6(4)
# score_resolution=7-6 4-6 6-7
# match_winner=Kamil Majchrzak
# fav_player=Otto Virtanen
# dog_player=Kamil Majchrzak
# kalshi_date=2026-06-08
timestamp,Otto Virtanen,Kamil Majchrzak
2026-06-09T22:25:00Z,,47.00
2026-06-09T22:32:00Z,53.00,45.00
2026-06-09T22:33:00Z,53.00,45.00
2026-06-09T22:37:00Z,53.00,44.07
2026-06-09T22:46:00Z,55.00,44.07
2026-06-09T22:49:00Z,55.00,44.08
2026-06-09T22:50:00Z,55.54,44.08
2026-06-09T22:56:00Z,55.54,43.47
2026-06-09T22:59:00Z,55.54,46.00
2026-06-09T23:17:00Z,53.00,46.00
2026-06-09T23:19:00Z,53.00,44.00
2026-06-09T23:21:00Z,53.00,46.00
2026-06-09T23:33:00Z,56.00,44.00
2026-06-09T23:34:00Z,53.00,44.00
2026-06-09T23:36:00Z,53.00,44.00
2026-06-09T23:41:00Z,56.00,44.00
2026-06-10T00:04:00Z,56.00,44.00
2026-06-10T00:13:00Z,56.00,47.00
2026-06-10T00:16:00Z,56.00,44.00
2026-06-10T00:30:00Z,53.00,44.00
2026-06-10T00:32:00Z,53.00,44.00
2026-06-10T00:42:00Z,53.00,44.00
2026-06-10T00:51:00Z,53.00,46.00
2026-06-10T00:52:00Z,53.00,44.00
2026-06-10T00:55:00Z,53.00,44.00
2026-06-10T00:56:00Z,56.00,44.00
2026-06-10T01:03:00Z,56.00,44.00
2026-06-10T01:17:00Z,53.00,44.00
2026-06-10T01:27:00Z,53.00,44.00
2026-06-10T01:30:00Z,53.00,44.00
2026-06-10T01:34:00Z,53.00,44.00
2026-06-10T01:43:00Z,55.00,44.00
2026-06-10T01:47:00Z,55.00,46.85
2026-06-10T01:51:00Z,55.00,44.00
2026-06-10T02:00:00Z,55.66,44.00
2026-06-10T02:07:00Z,56.00,44.00
2026-06-10T02:09:00Z,56.00,44.00
2026-06-10T02:11:00Z,56.00,44.00
2026-06-10T02:14:00Z,56.00,44.00
2026-06-10T02:23:00Z,56.00,44.00
2026-06-10T02:36:00Z,56.00,46.00
2026-06-10T02:37:00Z,56.00,46.00
2026-06-10T02:39:00Z,56.00,47.00
2026-06-10T02:41:00Z,56.00,47.00
2026-06-10T02:47:00Z,56.00,46.00
2026-06-10T03:00:00Z,54.00,46.00
2026-06-10T03:02:00Z,55.92,46.00
2026-06-10T03:03:00Z,54.00,46.00
2026-06-10T03:04:00Z,56.00,46.00
2026-06-10T03:05:00Z,54.00,46.00
2026-06-10T03:06:00Z,56.00,46.00
2026-06-10T03:09:00Z,55.99,46.00
2026-06-10T03:12:00Z,55.98,46.00
2026-06-10T03:13:00Z,55.98,46.00
2026-06-10T03:14:00Z,55.77,46.00
2026-06-10T03:15:00Z,56.00,46.00
2026-06-10T03:22:00Z,56.00,46.00
2026-06-10T03:24:00Z,56.00,46.00
2026-06-10T03:27:00Z,56.00,47.00
2026-06-10T03:29:00Z,53.00,47.00
2026-06-10T03:33:00Z,56.00,47.00
2026-06-10T03:34:00Z,56.00,47.00
2026-06-10T03:36:00Z,56.00,47.00
2026-06-10T03:38:00Z,56.00,47.00
2026-06-10T03:39:00Z,56.00,47.00
2026-06-10T03:40:00Z,56.00,47.00
