# event_ticker=KXATPMATCH-26JAN15DAVVAC
# final_score=7-6(4) 6-2
# score_resolution=7-6 6-2
# match_winner=Alejandro Davidovich Fokina
# fav_player=Alejandro Davidovich Fokina
# dog_player=Valentin Vacherot
# kalshi_date=2026-01-15
timestamp,Alejandro Davidovich Fokina,Valentin Vacherot
2026-01-14T22:43:00Z,63.00,
2026-01-14T22:48:00Z,63.00,38.00
2026-01-14T22:50:00Z,63.00,38.00
2026-01-14T22:57:00Z,63.00,38.00
2026-01-14T23:19:00Z,63.00,38.00
2026-01-14T23:24:00Z,63.00,38.00
2026-01-14T23:50:00Z,63.00,38.00
2026-01-14T23:59:00Z,63.20,38.00
2026-01-15T00:16:00Z,64.00,38.00
2026-01-15T00:36:00Z,64.00,38.00
2026-01-15T01:09:00Z,64.00,38.00
2026-01-15T01:16:00Z,64.00,38.00
2026-01-15T02:22:00Z,64.00,38.00
2026-01-15T02:54:00Z,64.00,38.00
2026-01-15T03:06:00Z,64.00,38.00
2026-01-15T03:10:00Z,64.00,38.00
2026-01-15T03:32:00Z,64.00,38.00
2026-01-15T03:41:00Z,64.00,38.00
2026-01-15T03:42:00Z,64.17,38.00
2026-01-15T03:43:00Z,65.00,38.00
2026-01-15T03:53:00Z,65.00,38.00
2026-01-15T03:54:00Z,65.00,38.00
2026-01-15T03:58:00Z,65.00,38.00
2026-01-15T04:01:00Z,65.00,38.00
2026-01-15T04:14:00Z,63.00,38.00
2026-01-15T04:16:00Z,63.00,38.00
2026-01-15T04:20:00Z,63.00,38.00
2026-01-15T04:26:00Z,62.00,38.00
2026-01-15T04:39:00Z,63.00,38.00
2026-01-15T04:46:00Z,63.00,38.00
2026-01-15T04:48:00Z,64.11,38.00
2026-01-15T04:49:00Z,65.00,38.00
2026-01-15T04:56:00Z,64.00,38.00
2026-01-15T04:57:00Z,64.00,38.00
2026-01-15T04:58:00Z,64.00,38.00
2026-01-15T05:01:00Z,64.00,38.00
2026-01-15T05:06:00Z,64.00,38.00
2026-01-15T05:16:00Z,64.00,38.00
2026-01-15T05:19:00Z,64.00,38.00
2026-01-15T05:21:00Z,64.00,38.00
2026-01-15T05:28:00Z,64.00,38.00
2026-01-15T05:40:00Z,64.00,38.00
2026-01-15T05:50:00Z,64.00,38.00
2026-01-15T05:52:00Z,64.00,38.00
2026-01-15T05:53:00Z,61.36,38.00
2026-01-15T05:55:00Z,61.00,38.00
2026-01-15T05:58:00Z,63.00,38.00
2026-01-15T06:03:00Z,63.00,38.00
2026-01-15T06:04:00Z,63.82,38.00
2026-01-15T06:07:00Z,63.00,38.00
2026-01-15T06:11:00Z,63.00,38.00
2026-01-15T06:12:00Z,64.00,38.00
2026-01-15T06:17:00Z,64.00,38.00
2026-01-15T06:27:00Z,64.00,38.00
