# event_ticker=KXATPCHALLENGERMATCH-26MAR17SHAALU
# final_score=6-2 1-6 6-3
# match_winner=Aryan Shah
# fav_player=Aryan Shah
# dog_player=Rodrigo Alujas
# kalshi_date=2026-03-17
timestamp,Aryan Shah,Rodrigo Alujas
2026-03-17T05:30:00Z,,17.00
2026-03-17T05:56:00Z,90.00,17.00
2026-03-17T06:02:00Z,78.00,17.00
2026-03-17T06:05:00Z,79.00,17.00
2026-03-17T07:59:00Z,78.00,17.00
2026-03-17T08:02:00Z,78.29,17.00
2026-03-17T08:18:00Z,80.00,17.00
2026-03-17T08:37:00Z,80.00,17.00
2026-03-17T08:42:00Z,80.00,20.00
2026-03-17T08:56:00Z,80.00,20.00
2026-03-17T11:20:00Z,80.00,20.00
2026-03-17T11:40:00Z,80.00,20.00
2026-03-17T11:55:00Z,80.00,20.00
2026-03-17T12:55:00Z,81.00,20.00
2026-03-17T13:18:00Z,81.00,20.00
2026-03-17T14:02:00Z,81.00,20.00
2026-03-17T14:49:00Z,79.01,20.00
2026-03-17T14:50:00Z,79.01,19.00
2026-03-17T14:51:00Z,80.00,19.00
2026-03-17T15:02:00Z,80.00,19.00
2026-03-17T15:05:00Z,80.00,19.00
2026-03-17T15:09:00Z,80.00,20.00
2026-03-17T15:22:00Z,80.00,20.00
2026-03-17T15:49:00Z,80.00,20.00
2026-03-17T15:50:00Z,80.00,20.00
2026-03-17T15:59:00Z,80.64,20.00
2026-03-17T16:05:00Z,80.64,21.04
2026-03-17T16:06:00Z,80.64,19.00
2026-03-17T16:07:00Z,81.00,21.00
2026-03-17T16:08:00Z,81.00,21.00
2026-03-17T16:09:00Z,80.97,21.81
2026-03-17T16:10:00Z,82.00,22.28
2026-03-17T16:11:00Z,80.00,22.94
2026-03-17T16:12:00Z,80.00,25.00
2026-03-17T16:13:00Z,72.00,30.68
2026-03-17T16:14:00Z,68.08,34.00
2026-03-17T16:15:00Z,72.97,34.00
2026-03-17T16:16:00Z,78.96,23.00
2026-03-17T16:17:00Z,78.96,21.43
2026-03-17T16:18:00Z,79.79,24.00
2026-03-17T16:19:00Z,82.06,18.00
2026-03-17T16:20:00Z,83.33,17.00
2026-03-17T16:21:00Z,85.96,11.83
2026-03-17T16:22:00Z,88.00,12.00
2026-03-17T16:23:00Z,89.00,11.09
2026-03-17T16:24:00Z,89.00,12.00
2026-03-17T16:25:00Z,89.00,11.91
2026-03-17T16:26:00Z,89.00,11.91
2026-03-17T16:27:00Z,89.00,11.02
2026-03-17T16:28:00Z,89.00,12.37
2026-03-17T16:29:00Z,89.00,12.00
2026-03-17T16:30:00Z,89.00,13.00
2026-03-17T16:31:00Z,83.74,15.90
2026-03-17T16:32:00Z,81.01,17.00
2026-03-17T16:33:00Z,81.01,20.00
2026-03-17T16:34:00Z,85.21,15.00
2026-03-17T16:35:00Z,87.00,18.59
2026-03-17T16:36:00Z,85.59,14.00
2026-03-17T16:37:00Z,87.02,13.67
2026-03-17T16:38:00Z,90.60,11.00
2026-03-17T16:39:00Z,90.60,7.24
2026-03-17T16:40:00Z,92.00,7.24
2026-03-17T16:41:00Z,93.00,7.24
2026-03-17T16:42:00Z,94.00,7.24
2026-03-17T16:43:00Z,94.00,6.00
2026-03-17T16:44:00Z,94.00,7.00
2026-03-17T16:46:00Z,92.00,10.00
2026-03-17T16:47:00Z,91.00,10.00
2026-03-17T16:49:00Z,91.00,13.00
2026-03-17T16:50:00Z,84.00,18.97
2026-03-17T16:51:00Z,89.00,12.90
2026-03-17T16:52:00Z,91.00,10.00
2026-03-17T16:53:00Z,91.00,9.00
2026-03-17T16:54:00Z,92.33,9.41
2026-03-17T16:55:00Z,92.33,11.85
2026-03-17T16:57:00Z,88.01,13.62
2026-03-17T16:58:00Z,88.00,12.31
2026-03-17T16:59:00Z,82.92,19.16
2026-03-17T17:00:00Z,77.11,23.11
2026-03-17T17:01:00Z,80.84,23.11
2026-03-17T17:02:00Z,80.00,23.11
2026-03-17T17:03:00Z,78.00,25.09
2026-03-17T17:04:00Z,78.00,26.00
2026-03-17T17:05:00Z,74.00,26.21
2026-03-17T17:06:00Z,69.00,29.13
2026-03-17T17:07:00Z,71.00,33.98
2026-03-17T17:08:00Z,64.80,36.98
2026-03-17T17:09:00Z,65.13,35.98
2026-03-17T17:10:00Z,64.05,35.51
2026-03-17T17:11:00Z,63.50,36.09
2026-03-17T17:12:00Z,64.00,36.53
2026-03-17T17:13:00Z,63.99,36.00
2026-03-17T17:14:00Z,64.00,36.65
2026-03-17T17:15:00Z,64.00,36.67
2026-03-17T17:16:00Z,52.58,43.69
2026-03-17T17:17:00Z,48.32,55.06
2026-03-17T17:18:00Z,43.59,60.38
2026-03-17T17:19:00Z,38.97,63.27
2026-03-17T17:20:00Z,31.11,67.88
2026-03-17T17:21:00Z,28.55,71.40
2026-03-17T17:22:00Z,26.83,74.81
2026-03-17T17:23:00Z,30.88,73.00
2026-03-17T17:24:00Z,31.96,69.00
2026-03-17T17:25:00Z,34.67,65.95
2026-03-17T17:26:00Z,35.91,69.00
2026-03-17T17:27:00Z,27.38,73.21
2026-03-17T17:28:00Z,31.30,72.04
2026-03-17T17:29:00Z,27.00,72.83
2026-03-17T17:30:00Z,36.00,67.28
2026-03-17T17:31:00Z,52.74,50.34
2026-03-17T17:32:00Z,63.42,36.65
2026-03-17T17:33:00Z,67.88,31.99
2026-03-17T17:34:00Z,69.52,31.38
2026-03-17T17:35:00Z,69.93,30.97
2026-03-17T17:36:00Z,69.56,31.01
2026-03-17T17:37:00Z,64.38,35.98
2026-03-17T17:38:00Z,63.24,37.17
2026-03-17T17:39:00Z,77.20,23.64
2026-03-17T17:40:00Z,66.00,30.74
2026-03-17T17:41:00Z,67.72,33.53
2026-03-17T17:42:00Z,78.95,23.14
2026-03-17T17:43:00Z,90.94,9.50
2026-03-17T17:44:00Z,89.35,12.86
2026-03-17T17:45:00Z,88.05,14.30
2026-03-17T17:46:00Z,90.30,11.08
2026-03-17T17:47:00Z,95.95,4.55
