# event_ticker=KXATPMATCH-25SEP26MEDNOR
# final_score=6-3 6-4
# score_resolution=3-6 4-6
# match_winner=Daniil Medvedev
# fav_player=Cameron Norrie
# dog_player=Daniil Medvedev
# kalshi_date=2025-09-26
timestamp,Cameron Norrie,Daniil Medvedev
2025-09-25T22:06:00Z,,74.00
2025-09-25T22:11:00Z,28.00,74.00
2025-09-25T22:13:00Z,28.00,74.00
2025-09-25T22:14:00Z,28.00,74.00
2025-09-25T23:21:00Z,27.00,74.00
2025-09-25T23:50:00Z,27.00,74.00
2025-09-26T00:10:00Z,27.00,74.00
2025-09-26T00:19:00Z,27.00,74.00
2025-09-26T00:33:00Z,27.00,74.00
2025-09-26T00:55:00Z,27.00,74.95
2025-09-26T01:09:00Z,26.00,74.95
2025-09-26T01:26:00Z,26.00,74.95
2025-09-26T01:28:00Z,26.00,74.95
2025-09-26T01:59:00Z,25.00,74.95
2025-09-26T02:09:00Z,25.00,75.00
2025-09-26T02:22:00Z,25.00,75.00
2025-09-26T02:23:00Z,25.00,74.00
2025-09-26T02:44:00Z,25.00,73.54
2025-09-26T02:53:00Z,25.00,74.00
2025-09-26T02:55:00Z,25.00,74.68
2025-09-26T03:03:00Z,25.00,74.00
2025-09-26T03:18:00Z,25.00,74.27
2025-09-26T03:25:00Z,27.00,74.27
2025-09-26T03:27:00Z,27.00,74.27
2025-09-26T03:29:00Z,27.00,74.27
2025-09-26T03:34:00Z,27.00,74.00
2025-09-26T03:35:00Z,27.00,74.00
2025-09-26T03:54:00Z,27.00,74.00
2025-09-26T04:04:00Z,27.00,74.00
2025-09-26T04:10:00Z,27.00,74.00
2025-09-26T04:20:00Z,27.00,74.00
2025-09-26T04:21:00Z,27.00,74.00
2025-09-26T04:22:00Z,27.00,73.00
2025-09-26T04:24:00Z,27.00,74.00
2025-09-26T04:48:00Z,27.00,74.00
2025-09-26T04:52:00Z,27.00,74.00
2025-09-26T05:00:00Z,27.00,74.00
2025-09-26T05:02:00Z,27.00,74.00
2025-09-26T05:03:00Z,27.00,74.00
2025-09-26T05:07:00Z,27.00,74.00
2025-09-26T05:12:00Z,27.00,74.00
2025-09-26T05:14:00Z,27.00,74.00
2025-09-26T05:21:00Z,26.00,74.00
2025-09-26T05:22:00Z,26.00,74.00
2025-09-26T05:33:00Z,26.00,74.00
2025-09-26T05:38:00Z,27.00,74.00
