# event_ticker=KXATPCHALLENGERMATCH-26APR28KUZBLA
# final_score=2-6 6-3 6-1
# match_winner=Dimitar Kuzmanov
# fav_player=Dimitar Kuzmanov
# dog_player=Dali Blanch
# kalshi_date=2026-04-28
timestamp,Dimitar Kuzmanov,Dali Blanch
2026-04-28T00:01:00Z,51.00,
2026-04-28T00:37:00Z,51.00,51.00
2026-04-28T02:29:00Z,49.00,51.00
2026-04-28T05:29:00Z,49.00,51.00
2026-04-28T05:55:00Z,49.00,50.41
2026-04-28T05:56:00Z,49.00,51.00
2026-04-28T06:02:00Z,49.00,51.00
2026-04-28T06:06:00Z,51.81,51.00
2026-04-28T06:43:00Z,50.00,51.00
2026-04-28T06:46:00Z,50.00,51.00
2026-04-28T06:47:00Z,49.00,51.00
2026-04-28T07:23:00Z,49.00,51.00
2026-04-28T07:28:00Z,49.00,53.00
2026-04-28T07:36:00Z,49.00,53.00
2026-04-28T08:21:00Z,49.00,53.00
2026-04-28T09:21:00Z,49.00,53.00
2026-04-28T09:48:00Z,49.00,52.00
2026-04-28T10:13:00Z,50.00,52.00
2026-04-28T10:16:00Z,50.00,53.67
2026-04-28T10:22:00Z,51.00,49.17
2026-04-28T10:23:00Z,53.00,49.17
2026-04-28T10:24:00Z,53.00,49.17
2026-04-28T10:25:00Z,50.00,50.00
2026-04-28T10:26:00Z,50.00,51.00
2026-04-28T10:30:00Z,52.82,50.00
2026-04-28T10:31:00Z,53.00,50.00
2026-04-28T10:32:00Z,53.00,49.00
2026-04-28T10:34:00Z,50.00,50.00
2026-04-28T10:35:00Z,46.78,51.21
2026-04-28T10:36:00Z,44.67,59.86
2026-04-28T10:37:00Z,44.67,64.00
2026-04-28T10:39:00Z,36.14,64.00
2026-04-28T10:40:00Z,37.27,63.56
2026-04-28T10:41:00Z,37.27,66.00
2026-04-28T10:43:00Z,37.27,69.00
2026-04-28T10:44:00Z,37.27,71.01
2026-04-28T10:45:00Z,23.62,75.15
2026-04-28T10:46:00Z,23.62,78.73
2026-04-28T10:48:00Z,23.62,79.85
2026-04-28T10:49:00Z,19.78,79.85
2026-04-28T10:50:00Z,19.78,82.00
2026-04-28T10:51:00Z,19.78,82.00
2026-04-28T10:52:00Z,19.78,80.01
2026-04-28T10:53:00Z,20.00,80.01
2026-04-28T10:55:00Z,20.00,82.00
2026-04-28T10:56:00Z,20.00,82.00
2026-04-28T10:57:00Z,19.61,82.00
2026-04-28T10:58:00Z,16.61,84.00
2026-04-28T10:59:00Z,14.97,89.00
2026-04-28T11:00:00Z,12.05,89.00
