# event_ticker=KXATPMATCH-25JUL16RUBHER
# final_score=6-3 6-2
# score_resolution=3-6 2-6
# match_winner=Andrey Rublev
# fav_player=Alex Hernandez
# dog_player=Andrey Rublev
# kalshi_date=2025-07-16
timestamp,Alex Hernandez,Andrey Rublev
2025-07-16T14:51:00Z,4.00,95.00
2025-07-16T14:52:00Z,4.00,95.00
2025-07-16T14:53:00Z,4.00,83.50
2025-07-16T14:54:00Z,4.00,95.00
2025-07-16T14:55:00Z,4.00,95.00
2025-07-16T14:57:00Z,4.00,95.00
2025-07-16T18:05:00Z,4.00,95.00
2025-07-16T18:23:00Z,4.00,95.00
2025-07-16T18:53:00Z,4.00,96.00
2025-07-16T19:40:00Z,4.00,96.00
2025-07-16T19:41:00Z,4.00,96.00
2025-07-16T19:42:00Z,4.00,96.00
2025-07-16T19:54:00Z,5.00,96.00
2025-07-16T20:36:00Z,5.00,96.00
2025-07-16T20:37:00Z,5.00,96.00
2025-07-16T21:06:00Z,5.00,96.00
2025-07-16T21:11:00Z,5.00,96.00
2025-07-16T21:22:00Z,5.00,96.65
2025-07-16T22:31:00Z,5.00,96.65
2025-07-16T22:47:00Z,5.00,96.65
2025-07-16T22:48:00Z,5.00,96.65
2025-07-16T23:40:00Z,5.00,96.65
2025-07-17T00:02:00Z,5.00,96.65
2025-07-17T00:31:00Z,5.00,96.65
2025-07-17T00:50:00Z,5.00,96.65
2025-07-17T01:18:00Z,5.00,96.65
2025-07-17T01:28:00Z,5.00,96.65
2025-07-17T01:40:00Z,5.11,96.65
2025-07-17T01:47:00Z,5.83,96.65
2025-07-17T01:49:00Z,5.99,96.65
2025-07-17T01:50:00Z,5.00,96.65
2025-07-17T02:04:00Z,6.00,96.65
2025-07-17T02:08:00Z,6.00,96.00
2025-07-17T02:11:00Z,6.92,96.00
2025-07-17T02:14:00Z,7.21,96.00
2025-07-17T02:15:00Z,7.00,96.00
2025-07-17T02:16:00Z,7.00,96.00
2025-07-17T02:20:00Z,7.58,96.00
2025-07-17T02:21:00Z,9.00,96.00
2025-07-17T02:28:00Z,7.48,96.00
2025-07-17T02:30:00Z,7.00,95.00
2025-07-17T02:31:00Z,5.04,95.00
2025-07-17T02:32:00Z,11.01,95.00
2025-07-17T02:33:00Z,7.59,94.00
2025-07-17T02:34:00Z,8.05,94.00
2025-07-17T02:35:00Z,5.17,94.00
2025-07-17T02:36:00Z,12.00,94.00
2025-07-17T02:38:00Z,10.82,94.00
2025-07-17T02:39:00Z,11.00,95.00
2025-07-17T02:40:00Z,7.89,94.00
2025-07-17T02:42:00Z,8.00,94.00
2025-07-17T02:43:00Z,8.00,94.00
2025-07-17T02:45:00Z,8.39,94.00
2025-07-17T02:46:00Z,8.00,94.00
2025-07-17T02:47:00Z,8.43,93.00
2025-07-17T02:48:00Z,10.00,91.00
2025-07-17T02:49:00Z,8.11,95.00
2025-07-17T02:50:00Z,8.00,95.00
2025-07-17T02:51:00Z,8.00,95.00
2025-07-17T02:52:00Z,18.00,95.00
2025-07-17T02:53:00Z,9.29,94.00
2025-07-17T02:54:00Z,9.41,94.00
2025-07-17T02:55:00Z,9.16,94.00
2025-07-17T02:56:00Z,8.67,93.00
2025-07-17T02:57:00Z,9.49,97.42
2025-07-17T02:58:00Z,9.57,97.42
2025-07-17T02:59:00Z,8.00,97.42
2025-07-17T03:00:00Z,7.32,94.00
2025-07-17T03:01:00Z,8.53,94.00
2025-07-17T03:02:00Z,7.00,94.00
2025-07-17T03:04:00Z,4.56,94.00
2025-07-17T03:05:00Z,5.88,96.00
2025-07-17T03:06:00Z,5.77,96.00
2025-07-17T03:07:00Z,5.00,96.00
2025-07-17T03:08:00Z,5.00,97.00
2025-07-17T03:09:00Z,3.07,97.00
2025-07-17T03:10:00Z,3.05,97.00
2025-07-17T03:11:00Z,3.03,97.00
2025-07-17T03:12:00Z,5.90,97.00
2025-07-17T03:13:00Z,5.00,97.00
2025-07-17T03:20:00Z,5.00,99.00
2025-07-17T03:21:00Z,3.00,97.00
2025-07-17T03:26:00Z,4.60,97.00
2025-07-17T03:28:00Z,5.00,97.00
2025-07-17T03:33:00Z,1.00,97.00
2025-07-17T03:34:00Z,3.00,97.00
2025-07-17T03:35:00Z,4.00,97.00
2025-07-17T03:39:00Z,4.00,99.00
2025-07-17T03:43:00Z,1.00,99.00
