# event_ticker=KXATPMATCH-26JAN04NORHUM
# final_score=1-6 7-6(6) 7-5
# score_resolution=1-6 7-6 7-5
# match_winner=Cameron Norrie
# fav_player=Cameron Norrie
# dog_player=Ugo Humbert
# kalshi_date=2026-01-04
timestamp,Cameron Norrie,Ugo Humbert
2026-01-05T18:08:00Z,44.00,
2026-01-05T18:16:00Z,44.00,
2026-01-05T19:09:00Z,44.00,56.00
2026-01-05T20:55:00Z,44.00,56.00
2026-01-05T20:56:00Z,44.00,56.00
2026-01-05T21:06:00Z,44.00,56.00
2026-01-05T21:15:00Z,44.00,56.00
2026-01-05T22:08:00Z,44.05,56.00
2026-01-05T22:20:00Z,44.05,55.00
2026-01-05T22:59:00Z,44.05,56.00
2026-01-05T23:08:00Z,45.00,56.00
2026-01-05T23:33:00Z,44.00,56.00
2026-01-05T23:38:00Z,44.00,56.00
2026-01-05T23:39:00Z,45.00,56.00
2026-01-05T23:50:00Z,45.00,56.98
2026-01-05T23:55:00Z,45.00,57.00
2026-01-05T23:57:00Z,45.00,57.00
2026-01-06T00:13:00Z,45.00,57.00
2026-01-06T00:17:00Z,45.00,57.00
2026-01-06T01:03:00Z,45.00,57.00
2026-01-06T01:19:00Z,45.00,57.00
2026-01-06T01:41:00Z,45.00,57.00
2026-01-06T01:46:00Z,45.00,56.00
2026-01-06T01:48:00Z,45.00,57.00
2026-01-06T01:50:00Z,45.00,57.00
2026-01-06T01:53:00Z,45.00,57.00
2026-01-06T01:55:00Z,45.00,56.00
2026-01-06T01:57:00Z,45.00,56.00
2026-01-06T02:14:00Z,45.00,56.00
2026-01-06T02:15:00Z,45.00,55.00
2026-01-06T02:33:00Z,45.00,56.00
2026-01-06T02:39:00Z,45.00,56.00
2026-01-06T02:49:00Z,45.00,56.00
2026-01-06T02:51:00Z,45.00,57.00
2026-01-06T02:53:00Z,45.00,57.00
2026-01-06T02:57:00Z,45.00,57.00
2026-01-06T03:04:00Z,45.00,57.00
2026-01-06T03:06:00Z,45.00,57.00
2026-01-06T03:07:00Z,45.00,57.00
2026-01-06T03:12:00Z,45.00,57.00
