# event_ticker=KXATPMATCH-25JUL29MULKEC
# final_score=2-6 6-3 7-5
# match_winner=Alexandre Muller
# fav_player=Alexandre Muller
# dog_player=Miomir Kecmanovic
# kalshi_date=2025-07-29
timestamp,Alexandre Muller,Miomir Kecmanovic
2025-07-29T12:38:00Z,37.00,
2025-07-29T12:42:00Z,37.00,
2025-07-29T12:52:00Z,37.00,
2025-07-29T14:25:00Z,50.00,
2025-07-29T14:39:00Z,39.00,
2025-07-29T15:15:00Z,39.00,63.00
2025-07-29T15:49:00Z,39.00,63.00
2025-07-29T16:13:00Z,39.00,63.00
2025-07-29T16:14:00Z,39.00,63.00
2025-07-29T16:19:00Z,39.00,63.00
2025-07-29T16:28:00Z,39.00,63.00
2025-07-29T16:30:00Z,39.00,63.00
2025-07-29T16:33:00Z,39.00,63.00
2025-07-29T16:38:00Z,39.00,63.00
2025-07-29T16:44:00Z,39.00,63.00
2025-07-29T16:47:00Z,47.52,61.65
2025-07-29T16:48:00Z,41.00,63.00
2025-07-29T16:49:00Z,35.06,65.63
2025-07-29T16:50:00Z,35.08,65.00
2025-07-29T16:52:00Z,33.00,65.00
2025-07-29T16:53:00Z,37.00,65.00
2025-07-29T16:54:00Z,40.67,65.00
2025-07-29T16:55:00Z,40.67,59.00
2025-07-29T16:57:00Z,36.08,59.00
2025-07-29T16:58:00Z,35.47,66.00
2025-07-29T17:00:00Z,32.71,68.00
2025-07-29T17:02:00Z,32.71,73.97
2025-07-29T17:03:00Z,32.51,73.97
2025-07-29T17:04:00Z,27.00,75.20
2025-07-29T17:05:00Z,25.00,75.20
2025-07-29T17:06:00Z,26.19,77.00
2025-07-29T17:09:00Z,19.67,81.00
2025-07-29T17:10:00Z,19.67,85.00
2025-07-29T17:12:00Z,15.00,85.00
2025-07-29T17:13:00Z,15.00,87.00
2025-07-29T17:14:00Z,11.48,86.00
2025-07-29T17:15:00Z,11.48,87.00
2025-07-29T17:16:00Z,11.48,87.00
2025-07-29T17:17:00Z,14.00,87.00
2025-07-29T17:18:00Z,12.36,88.00
2025-07-29T17:19:00Z,12.36,87.00
2025-07-29T17:20:00Z,12.36,86.00
2025-07-29T17:21:00Z,17.62,86.00
2025-07-29T17:22:00Z,16.00,87.00
2025-07-29T17:23:00Z,13.00,87.00
2025-07-29T17:24:00Z,13.53,88.00
2025-07-29T17:25:00Z,13.53,88.00
2025-07-29T17:26:00Z,14.00,91.00
2025-07-29T17:27:00Z,14.00,88.00
2025-07-29T17:28:00Z,15.00,88.00
2025-07-29T17:29:00Z,17.00,88.00
2025-07-29T17:30:00Z,17.00,85.43
2025-07-29T17:31:00Z,17.00,87.00
2025-07-29T17:32:00Z,17.00,88.00
2025-07-29T17:33:00Z,12.56,88.00
2025-07-29T17:35:00Z,13.00,88.00
2025-07-29T17:36:00Z,16.72,88.00
2025-07-29T17:37:00Z,18.00,88.00
2025-07-29T17:40:00Z,26.43,76.05
2025-07-29T17:41:00Z,29.03,76.05
2025-07-29T17:42:00Z,35.00,76.05
2025-07-29T17:43:00Z,34.59,76.05
2025-07-29T17:44:00Z,37.67,76.05
2025-07-29T17:45:00Z,38.34,76.05
2025-07-29T17:47:00Z,37.08,76.05
2025-07-29T17:48:00Z,33.70,76.05
2025-07-29T17:50:00Z,40.36,76.05
2025-07-29T17:51:00Z,38.89,63.00
2025-07-29T17:52:00Z,43.25,64.00
2025-07-29T17:53:00Z,40.99,60.00
2025-07-29T17:54:00Z,40.06,63.00
2025-07-29T17:55:00Z,41.29,66.00
2025-07-29T17:56:00Z,39.54,63.00
2025-07-29T17:57:00Z,40.87,63.00
2025-07-29T17:58:00Z,41.27,61.00
2025-07-29T17:59:00Z,41.56,59.44
2025-07-29T18:00:00Z,39.02,60.00
2025-07-29T18:01:00Z,41.81,58.00
2025-07-29T18:02:00Z,38.42,64.00
2025-07-29T18:03:00Z,37.36,64.81
2025-07-29T18:04:00Z,41.43,63.80
2025-07-29T18:05:00Z,40.05,63.07
2025-07-29T18:06:00Z,38.74,64.33
2025-07-29T18:07:00Z,42.02,62.05
2025-07-29T18:08:00Z,52.31,45.44
2025-07-29T18:09:00Z,55.12,46.66
2025-07-29T18:10:00Z,68.15,50.00
2025-07-29T18:11:00Z,75.05,29.01
2025-07-29T18:12:00Z,75.37,24.10
2025-07-29T18:13:00Z,81.10,14.00
2025-07-29T18:14:00Z,76.77,22.02
2025-07-29T18:15:00Z,71.73,34.90
2025-07-29T18:16:00Z,68.00,36.00
2025-07-29T18:17:00Z,59.99,40.00
2025-07-29T18:18:00Z,65.70,42.30
2025-07-29T18:19:00Z,45.00,54.00
2025-07-29T18:20:00Z,42.40,66.00
2025-07-29T18:21:00Z,42.40,58.62
2025-07-29T18:22:00Z,42.40,62.03
2025-07-29T18:23:00Z,26.26,76.00
2025-07-29T18:24:00Z,27.00,75.82
2025-07-29T18:25:00Z,19.25,81.68
2025-07-29T18:26:00Z,31.84,71.23
2025-07-29T18:27:00Z,46.67,60.64
2025-07-29T18:28:00Z,44.78,58.47
2025-07-29T18:29:00Z,36.30,64.00
2025-07-29T18:30:00Z,37.92,71.00
2025-07-29T18:31:00Z,36.00,67.65
2025-07-29T18:32:00Z,38.33,62.48
2025-07-29T18:33:00Z,40.06,62.00
2025-07-29T18:34:00Z,48.63,59.18
2025-07-29T18:35:00Z,51.16,54.33
2025-07-29T18:36:00Z,63.15,30.94
2025-07-29T18:37:00Z,78.29,21.00
2025-07-29T18:38:00Z,73.28,25.61
2025-07-29T18:39:00Z,83.86,23.25
2025-07-29T18:40:00Z,81.24,21.86
2025-07-29T18:41:00Z,73.68,26.00
2025-07-29T18:42:00Z,52.00,36.86
2025-07-29T18:43:00Z,56.37,42.10
2025-07-29T18:44:00Z,56.37,43.70
2025-07-29T18:45:00Z,59.08,37.96
2025-07-29T18:46:00Z,84.93,20.12
2025-07-29T18:47:00Z,80.31,14.06
2025-07-29T18:48:00Z,84.00,11.59
2025-07-29T18:49:00Z,89.43,10.57
2025-07-29T18:50:00Z,95.80,8.35
2025-07-29T18:51:00Z,97.70,2.74
2025-07-29T18:52:00Z,99.00,2.74
2025-07-29T18:53:00Z,99.00,2.74
2025-07-29T18:54:00Z,99.00,2.74
