# event_ticker=KXATPCHALLENGERMATCH-26APR21DALSAI
# final_score=6-0 6-3
# score_resolution=0-6 3-6
# match_winner=Nikolas Sanchez Izquierdo
# fav_player=Enrico Dalla Valle
# dog_player=Nikolas Sanchez Izquierdo
# kalshi_date=2026-04-21
timestamp,Enrico Dalla Valle,Nikolas Sanchez Izquierdo
2026-04-20T22:10:00Z,,52.00
2026-04-21T01:43:00Z,53.00,52.00
2026-04-21T01:51:00Z,53.00,52.00
2026-04-21T02:03:00Z,53.00,52.00
2026-04-21T02:06:00Z,53.01,52.00
2026-04-21T02:09:00Z,54.00,52.00
2026-04-21T03:13:00Z,54.00,52.00
2026-04-21T03:36:00Z,54.00,48.00
2026-04-21T03:39:00Z,54.36,48.00
2026-04-21T04:05:00Z,54.00,48.00
2026-04-21T05:31:00Z,54.00,48.00
2026-04-21T05:47:00Z,54.00,46.14
2026-04-21T05:57:00Z,53.00,46.14
2026-04-21T06:11:00Z,53.00,46.14
2026-04-21T06:12:00Z,53.56,46.14
2026-04-21T06:21:00Z,53.56,49.00
2026-04-21T06:34:00Z,53.00,49.00
2026-04-21T06:35:00Z,54.00,49.00
2026-04-21T06:38:00Z,53.00,49.00
2026-04-21T07:32:00Z,53.00,49.00
2026-04-21T07:33:00Z,54.00,49.00
2026-04-21T08:00:00Z,53.00,49.00
2026-04-21T08:03:00Z,53.00,48.00
2026-04-21T08:04:00Z,53.00,48.00
2026-04-21T08:07:00Z,54.00,48.00
2026-04-21T08:08:00Z,53.00,49.00
2026-04-21T08:09:00Z,53.00,48.00
2026-04-21T08:10:00Z,53.60,48.96
2026-04-21T08:11:00Z,53.43,48.00
2026-04-21T08:13:00Z,53.00,48.72
2026-04-21T08:14:00Z,53.00,49.00
2026-04-21T08:15:00Z,52.00,48.22
2026-04-21T08:16:00Z,49.23,50.27
2026-04-21T08:17:00Z,50.00,51.00
2026-04-21T08:18:00Z,50.00,52.00
2026-04-21T08:19:00Z,47.04,53.29
2026-04-21T08:20:00Z,48.00,52.00
2026-04-21T08:21:00Z,46.00,52.00
2026-04-21T08:22:00Z,48.00,51.00
2026-04-21T08:23:00Z,42.64,56.52
2026-04-21T08:24:00Z,48.91,54.00
2026-04-21T08:25:00Z,44.00,60.35
2026-04-21T08:26:00Z,39.28,64.83
2026-04-21T08:27:00Z,33.67,69.14
2026-04-21T08:28:00Z,35.45,67.08
2026-04-21T08:29:00Z,31.99,68.63
2026-04-21T08:30:00Z,33.00,68.80
2026-04-21T08:31:00Z,33.43,68.99
2026-04-21T08:32:00Z,30.84,70.61
2026-04-21T08:33:00Z,28.10,73.11
2026-04-21T08:34:00Z,28.86,73.00
2026-04-21T08:35:00Z,29.47,71.24
2026-04-21T08:36:00Z,29.47,71.00
2026-04-21T08:37:00Z,28.90,73.00
2026-04-21T08:38:00Z,29.00,71.00
2026-04-21T08:39:00Z,28.30,73.00
2026-04-21T08:40:00Z,23.00,73.00
2026-04-21T08:41:00Z,21.10,78.79
2026-04-21T08:42:00Z,19.18,80.00
2026-04-21T08:43:00Z,15.75,84.00
2026-04-21T08:44:00Z,15.22,83.98
2026-04-21T08:45:00Z,17.00,83.75
2026-04-21T08:46:00Z,16.87,85.00
2026-04-21T08:47:00Z,16.87,84.92
2026-04-21T08:49:00Z,16.87,87.57
2026-04-21T08:50:00Z,12.04,87.31
2026-04-21T08:51:00Z,13.93,87.94
2026-04-21T08:52:00Z,14.00,88.00
2026-04-21T08:53:00Z,14.00,86.81
2026-04-21T08:54:00Z,8.00,90.00
2026-04-21T08:55:00Z,12.00,86.83
2026-04-21T08:56:00Z,11.00,90.00
2026-04-21T08:57:00Z,10.99,91.46
2026-04-21T08:58:00Z,11.07,91.00
2026-04-21T08:59:00Z,10.80,90.55
2026-04-21T09:00:00Z,13.09,87.75
2026-04-21T09:01:00Z,15.60,84.26
2026-04-21T09:02:00Z,13.76,85.88
2026-04-21T09:03:00Z,15.71,87.91
2026-04-21T09:04:00Z,13.36,87.81
2026-04-21T09:05:00Z,13.36,88.00
2026-04-21T09:06:00Z,13.36,87.88
2026-04-21T09:07:00Z,11.69,88.00
2026-04-21T09:08:00Z,14.99,88.97
2026-04-21T09:09:00Z,15.87,85.78
2026-04-21T09:10:00Z,16.00,86.00
2026-04-21T09:11:00Z,14.77,87.82
2026-04-21T09:12:00Z,13.00,86.00
2026-04-21T09:13:00Z,13.00,89.00
2026-04-21T09:14:00Z,11.40,88.96
2026-04-21T09:15:00Z,12.13,90.27
2026-04-21T09:16:00Z,9.09,91.31
2026-04-21T09:17:00Z,9.45,91.02
2026-04-21T09:18:00Z,9.87,91.55
2026-04-21T09:19:00Z,9.08,91.23
2026-04-21T09:20:00Z,5.02,94.83
2026-04-21T09:21:00Z,3.14,96.92
2026-04-21T09:22:00Z,3.94,96.00
2026-04-21T09:23:00Z,2.12,97.88
2026-04-21T09:24:00Z,1.52,98.00
2026-04-21T09:25:00Z,1.00,99.00
2026-04-21T09:26:00Z,1.32,99.00
2026-04-21T09:27:00Z,1.00,99.00
2026-04-21T09:28:00Z,1.01,99.00
2026-04-21T09:29:00Z,2.02,99.00
2026-04-21T09:30:00Z,1.48,99.00
2026-04-21T09:31:00Z,2.00,98.01
2026-04-21T09:32:00Z,2.00,98.93
2026-04-21T09:33:00Z,2.00,98.00
2026-04-21T09:34:00Z,1.58,97.18
2026-04-21T09:35:00Z,1.04,99.00
2026-04-21T09:36:00Z,2.33,98.99
2026-04-21T09:37:00Z,1.00,98.99
2026-04-21T09:38:00Z,1.00,99.00
2026-04-21T09:42:00Z,1.00,99.00
