# event_ticker=KXATPCHALLENGERMATCH-26MAR12BERRYB
# final_score=6-2 6-2
# score_resolution=2-6 2-6
# match_winner=Robin Bertrand
# fav_player=Alex Rybakov
# dog_player=Robin Bertrand
# kalshi_date=2026-03-12
timestamp,Alex Rybakov,Robin Bertrand
2026-03-12T02:30:00Z,,59.00
2026-03-12T03:08:00Z,,58.00
2026-03-12T03:20:00Z,,58.00
2026-03-12T03:23:00Z,,58.00
2026-03-12T03:43:00Z,43.00,58.00
2026-03-12T03:56:00Z,43.00,58.00
2026-03-12T04:24:00Z,43.00,58.57
2026-03-12T04:42:00Z,43.00,59.00
2026-03-12T04:47:00Z,43.00,59.00
2026-03-12T04:50:00Z,43.00,59.00
2026-03-12T04:55:00Z,43.00,59.00
2026-03-12T05:18:00Z,43.00,58.00
2026-03-12T05:26:00Z,43.00,58.00
2026-03-12T05:35:00Z,43.81,58.00
2026-03-12T05:58:00Z,44.93,58.00
2026-03-12T06:04:00Z,45.00,58.00
2026-03-12T06:11:00Z,45.00,58.00
2026-03-12T06:12:00Z,44.00,59.00
2026-03-12T06:18:00Z,44.00,58.00
2026-03-12T06:21:00Z,44.00,58.50
2026-03-12T06:24:00Z,44.00,58.50
2026-03-12T06:25:00Z,44.00,58.50
2026-03-12T06:26:00Z,44.97,58.50
2026-03-12T06:27:00Z,45.87,58.50
2026-03-12T06:28:00Z,46.00,58.50
2026-03-12T06:29:00Z,46.00,57.00
2026-03-12T06:30:00Z,45.00,57.00
2026-03-12T06:31:00Z,45.00,57.00
2026-03-12T06:32:00Z,46.00,57.00
2026-03-12T06:34:00Z,46.00,57.00
2026-03-12T06:41:00Z,46.00,57.00
2026-03-12T06:47:00Z,46.00,57.00
2026-03-12T06:49:00Z,46.00,57.00
2026-03-12T06:50:00Z,46.00,57.00
2026-03-12T06:51:00Z,46.00,57.00
2026-03-12T06:53:00Z,46.00,57.00
2026-03-12T06:57:00Z,45.00,57.00
2026-03-12T06:59:00Z,44.00,57.00
2026-03-12T09:01:00Z,36.92,65.41
2026-03-12T09:02:00Z,19.00,81.00
2026-03-12T09:03:00Z,20.00,82.01
2026-03-12T09:04:00Z,20.00,83.22
2026-03-12T09:05:00Z,19.00,83.22
2026-03-12T09:06:00Z,18.00,84.00
2026-03-12T09:07:00Z,19.92,83.00
2026-03-12T09:08:00Z,22.00,82.00
2026-03-12T09:09:00Z,21.00,80.96
2026-03-12T09:10:00Z,21.00,80.96
2026-03-12T09:11:00Z,26.00,80.96
2026-03-12T09:12:00Z,26.00,82.00
2026-03-12T09:14:00Z,21.12,80.00
2026-03-12T09:15:00Z,20.00,81.00
2026-03-12T09:16:00Z,26.00,80.56
2026-03-12T09:17:00Z,26.00,82.00
2026-03-12T09:18:00Z,26.00,82.97
2026-03-12T09:19:00Z,21.00,81.51
2026-03-12T09:20:00Z,21.00,81.00
2026-03-12T09:21:00Z,18.00,81.00
2026-03-12T09:22:00Z,18.00,82.48
2026-03-12T09:23:00Z,16.18,84.00
2026-03-12T09:24:00Z,17.00,83.80
2026-03-12T09:25:00Z,18.00,83.80
2026-03-12T09:26:00Z,22.00,81.00
2026-03-12T09:27:00Z,18.00,89.99
2026-03-12T09:28:00Z,17.00,89.99
2026-03-12T09:29:00Z,17.00,83.00
2026-03-12T09:30:00Z,20.28,80.00
2026-03-12T09:31:00Z,22.00,80.00
2026-03-12T09:32:00Z,21.00,80.00
2026-03-12T09:33:00Z,23.80,83.52
2026-03-12T09:34:00Z,18.00,87.00
2026-03-12T09:35:00Z,18.00,85.00
2026-03-12T09:36:00Z,18.00,84.00
2026-03-12T09:37:00Z,18.96,96.00
2026-03-12T09:38:00Z,15.00,86.68
2026-03-12T09:39:00Z,13.07,89.25
2026-03-12T09:40:00Z,9.00,92.36
2026-03-12T09:41:00Z,8.00,93.00
2026-03-12T09:42:00Z,4.96,95.00
2026-03-12T09:43:00Z,8.38,90.92
2026-03-12T09:44:00Z,7.23,90.63
2026-03-12T09:45:00Z,6.12,94.98
2026-03-12T09:46:00Z,4.00,94.93
2026-03-12T09:47:00Z,8.00,95.50
2026-03-12T09:48:00Z,8.92,93.00
2026-03-12T09:49:00Z,9.00,93.34
2026-03-12T09:50:00Z,13.00,93.34
2026-03-12T09:51:00Z,9.29,93.28
2026-03-12T09:52:00Z,15.71,84.26
2026-03-12T09:53:00Z,9.00,92.00
2026-03-12T09:54:00Z,5.34,95.59
2026-03-12T09:55:00Z,4.32,96.04
2026-03-12T09:56:00Z,3.00,97.92
2026-03-12T09:57:00Z,4.15,98.63
2026-03-12T09:58:00Z,1.10,99.00
2026-03-12T09:59:00Z,1.00,99.00
2026-03-12T10:00:00Z,1.00,99.00
2026-03-12T10:01:00Z,1.00,99.00
2026-03-12T10:03:00Z,1.00,99.00
2026-03-12T10:05:00Z,1.00,99.00
2026-03-12T10:06:00Z,1.00,99.00
2026-03-12T10:08:00Z,1.00,99.00
2026-03-12T10:11:00Z,1.00,99.00
