# event_ticker=KXATPCHALLENGERMATCH-26JUN03DRAKIM
# final_score=6-1 6-3
# score_resolution=1-6 3-6
# match_winner=Liam Draxl
# fav_player=Aidan Kim
# dog_player=Liam Draxl
# kalshi_date=2026-06-03
timestamp,Liam Draxl,Aidan Kim
2026-06-03T18:38:00Z,,22.00
2026-06-03T18:39:00Z,,20.00
2026-06-03T18:58:00Z,,23.00
2026-06-03T19:32:00Z,,25.00
2026-06-03T19:33:00Z,73.68,28.74
2026-06-03T19:34:00Z,68.00,28.74
2026-06-03T19:35:00Z,70.00,31.00
2026-06-03T19:36:00Z,70.00,30.00
2026-06-03T19:37:00Z,70.00,29.10
2026-06-03T19:40:00Z,68.21,31.00
2026-06-03T19:41:00Z,70.00,31.00
2026-06-03T19:46:00Z,70.00,33.00
2026-06-03T19:50:00Z,69.00,33.00
2026-06-03T19:51:00Z,69.00,33.00
2026-06-03T20:27:00Z,69.00,33.00
2026-06-03T20:28:00Z,69.00,33.00
2026-06-03T20:37:00Z,68.00,33.00
2026-06-03T20:43:00Z,68.00,35.14
2026-06-03T20:44:00Z,68.00,35.00
2026-06-03T20:45:00Z,68.00,35.93
2026-06-03T20:46:00Z,67.50,35.95
2026-06-03T20:47:00Z,66.00,35.95
2026-06-03T20:52:00Z,66.00,36.00
2026-06-03T20:53:00Z,65.00,36.00
2026-06-03T20:54:00Z,66.00,36.00
2026-06-03T20:57:00Z,66.00,36.00
2026-06-03T20:59:00Z,66.00,36.00
2026-06-03T21:12:00Z,66.00,36.00
2026-06-03T21:16:00Z,66.97,36.00
2026-06-03T21:20:00Z,66.00,36.00
2026-06-03T21:21:00Z,67.00,36.00
2026-06-03T21:24:00Z,67.00,36.00
2026-06-03T21:26:00Z,67.02,36.00
2026-06-03T21:33:00Z,66.00,35.00
2026-06-03T21:37:00Z,66.00,35.32
2026-06-03T21:38:00Z,66.00,35.32
2026-06-03T21:39:00Z,66.58,35.32
2026-06-03T21:40:00Z,67.12,35.00
2026-06-03T21:42:00Z,67.50,35.00
2026-06-03T21:43:00Z,67.50,35.00
2026-06-03T21:44:00Z,67.50,35.46
2026-06-03T21:45:00Z,67.50,35.00
2026-06-03T21:46:00Z,64.00,37.10
2026-06-03T21:47:00Z,65.90,37.10
2026-06-03T21:48:00Z,67.02,38.00
