# event_ticker=KXATPCHALLENGERMATCH-26APR28SKADRO
# final_score=6-2 6-1
# score_resolution=2-6 1-6
# match_winner=Titouan Droguet
# fav_player=Timofey Skatov
# dog_player=Titouan Droguet
# kalshi_date=2026-04-28
timestamp,Timofey Skatov,Titouan Droguet
2026-04-27T22:20:00Z,,71.00
2026-04-27T22:37:00Z,,71.00
2026-04-27T23:51:00Z,31.00,71.00
2026-04-27T23:54:00Z,29.00,71.00
2026-04-28T03:17:00Z,29.00,71.00
2026-04-28T03:59:00Z,29.00,71.00
2026-04-28T04:36:00Z,29.00,71.00
2026-04-28T05:18:00Z,29.00,71.00
2026-04-28T05:23:00Z,31.00,71.00
2026-04-28T05:27:00Z,31.00,72.00
2026-04-28T05:34:00Z,31.00,72.00
2026-04-28T05:35:00Z,31.00,72.93
2026-04-28T05:46:00Z,31.00,73.00
2026-04-28T06:00:00Z,28.00,72.00
2026-04-28T06:03:00Z,28.00,72.00
2026-04-28T06:20:00Z,28.00,73.00
2026-04-28T06:21:00Z,28.00,73.00
2026-04-28T07:01:00Z,28.00,73.00
2026-04-28T07:10:00Z,28.00,73.00
2026-04-28T07:20:00Z,28.00,73.00
2026-04-28T08:31:00Z,28.00,73.00
2026-04-28T08:34:00Z,28.00,73.00
2026-04-28T09:13:00Z,28.00,75.00
2026-04-28T09:58:00Z,28.00,73.00
2026-04-28T10:03:00Z,28.00,74.00
2026-04-28T10:04:00Z,29.00,74.00
2026-04-28T10:05:00Z,29.00,74.00
2026-04-28T10:07:00Z,29.00,74.00
2026-04-28T10:08:00Z,27.00,73.00
2026-04-28T10:10:00Z,28.00,75.02
2026-04-28T10:11:00Z,29.00,75.02
2026-04-28T10:13:00Z,28.00,72.00
2026-04-28T10:15:00Z,25.56,72.00
2026-04-28T10:17:00Z,24.00,72.00
2026-04-28T10:18:00Z,30.00,73.38
2026-04-28T10:22:00Z,30.00,77.69
2026-04-28T10:23:00Z,21.23,82.00
2026-04-28T10:24:00Z,19.00,84.00
2026-04-28T10:25:00Z,16.00,87.50
2026-04-28T10:26:00Z,12.00,89.00
2026-04-28T10:27:00Z,12.00,89.00
2026-04-28T10:28:00Z,11.45,89.02
2026-04-28T10:29:00Z,13.54,87.00
2026-04-28T10:30:00Z,13.00,87.00
2026-04-28T10:31:00Z,12.00,89.00
2026-04-28T10:34:00Z,9.00,90.99
2026-04-28T10:35:00Z,7.00,93.00
2026-04-28T10:37:00Z,7.00,93.00
2026-04-28T10:38:00Z,7.00,93.00
2026-04-28T10:40:00Z,7.00,93.00
2026-04-28T10:41:00Z,7.38,93.00
2026-04-28T10:43:00Z,6.00,93.00
2026-04-28T10:44:00Z,4.16,95.79
2026-04-28T10:45:00Z,4.16,95.00
2026-04-28T10:46:00Z,3.00,95.77
2026-04-28T10:47:00Z,3.00,98.00
2026-04-28T10:48:00Z,2.00,98.00
2026-04-28T10:49:00Z,2.00,99.00
2026-04-28T10:50:00Z,3.00,99.00
2026-04-28T10:51:00Z,1.00,99.00
2026-04-28T10:54:00Z,2.00,99.00
2026-04-28T10:55:00Z,2.00,99.00
2026-04-28T10:57:00Z,1.00,99.00
2026-04-28T10:59:00Z,2.00,98.00
2026-04-28T11:00:00Z,1.00,98.00
2026-04-28T11:01:00Z,1.00,99.00
2026-04-28T11:03:00Z,1.00,99.00
2026-04-28T11:05:00Z,1.00,99.00
