# event_ticker=KXATPCHALLENGERMATCH-26MAR26CANMUL
# final_score=4-6 7-6(5) 6-4
# score_resolution=4-6 7-6 6-4
# match_winner=Alexandre Muller
# fav_player=Alexandre Muller
# dog_player=Carlo Alberto Caniato
# kalshi_date=2026-03-26
timestamp,Alexandre Muller,Carlo Alberto Caniato
2026-03-25T22:45:00Z,73.00,
2026-03-25T23:48:00Z,73.00,
2026-03-26T01:57:00Z,72.00,
2026-03-26T02:02:00Z,72.00,
2026-03-26T02:05:00Z,72.00,
2026-03-26T03:45:00Z,72.00,
2026-03-26T03:56:00Z,72.00,29.00
2026-03-26T03:59:00Z,72.92,29.00
2026-03-26T04:36:00Z,72.92,29.00
2026-03-26T04:37:00Z,72.92,29.00
2026-03-26T04:47:00Z,72.92,29.87
2026-03-26T04:50:00Z,73.00,29.87
2026-03-26T04:51:00Z,73.00,27.00
2026-03-26T04:52:00Z,73.00,27.00
2026-03-26T04:53:00Z,73.10,27.00
2026-03-26T04:54:00Z,73.00,27.00
2026-03-26T04:58:00Z,73.00,27.00
2026-03-26T05:01:00Z,73.46,29.00
2026-03-26T05:02:00Z,73.86,29.00
2026-03-26T05:03:00Z,73.00,29.00
2026-03-26T05:06:00Z,73.00,29.00
2026-03-26T05:07:00Z,73.00,29.00
2026-03-26T05:08:00Z,74.16,29.00
2026-03-26T05:20:00Z,74.19,29.00
2026-03-26T05:22:00Z,74.19,27.00
2026-03-26T05:25:00Z,74.19,27.00
2026-03-26T05:35:00Z,74.00,27.00
2026-03-26T05:36:00Z,75.43,27.00
2026-03-26T05:38:00Z,75.00,27.00
2026-03-26T05:39:00Z,75.00,27.00
2026-03-26T05:40:00Z,75.00,27.00
2026-03-26T05:51:00Z,75.00,27.00
2026-03-26T06:02:00Z,75.00,27.00
2026-03-26T06:03:00Z,75.00,27.00
2026-03-26T06:05:00Z,75.00,27.00
2026-03-26T06:07:00Z,75.00,27.00
2026-03-26T06:18:00Z,75.00,27.00
2026-03-26T06:20:00Z,75.00,27.00
2026-03-26T06:23:00Z,75.00,27.00
2026-03-26T06:24:00Z,75.00,27.00
2026-03-26T06:29:00Z,75.00,27.00
2026-03-26T06:33:00Z,75.00,27.00
2026-03-26T06:37:00Z,75.00,27.00
2026-03-26T06:38:00Z,75.00,27.00
2026-03-26T06:41:00Z,75.00,27.00
2026-03-26T06:45:00Z,75.00,27.00
2026-03-26T06:53:00Z,75.00,27.00
2026-03-26T07:00:00Z,75.00,27.00
2026-03-26T09:01:00Z,84.00,26.00
2026-03-26T09:02:00Z,76.49,26.00
2026-03-26T09:03:00Z,78.00,26.00
2026-03-26T09:04:00Z,77.22,26.00
2026-03-26T09:05:00Z,77.00,24.10
2026-03-26T09:06:00Z,77.00,25.00
2026-03-26T09:07:00Z,73.94,30.91
2026-03-26T09:08:00Z,68.48,36.40
2026-03-26T09:09:00Z,69.37,33.28
2026-03-26T09:10:00Z,71.58,31.61
2026-03-26T09:11:00Z,69.69,31.99
2026-03-26T09:12:00Z,68.01,33.60
2026-03-26T09:13:00Z,72.22,28.81
2026-03-26T09:14:00Z,75.94,24.95
2026-03-26T09:15:00Z,74.86,28.00
2026-03-26T09:16:00Z,74.23,27.95
2026-03-26T09:17:00Z,69.65,29.34
2026-03-26T09:18:00Z,65.49,36.04
2026-03-26T09:19:00Z,61.73,40.70
2026-03-26T09:20:00Z,64.33,39.44
2026-03-26T09:21:00Z,57.67,44.46
2026-03-26T09:22:00Z,61.73,44.32
2026-03-26T09:23:00Z,56.79,46.45
2026-03-26T09:24:00Z,53.81,47.01
2026-03-26T09:25:00Z,48.86,51.67
2026-03-26T09:26:00Z,51.10,51.11
2026-03-26T09:27:00Z,53.76,46.71
2026-03-26T09:28:00Z,54.21,46.71
2026-03-26T09:29:00Z,55.07,48.54
2026-03-26T09:30:00Z,62.32,38.99
2026-03-26T09:31:00Z,58.70,41.83
2026-03-26T09:32:00Z,54.63,49.73
2026-03-26T09:33:00Z,54.64,49.47
2026-03-26T09:34:00Z,50.58,50.41
2026-03-26T09:35:00Z,56.44,46.56
2026-03-26T09:36:00Z,53.64,47.97
2026-03-26T09:37:00Z,52.00,48.87
2026-03-26T09:38:00Z,51.33,48.13
2026-03-26T09:39:00Z,51.14,50.91
2026-03-26T09:40:00Z,58.07,44.22
2026-03-26T09:41:00Z,49.01,52.79
2026-03-26T09:42:00Z,46.83,53.11
2026-03-26T09:43:00Z,44.96,57.24
2026-03-26T09:44:00Z,48.37,55.46
2026-03-26T09:45:00Z,50.74,51.96
2026-03-26T09:46:00Z,49.03,51.61
2026-03-26T09:47:00Z,52.74,58.36
2026-03-26T09:48:00Z,54.73,48.88
2026-03-26T09:49:00Z,53.03,52.18
2026-03-26T09:50:00Z,48.46,52.38
2026-03-26T09:51:00Z,44.00,56.01
2026-03-26T09:52:00Z,45.29,55.18
2026-03-26T09:53:00Z,45.06,55.41
2026-03-26T09:54:00Z,46.61,56.00
2026-03-26T09:55:00Z,50.26,53.76
2026-03-26T09:56:00Z,49.62,50.05
2026-03-26T09:57:00Z,50.95,52.04
2026-03-26T09:58:00Z,52.33,50.73
2026-03-26T09:59:00Z,54.89,48.17
2026-03-26T10:00:00Z,54.24,49.99
2026-03-26T10:01:00Z,48.40,54.06
2026-03-26T10:02:00Z,45.37,53.75
2026-03-26T10:03:00Z,46.24,54.47
2026-03-26T10:04:00Z,46.16,55.14
2026-03-26T10:05:00Z,50.41,54.86
2026-03-26T10:06:00Z,51.19,52.82
2026-03-26T10:07:00Z,52.37,49.56
2026-03-26T10:08:00Z,48.79,53.10
2026-03-26T10:09:00Z,51.51,50.18
2026-03-26T10:10:00Z,47.47,55.28
2026-03-26T10:11:00Z,44.95,55.98
2026-03-26T10:12:00Z,36.22,62.38
2026-03-26T10:13:00Z,35.28,66.96
2026-03-26T10:14:00Z,29.62,68.24
2026-03-26T10:15:00Z,20.10,79.85
2026-03-26T10:16:00Z,21.55,78.95
2026-03-26T10:17:00Z,20.58,79.54
2026-03-26T10:18:00Z,23.00,79.44
2026-03-26T10:19:00Z,22.12,77.65
2026-03-26T10:20:00Z,14.00,82.48
2026-03-26T10:21:00Z,13.13,88.15
2026-03-26T10:22:00Z,14.10,87.04
2026-03-26T10:23:00Z,14.43,89.16
2026-03-26T10:24:00Z,16.46,84.56
2026-03-26T10:25:00Z,14.23,85.87
2026-03-26T10:26:00Z,13.66,86.39
2026-03-26T10:27:00Z,21.42,74.03
2026-03-26T10:28:00Z,38.83,60.87
2026-03-26T10:29:00Z,47.19,54.78
2026-03-26T10:30:00Z,47.07,53.59
2026-03-26T10:31:00Z,44.41,58.15
2026-03-26T10:32:00Z,33.25,67.09
2026-03-26T10:33:00Z,34.37,71.78
2026-03-26T10:34:00Z,35.10,64.06
2026-03-26T10:35:00Z,44.76,55.02
2026-03-26T10:36:00Z,46.01,54.35
2026-03-26T10:37:00Z,46.40,60.15
2026-03-26T10:38:00Z,39.91,62.02
2026-03-26T10:39:00Z,42.01,60.90
2026-03-26T10:40:00Z,41.10,61.99
2026-03-26T10:41:00Z,42.51,57.20
2026-03-26T10:42:00Z,42.75,57.57
2026-03-26T10:43:00Z,38.54,62.98
2026-03-26T10:44:00Z,44.15,56.63
2026-03-26T10:45:00Z,44.62,55.97
2026-03-26T10:46:00Z,42.50,59.37
2026-03-26T10:47:00Z,43.21,56.81
2026-03-26T10:48:00Z,41.06,57.64
2026-03-26T10:49:00Z,37.43,63.09
2026-03-26T10:50:00Z,43.63,56.67
2026-03-26T10:51:00Z,51.27,51.62
2026-03-26T10:52:00Z,55.26,48.08
2026-03-26T10:53:00Z,63.34,35.52
2026-03-26T10:54:00Z,65.50,33.98
2026-03-26T10:55:00Z,65.29,36.96
2026-03-26T10:56:00Z,65.37,36.66
2026-03-26T10:57:00Z,60.30,41.77
2026-03-26T10:58:00Z,55.82,38.72
2026-03-26T10:59:00Z,61.63,39.32
2026-03-26T11:00:00Z,61.58,39.22
2026-03-26T11:01:00Z,62.87,41.03
2026-03-26T11:02:00Z,59.52,42.24
2026-03-26T11:03:00Z,61.48,42.72
2026-03-26T11:04:00Z,61.00,43.00
2026-03-26T11:05:00Z,60.46,42.41
2026-03-26T11:06:00Z,56.62,42.51
2026-03-26T11:07:00Z,56.37,41.02
2026-03-26T11:08:00Z,71.51,27.08
2026-03-26T11:09:00Z,70.57,28.31
2026-03-26T11:10:00Z,76.39,24.37
2026-03-26T11:11:00Z,78.52,15.94
