# event_ticker=KXATPCHALLENGERMATCH-26MAR24AJDCAM
# final_score=7-6(1) 6-1
# score_resolution=7-6 6-1
# match_winner=Duje Ajdukovic
# fav_player=Duje Ajdukovic
# dog_player=Gerard Campana Lee
# kalshi_date=2026-03-24
timestamp,Duje Ajdukovic,Gerard Campana Lee
2026-03-24T05:20:00Z,72.00,
2026-03-24T05:59:00Z,72.00,27.00
2026-03-24T08:12:00Z,72.00,28.00
2026-03-24T08:45:00Z,73.00,28.00
2026-03-24T10:09:00Z,73.00,28.00
2026-03-24T10:16:00Z,73.00,28.00
2026-03-24T10:33:00Z,73.00,28.00
2026-03-24T10:51:00Z,73.00,28.00
2026-03-24T11:11:00Z,73.00,28.00
2026-03-24T11:49:00Z,72.23,28.00
2026-03-24T11:58:00Z,73.00,28.00
2026-03-24T12:06:00Z,73.00,28.00
2026-03-24T12:11:00Z,73.00,28.00
2026-03-24T12:18:00Z,73.00,28.00
2026-03-24T12:19:00Z,73.00,28.00
2026-03-24T12:48:00Z,74.00,28.00
2026-03-24T13:36:00Z,74.00,28.00
2026-03-24T14:03:00Z,75.00,28.00
2026-03-24T14:06:00Z,75.00,28.00
2026-03-24T14:59:00Z,74.98,28.00
2026-03-24T15:05:00Z,74.98,28.00
2026-03-24T15:29:00Z,74.00,28.00
2026-03-24T15:31:00Z,72.00,28.00
2026-03-24T16:03:00Z,74.97,28.00
2026-03-24T16:14:00Z,74.00,28.00
2026-03-24T16:15:00Z,74.00,28.00
2026-03-24T16:27:00Z,74.00,28.00
2026-03-24T16:28:00Z,74.00,28.00
2026-03-24T16:29:00Z,74.00,28.00
2026-03-24T16:31:00Z,74.00,28.00
2026-03-24T16:32:00Z,73.00,29.00
2026-03-24T16:33:00Z,72.00,28.33
2026-03-24T16:34:00Z,72.00,27.00
2026-03-24T16:35:00Z,76.00,28.00
2026-03-24T16:36:00Z,77.42,26.00
2026-03-24T16:37:00Z,77.42,19.03
2026-03-24T16:38:00Z,83.00,17.17
2026-03-24T16:39:00Z,82.00,17.17
2026-03-24T16:41:00Z,87.03,14.47
2026-03-24T16:42:00Z,89.00,14.47
2026-03-24T16:43:00Z,89.00,11.00
2026-03-24T16:44:00Z,91.00,9.00
2026-03-24T16:45:00Z,90.00,10.00
2026-03-24T16:46:00Z,91.17,6.20
2026-03-24T16:47:00Z,91.17,6.20
2026-03-24T16:48:00Z,93.00,6.20
2026-03-24T16:49:00Z,93.00,8.00
2026-03-24T16:51:00Z,92.00,9.00
2026-03-24T16:52:00Z,92.00,9.00
2026-03-24T16:54:00Z,88.50,10.07
2026-03-24T16:55:00Z,87.00,10.07
2026-03-24T16:56:00Z,86.00,14.12
2026-03-24T16:57:00Z,86.00,13.33
2026-03-24T16:58:00Z,86.00,13.46
2026-03-24T16:59:00Z,89.00,12.00
2026-03-24T17:00:00Z,89.00,13.46
2026-03-24T17:01:00Z,85.00,16.00
2026-03-24T17:02:00Z,83.99,17.00
2026-03-24T17:03:00Z,82.00,20.00
2026-03-24T17:04:00Z,79.38,19.00
2026-03-24T17:05:00Z,78.00,23.64
2026-03-24T17:06:00Z,67.18,29.67
2026-03-24T17:07:00Z,68.15,31.00
2026-03-24T17:08:00Z,69.86,29.00
2026-03-24T17:09:00Z,65.26,33.18
2026-03-24T17:10:00Z,65.26,31.11
2026-03-24T17:11:00Z,66.74,36.01
2026-03-24T17:12:00Z,63.00,37.96
2026-03-24T17:13:00Z,61.90,42.33
2026-03-24T17:14:00Z,61.00,48.36
2026-03-24T17:15:00Z,61.00,36.00
2026-03-24T17:16:00Z,66.00,32.30
2026-03-24T17:17:00Z,67.04,33.29
2026-03-24T17:18:00Z,67.04,31.07
2026-03-24T17:19:00Z,67.74,33.44
2026-03-24T17:20:00Z,67.74,34.65
2026-03-24T17:21:00Z,63.00,39.00
2026-03-24T17:22:00Z,63.00,37.80
2026-03-24T17:23:00Z,61.24,40.79
2026-03-24T17:24:00Z,65.62,38.14
2026-03-24T17:25:00Z,68.07,31.98
2026-03-24T17:26:00Z,76.19,25.75
2026-03-24T17:27:00Z,80.08,18.76
2026-03-24T17:28:00Z,84.00,15.01
2026-03-24T17:29:00Z,87.04,13.60
2026-03-24T17:30:00Z,88.69,11.52
2026-03-24T17:31:00Z,89.98,11.00
2026-03-24T17:32:00Z,89.98,11.00
2026-03-24T17:33:00Z,89.98,10.92
2026-03-24T17:34:00Z,89.10,11.13
2026-03-24T17:35:00Z,90.00,10.68
2026-03-24T17:36:00Z,90.33,9.88
2026-03-24T17:37:00Z,93.00,7.30
2026-03-24T17:38:00Z,93.00,8.35
2026-03-24T17:39:00Z,93.69,6.06
2026-03-24T17:40:00Z,95.00,4.87
2026-03-24T17:41:00Z,96.49,3.33
2026-03-24T17:42:00Z,97.01,3.00
2026-03-24T17:43:00Z,98.00,2.92
2026-03-24T17:44:00Z,97.00,2.62
2026-03-24T17:45:00Z,98.00,2.24
2026-03-24T17:46:00Z,97.02,4.68
2026-03-24T17:47:00Z,97.00,3.09
2026-03-24T17:48:00Z,97.93,2.34
2026-03-24T17:49:00Z,96.00,4.56
2026-03-24T17:50:00Z,97.77,4.01
2026-03-24T17:51:00Z,96.00,4.38
2026-03-24T17:52:00Z,97.08,3.00
2026-03-24T17:53:00Z,98.00,3.00
2026-03-24T17:54:00Z,98.87,1.78
2026-03-24T17:55:00Z,98.00,1.92
2026-03-24T17:56:00Z,98.37,2.14
2026-03-24T17:57:00Z,99.00,1.07
2026-03-24T17:58:00Z,99.00,1.07
2026-03-24T17:59:00Z,99.00,1.00
2026-03-24T18:00:00Z,99.00,1.00
2026-03-24T18:01:00Z,99.00,1.00
2026-03-24T18:02:00Z,99.00,1.00
2026-03-24T18:03:00Z,99.00,1.00
2026-03-24T18:04:00Z,99.00,1.00
2026-03-24T18:09:00Z,99.00,1.00
