# event_ticker=KXATPCHALLENGERMATCH-26FEB24SACBRU
# final_score=7-6(5) 6-2
# score_resolution=6-7 2-6
# match_winner=Petr Brunclik
# fav_player=Vitaliy Sachko
# dog_player=Petr Brunclik
# kalshi_date=2026-02-24
timestamp,Vitaliy Sachko,Petr Brunclik
2026-02-24T02:10:00Z,,52.00
2026-02-24T02:38:00Z,50.00,52.00
2026-02-24T03:40:00Z,50.00,52.00
2026-02-24T04:43:00Z,50.00,52.00
2026-02-24T06:19:00Z,50.00,53.00
2026-02-24T06:46:00Z,46.00,53.00
2026-02-24T06:56:00Z,47.00,53.00
2026-02-24T07:47:00Z,45.00,53.00
2026-02-24T08:16:00Z,45.00,53.00
2026-02-24T09:19:00Z,46.00,53.00
2026-02-24T09:26:00Z,46.00,56.00
2026-02-24T10:22:00Z,46.00,57.00
2026-02-24T10:26:00Z,48.00,57.00
2026-02-24T11:06:00Z,48.00,57.00
2026-02-24T11:33:00Z,48.00,57.00
2026-02-24T11:37:00Z,48.00,57.00
2026-02-24T11:46:00Z,48.00,57.00
2026-02-24T11:48:00Z,48.00,57.00
2026-02-24T11:56:00Z,48.00,57.00
2026-02-24T12:03:00Z,48.00,57.00
2026-02-24T12:10:00Z,48.00,57.00
2026-02-24T12:14:00Z,48.00,57.00
2026-02-24T12:19:00Z,48.00,57.00
2026-02-24T12:23:00Z,48.00,57.00
2026-02-24T12:48:00Z,47.00,57.00
2026-02-24T12:49:00Z,47.00,57.00
2026-02-24T12:50:00Z,47.00,57.00
2026-02-24T12:51:00Z,48.00,57.00
2026-02-24T12:52:00Z,43.50,58.00
2026-02-24T12:53:00Z,46.47,57.92
2026-02-24T12:54:00Z,45.30,56.23
2026-02-24T12:55:00Z,47.16,54.21
2026-02-24T12:56:00Z,47.00,52.90
2026-02-24T12:57:00Z,45.18,57.46
2026-02-24T12:58:00Z,45.10,54.03
2026-02-24T12:59:00Z,48.00,54.03
2026-02-24T13:00:00Z,47.00,53.93
2026-02-24T13:01:00Z,46.77,55.00
2026-02-24T13:02:00Z,45.98,55.00
2026-02-24T13:03:00Z,45.00,56.94
2026-02-24T13:04:00Z,42.43,56.94
2026-02-24T13:05:00Z,42.00,58.18
2026-02-24T13:06:00Z,49.00,58.18
2026-02-24T13:07:00Z,49.00,53.00
2026-02-24T13:09:00Z,50.43,53.00
2026-02-24T13:10:00Z,46.00,53.00
2026-02-24T13:11:00Z,48.00,59.00
2026-02-24T13:12:00Z,48.00,60.00
2026-02-24T13:13:00Z,43.00,59.35
2026-02-24T13:14:00Z,46.00,59.35
2026-02-24T13:15:00Z,43.93,59.35
2026-02-24T13:16:00Z,47.43,54.00
2026-02-24T13:17:00Z,49.00,54.00
2026-02-24T13:18:00Z,53.93,54.00
2026-02-24T13:19:00Z,53.67,54.00
2026-02-24T13:20:00Z,59.43,54.00
2026-02-24T13:21:00Z,49.72,51.00
2026-02-24T13:22:00Z,44.25,51.00
2026-02-24T13:23:00Z,47.00,59.00
2026-02-24T13:24:00Z,49.00,59.00
2026-02-24T13:25:00Z,49.88,52.94
2026-02-24T13:26:00Z,50.00,52.94
2026-02-24T13:27:00Z,50.22,51.82
2026-02-24T13:28:00Z,49.00,55.00
2026-02-24T13:29:00Z,45.00,58.00
2026-02-24T13:30:00Z,48.82,58.00
2026-02-24T13:31:00Z,52.24,50.24
