# event_ticker=KXATPMATCH-26MAR29OCONAV
# final_score=6-4 7-6(8)
# score_resolution=4-6 6-7
# match_winner=Mariano Navone
# fav_player=Christopher O'Connell
# dog_player=Mariano Navone
# kalshi_date=2026-03-29
timestamp,Christopher O'Connell,Mariano Navone
2026-03-30T20:42:00Z,,76.00
2026-03-30T22:55:00Z,25.65,76.00
2026-03-30T23:53:00Z,25.65,74.00
2026-03-31T00:03:00Z,25.65,74.00
2026-03-31T00:43:00Z,27.00,74.00
2026-03-31T01:50:00Z,27.00,75.00
2026-03-31T02:36:00Z,27.00,75.00
2026-03-31T02:37:00Z,27.00,74.00
2026-03-31T02:42:00Z,27.00,74.00
2026-03-31T02:49:00Z,27.00,74.00
2026-03-31T02:50:00Z,27.00,74.58
2026-03-31T03:09:00Z,27.00,74.00
2026-03-31T03:12:00Z,26.00,74.00
2026-03-31T03:13:00Z,26.00,75.00
2026-03-31T03:39:00Z,26.00,75.00
2026-03-31T03:42:00Z,26.00,75.00
2026-03-31T03:46:00Z,26.00,75.00
2026-03-31T03:54:00Z,26.00,75.00
2026-03-31T03:56:00Z,27.00,75.00
2026-03-31T03:58:00Z,27.00,75.00
2026-03-31T04:11:00Z,27.00,75.00
2026-03-31T04:12:00Z,27.00,75.00
2026-03-31T04:15:00Z,27.00,75.00
2026-03-31T04:17:00Z,27.00,75.00
2026-03-31T04:18:00Z,27.00,75.00
2026-03-31T04:30:00Z,27.00,75.00
2026-03-31T04:32:00Z,27.00,75.00
2026-03-31T04:38:00Z,27.00,75.00
2026-03-31T04:45:00Z,25.00,75.00
2026-03-31T04:47:00Z,25.00,75.00
2026-03-31T04:49:00Z,25.00,75.00
2026-03-31T04:52:00Z,26.00,75.00
2026-03-31T04:56:00Z,26.00,75.00
2026-03-31T04:58:00Z,26.00,75.00
2026-03-31T05:02:00Z,26.00,75.00
2026-03-31T05:03:00Z,26.85,75.00
2026-03-31T05:09:00Z,27.00,74.00
2026-03-31T05:14:00Z,27.00,74.00
2026-03-31T05:16:00Z,27.00,75.00
2026-03-31T05:21:00Z,27.00,74.00
2026-03-31T05:22:00Z,27.00,74.00
2026-03-31T05:23:00Z,27.00,74.00
2026-03-31T05:25:00Z,27.00,74.00
2026-03-31T05:30:00Z,27.00,75.00
2026-03-31T05:32:00Z,27.00,75.00
2026-03-31T05:34:00Z,27.00,75.12
2026-03-31T05:40:00Z,27.00,75.12
2026-03-31T05:41:00Z,27.00,75.12
2026-03-31T05:46:00Z,27.00,76.00
2026-03-31T05:48:00Z,27.00,76.00
2026-03-31T05:50:00Z,27.00,75.00
2026-03-31T05:54:00Z,27.00,76.00
2026-03-31T06:00:00Z,27.00,76.00
2026-03-31T06:02:00Z,26.00,76.00
2026-03-31T06:12:00Z,26.00,76.00
2026-03-31T06:14:00Z,25.00,76.00
2026-03-31T06:20:00Z,26.00,76.00
2026-03-31T06:21:00Z,26.00,76.00
2026-03-31T06:22:00Z,26.00,76.00
2026-03-31T06:31:00Z,26.00,73.44
2026-03-31T06:33:00Z,26.00,75.00
2026-03-31T06:34:00Z,26.00,75.00
2026-03-31T06:35:00Z,26.00,75.00
