# event_ticker=KXATPCHALLENGERMATCH-26MAY13SVRBOY
# final_score=1-6 6-4 7-5
# match_winner=Tristan Boyer
# fav_player=Tristan Boyer
# dog_player=Dalibor Svrcina
# kalshi_date=2026-05-13
timestamp,Dalibor Svrcina,Tristan Boyer
2026-05-13T02:53:00Z,,21.00
2026-05-13T02:55:00Z,80.00,21.00
2026-05-13T03:47:00Z,80.00,22.00
2026-05-13T03:49:00Z,80.00,22.00
2026-05-13T04:30:00Z,80.00,22.00
2026-05-13T04:56:00Z,79.03,22.00
2026-05-13T05:03:00Z,79.03,22.00
2026-05-13T05:25:00Z,80.00,22.00
2026-05-13T06:54:00Z,80.00,22.00
2026-05-13T07:26:00Z,80.00,22.00
2026-05-13T07:37:00Z,80.00,22.00
2026-05-13T09:33:00Z,80.00,22.00
2026-05-13T09:37:00Z,80.00,22.00
2026-05-13T10:33:00Z,78.19,22.00
2026-05-13T10:35:00Z,78.19,22.00
2026-05-13T10:38:00Z,77.00,22.00
2026-05-13T12:02:00Z,80.00,22.00
2026-05-13T12:05:00Z,80.00,22.00
2026-05-13T12:11:00Z,80.00,22.26
2026-05-13T12:29:00Z,80.00,22.26
2026-05-13T12:31:00Z,80.00,22.00
2026-05-13T12:33:00Z,80.00,22.00
2026-05-13T12:34:00Z,80.00,22.00
2026-05-13T12:36:00Z,77.30,23.55
2026-05-13T12:37:00Z,80.00,22.00
2026-05-13T12:38:00Z,82.00,19.93
2026-05-13T12:39:00Z,84.86,18.50
2026-05-13T12:40:00Z,86.00,16.00
2026-05-13T12:41:00Z,86.94,13.07
2026-05-13T12:42:00Z,86.94,12.00
2026-05-13T12:43:00Z,89.00,12.00
2026-05-13T12:44:00Z,89.00,13.45
2026-05-13T12:45:00Z,88.70,10.00
2026-05-13T12:46:00Z,91.92,9.05
2026-05-13T12:47:00Z,92.58,9.05
2026-05-13T12:48:00Z,92.35,9.05
2026-05-13T12:49:00Z,91.22,9.00
2026-05-13T12:50:00Z,89.00,12.00
2026-05-13T12:51:00Z,91.00,10.00
2026-05-13T12:52:00Z,90.91,9.05
2026-05-13T12:53:00Z,92.00,9.00
2026-05-13T12:54:00Z,92.97,9.00
2026-05-13T12:55:00Z,92.00,7.99
2026-05-13T12:56:00Z,92.86,8.00
2026-05-13T12:57:00Z,94.00,8.00
2026-05-13T12:58:00Z,94.00,7.00
2026-05-13T12:59:00Z,94.23,7.00
2026-05-13T13:00:00Z,95.00,7.00
2026-05-13T13:01:00Z,95.01,7.00
2026-05-13T13:02:00Z,95.97,5.00
2026-05-13T13:03:00Z,95.97,5.00
2026-05-13T13:04:00Z,95.00,7.47
2026-05-13T13:05:00Z,94.92,9.11
2026-05-13T13:06:00Z,94.43,8.17
2026-05-13T13:08:00Z,95.00,5.60
2026-05-13T13:09:00Z,94.99,6.00
2026-05-13T13:10:00Z,96.00,6.00
2026-05-13T13:11:00Z,95.00,6.06
2026-05-13T13:12:00Z,96.00,6.06
2026-05-13T13:13:00Z,94.56,6.00
2026-05-13T13:14:00Z,94.06,6.73
2026-05-13T13:15:00Z,92.20,9.00
2026-05-13T13:16:00Z,91.00,10.32
2026-05-13T13:17:00Z,90.00,10.93
2026-05-13T13:18:00Z,89.00,11.20
2026-05-13T13:19:00Z,89.04,10.90
2026-05-13T13:20:00Z,88.30,12.35
2026-05-13T13:21:00Z,89.39,12.00
2026-05-13T13:22:00Z,90.00,10.35
2026-05-13T13:23:00Z,91.00,10.00
2026-05-13T13:24:00Z,89.00,10.00
2026-05-13T13:25:00Z,88.00,11.44
2026-05-13T13:26:00Z,88.00,12.93
2026-05-13T13:27:00Z,85.32,14.74
2026-05-13T13:28:00Z,82.32,17.60
2026-05-13T13:29:00Z,81.75,17.15
2026-05-13T13:30:00Z,80.04,20.59
2026-05-13T13:31:00Z,81.00,20.14
2026-05-13T13:32:00Z,82.25,16.72
2026-05-13T13:33:00Z,80.36,19.51
2026-05-13T13:34:00Z,79.90,20.81
2026-05-13T13:35:00Z,82.87,18.85
2026-05-13T13:36:00Z,84.98,16.98
2026-05-13T13:37:00Z,85.40,15.04
2026-05-13T13:38:00Z,87.44,16.27
2026-05-13T13:39:00Z,85.00,14.34
2026-05-13T13:40:00Z,85.00,15.83
2026-05-13T13:41:00Z,85.53,15.25
2026-05-13T13:42:00Z,86.93,14.40
2026-05-13T13:43:00Z,86.85,14.00
2026-05-13T13:44:00Z,86.85,14.00
2026-05-13T13:45:00Z,86.00,14.41
2026-05-13T13:46:00Z,82.96,17.12
2026-05-13T13:47:00Z,82.00,18.11
2026-05-13T13:48:00Z,80.02,19.79
2026-05-13T13:49:00Z,80.64,19.82
2026-05-13T13:50:00Z,82.00,18.48
2026-05-13T13:51:00Z,83.00,17.93
2026-05-13T13:52:00Z,82.29,18.98
2026-05-13T13:53:00Z,77.00,22.75
2026-05-13T13:54:00Z,77.60,23.80
2026-05-13T13:55:00Z,77.46,24.31
2026-05-13T13:56:00Z,78.40,22.54
2026-05-13T13:57:00Z,77.16,24.18
2026-05-13T13:58:00Z,76.35,27.11
2026-05-13T13:59:00Z,76.33,24.76
2026-05-13T14:00:00Z,78.16,23.56
2026-05-13T14:01:00Z,80.19,20.32
2026-05-13T14:02:00Z,78.35,20.91
2026-05-13T14:03:00Z,80.21,19.55
2026-05-13T14:04:00Z,82.59,18.50
2026-05-13T14:05:00Z,85.67,16.31
2026-05-13T14:06:00Z,90.49,10.44
2026-05-13T14:07:00Z,89.47,10.46
2026-05-13T14:08:00Z,88.03,13.09
2026-05-13T14:09:00Z,83.61,15.98
2026-05-13T14:10:00Z,82.00,19.97
2026-05-13T14:11:00Z,81.74,21.71
2026-05-13T14:12:00Z,80.20,21.78
2026-05-13T14:13:00Z,80.12,22.42
2026-05-13T14:14:00Z,85.16,19.86
2026-05-13T14:15:00Z,86.49,12.35
2026-05-13T14:16:00Z,83.87,15.39
2026-05-13T14:17:00Z,77.12,24.14
2026-05-13T14:18:00Z,70.82,28.85
2026-05-13T14:19:00Z,63.55,37.19
2026-05-13T14:20:00Z,54.15,46.30
2026-05-13T14:21:00Z,48.24,52.81
2026-05-13T14:22:00Z,46.29,54.47
2026-05-13T14:23:00Z,50.26,48.26
