# event_ticker=KXATPCHALLENGERMATCH-26APR02MELLA
# final_score=2-6 6-3 2-0 RET
# match_winner=Juan Manuel La Serna
# fav_player=Felipe Meligeni Alves
# dog_player=Juan Manuel La Serna
# kalshi_date=2026-04-02
timestamp,Felipe Meligeni Alves,Juan Manuel La Serna
2026-04-02T14:22:00Z,,36.00
2026-04-02T14:39:00Z,,36.00
2026-04-02T14:57:00Z,65.00,36.00
2026-04-02T15:54:00Z,65.00,36.00
2026-04-02T16:34:00Z,65.00,36.00
2026-04-02T16:39:00Z,63.00,36.00
2026-04-02T16:40:00Z,63.00,38.00
2026-04-02T16:44:00Z,65.00,38.00
2026-04-02T16:48:00Z,65.00,38.00
2026-04-02T17:07:00Z,64.00,38.00
2026-04-02T17:13:00Z,64.00,38.00
2026-04-02T17:14:00Z,64.00,36.00
2026-04-02T17:22:00Z,64.00,36.00
2026-04-02T17:27:00Z,64.00,36.00
2026-04-02T17:29:00Z,64.00,36.00
2026-04-02T17:33:00Z,64.28,36.00
2026-04-02T17:50:00Z,65.00,36.00
2026-04-02T18:00:00Z,64.00,36.00
2026-04-02T18:04:00Z,64.00,36.00
2026-04-02T18:05:00Z,64.00,36.00
2026-04-02T18:08:00Z,64.00,36.00
2026-04-02T18:32:00Z,64.00,36.00
2026-04-02T18:40:00Z,64.28,36.00
2026-04-02T18:41:00Z,65.00,36.00
2026-04-02T18:47:00Z,64.00,36.00
2026-04-02T18:49:00Z,64.00,35.00
2026-04-02T18:58:00Z,64.00,35.00
2026-04-02T19:57:00Z,64.00,35.00
2026-04-02T20:04:00Z,64.00,36.00
2026-04-02T20:07:00Z,65.00,36.00
2026-04-02T20:09:00Z,65.00,36.00
2026-04-02T20:16:00Z,65.00,36.00
2026-04-02T20:21:00Z,65.00,36.00
2026-04-02T20:24:00Z,65.00,36.00
2026-04-02T20:25:00Z,65.00,36.92
2026-04-02T20:29:00Z,63.00,36.92
2026-04-02T20:34:00Z,64.00,36.92
2026-04-02T20:53:00Z,64.00,36.92
2026-04-02T20:57:00Z,65.00,36.92
2026-04-02T21:00:00Z,63.00,36.92
2026-04-02T21:03:00Z,63.00,37.00
2026-04-02T21:07:00Z,63.00,37.00
2026-04-02T21:08:00Z,63.00,37.00
2026-04-02T21:11:00Z,63.00,37.00
2026-04-02T21:16:00Z,64.47,37.00
2026-04-02T21:19:00Z,64.47,38.00
2026-04-02T21:22:00Z,64.47,38.00
2026-04-02T21:23:00Z,64.47,38.00
2026-04-02T21:24:00Z,64.00,38.00
2026-04-02T21:25:00Z,64.00,38.00
2026-04-02T21:28:00Z,64.00,38.00
2026-04-02T21:29:00Z,64.00,38.00
2026-04-02T21:30:00Z,64.88,37.00
2026-04-02T21:31:00Z,65.00,37.00
2026-04-02T21:32:00Z,65.94,36.99
2026-04-02T21:33:00Z,65.07,38.60
2026-04-02T21:34:00Z,65.00,39.00
2026-04-02T21:35:00Z,62.06,39.00
2026-04-02T21:36:00Z,64.00,38.00
2026-04-02T21:37:00Z,62.04,37.81
2026-04-02T21:38:00Z,64.57,38.56
2026-04-02T21:39:00Z,64.97,37.98
2026-04-02T21:40:00Z,63.32,38.19
2026-04-02T21:41:00Z,63.22,38.15
2026-04-02T21:42:00Z,64.08,38.53
2026-04-02T21:43:00Z,64.00,38.92
2026-04-02T21:44:00Z,67.75,33.47
2026-04-02T21:45:00Z,71.11,29.39
2026-04-02T21:46:00Z,73.80,27.39
2026-04-02T21:47:00Z,78.72,19.42
2026-04-02T21:48:00Z,78.00,22.48
2026-04-02T21:49:00Z,80.33,21.71
2026-04-02T21:50:00Z,79.38,20.40
2026-04-02T21:51:00Z,79.16,21.35
2026-04-02T21:52:00Z,79.74,18.95
2026-04-02T21:53:00Z,78.05,21.75
2026-04-02T21:54:00Z,82.61,18.55
2026-04-02T21:55:00Z,83.00,18.65
2026-04-02T21:56:00Z,85.61,15.76
2026-04-02T21:57:00Z,86.76,14.75
2026-04-02T21:58:00Z,85.79,16.94
2026-04-02T21:59:00Z,84.00,15.14
2026-04-02T22:00:00Z,81.59,18.44
2026-04-02T22:01:00Z,82.91,18.72
2026-04-02T22:02:00Z,84.87,15.97
2026-04-02T22:03:00Z,83.98,15.16
2026-04-02T22:04:00Z,85.00,15.00
2026-04-02T22:05:00Z,84.17,17.51
2026-04-02T22:06:00Z,82.74,18.31
2026-04-02T22:07:00Z,81.00,20.00
2026-04-02T22:08:00Z,83.99,14.00
2026-04-02T22:09:00Z,85.93,15.34
2026-04-02T22:10:00Z,83.76,16.19
2026-04-02T22:11:00Z,84.80,16.00
2026-04-02T22:12:00Z,85.16,18.75
2026-04-02T22:13:00Z,85.86,16.00
2026-04-02T22:14:00Z,79.89,18.24
2026-04-02T22:15:00Z,82.92,19.50
2026-04-02T22:16:00Z,83.69,17.92
2026-04-02T22:17:00Z,82.36,17.46
2026-04-02T22:18:00Z,77.63,20.01
2026-04-02T22:19:00Z,77.35,22.74
2026-04-02T22:20:00Z,77.52,23.11
2026-04-02T22:21:00Z,75.08,23.30
2026-04-02T22:22:00Z,73.76,25.91
2026-04-02T22:23:00Z,68.08,35.26
2026-04-02T22:24:00Z,66.40,34.16
2026-04-02T22:25:00Z,61.81,36.13
2026-04-02T22:26:00Z,50.13,44.74
2026-04-02T22:27:00Z,53.45,49.55
2026-04-02T22:28:00Z,60.17,45.96
2026-04-02T22:29:00Z,62.43,42.28
2026-04-02T22:30:00Z,68.48,35.10
2026-04-02T22:31:00Z,75.03,28.18
2026-04-02T22:32:00Z,68.78,33.02
2026-04-02T22:33:00Z,66.65,35.14
2026-04-02T22:34:00Z,62.98,37.10
2026-04-02T22:35:00Z,62.87,38.48
2026-04-02T22:36:00Z,54.86,42.86
2026-04-02T22:37:00Z,56.35,45.49
2026-04-02T22:38:00Z,54.51,47.81
2026-04-02T22:39:00Z,58.55,43.00
2026-04-02T22:40:00Z,53.48,47.09
2026-04-02T22:41:00Z,53.20,48.63
2026-04-02T22:42:00Z,66.65,31.49
2026-04-02T22:43:00Z,71.75,31.51
2026-04-02T22:44:00Z,65.99,33.03
2026-04-02T22:45:00Z,74.42,25.95
2026-04-02T22:46:00Z,68.04,30.69
2026-04-02T22:47:00Z,75.07,22.13
2026-04-02T22:48:00Z,83.47,16.03
2026-04-02T22:49:00Z,79.42,17.61
2026-04-02T22:50:00Z,84.88,14.96
2026-04-02T22:51:00Z,85.04,16.14
2026-04-02T22:52:00Z,87.11,13.54
2026-04-02T22:53:00Z,84.15,15.85
2026-04-02T22:54:00Z,79.44,20.16
2026-04-02T22:55:00Z,76.46,26.04
2026-04-02T22:56:00Z,69.92,33.10
2026-04-02T22:57:00Z,71.41,32.05
2026-04-02T22:58:00Z,75.23,24.44
2026-04-02T22:59:00Z,66.80,32.93
2026-04-02T23:00:00Z,65.51,35.13
2026-04-02T23:01:00Z,65.62,34.54
2026-04-02T23:02:00Z,65.35,34.94
2026-04-02T23:03:00Z,68.82,35.32
2026-04-02T23:04:00Z,59.78,37.69
2026-04-02T23:05:00Z,58.21,41.76
2026-04-02T23:06:00Z,52.99,43.60
2026-04-02T23:07:00Z,51.20,47.27
2026-04-02T23:08:00Z,54.01,44.81
2026-04-02T23:09:00Z,50.78,47.13
2026-04-02T23:10:00Z,48.98,49.33
2026-04-02T23:11:00Z,44.41,56.78
2026-04-02T23:12:00Z,43.29,56.42
2026-04-02T23:13:00Z,43.54,57.99
2026-04-02T23:14:00Z,43.06,57.44
2026-04-02T23:15:00Z,41.81,60.18
2026-04-02T23:16:00Z,42.58,56.44
2026-04-02T23:17:00Z,48.27,51.62
2026-04-02T23:18:00Z,38.01,62.47
2026-04-02T23:19:00Z,35.47,64.71
2026-04-02T23:20:00Z,21.09,77.23
2026-04-02T23:21:00Z,16.41,84.30
2026-04-02T23:22:00Z,4.23,95.93
2026-04-02T23:23:00Z,1.00,99.00
2026-04-02T23:24:00Z,1.00,99.00
2026-04-02T23:25:00Z,1.00,99.00
2026-04-02T23:26:00Z,1.00,99.00
2026-04-02T23:27:00Z,1.00,99.00
2026-04-02T23:28:00Z,1.00,99.00
2026-04-02T23:29:00Z,1.00,99.00
2026-04-02T23:30:00Z,1.00,99.00
2026-04-02T23:32:00Z,1.00,99.00
