# event_ticker=KXATPMATCH-26MAR07VACBOR
# final_score=7-5 7-5
# match_winner=Valentin Vacherot
# fav_player=Valentin Vacherot
# dog_player=Nuno Borges
# kalshi_date=2026-03-07
timestamp,Valentin Vacherot,Nuno Borges
2026-03-07T10:10:00Z,,44.00
2026-03-07T11:14:00Z,57.00,44.00
2026-03-07T11:15:00Z,57.00,44.00
2026-03-07T11:20:00Z,57.00,44.00
2026-03-07T11:49:00Z,57.00,44.00
2026-03-07T12:03:00Z,57.00,44.00
2026-03-07T12:17:00Z,57.00,44.00
2026-03-07T12:23:00Z,57.00,44.00
2026-03-07T12:48:00Z,57.00,44.00
2026-03-07T12:50:00Z,57.00,44.00
2026-03-07T12:57:00Z,57.00,44.00
2026-03-07T12:58:00Z,57.00,44.00
2026-03-07T13:21:00Z,57.00,44.00
2026-03-07T13:58:00Z,57.00,45.00
2026-03-07T14:07:00Z,57.00,45.00
2026-03-07T14:12:00Z,57.00,45.00
2026-03-07T14:13:00Z,57.00,45.00
2026-03-07T14:15:00Z,57.00,45.00
2026-03-07T14:19:00Z,57.00,45.00
2026-03-07T14:21:00Z,57.00,45.00
2026-03-07T14:24:00Z,57.00,45.00
2026-03-07T14:27:00Z,57.00,45.00
2026-03-07T14:30:00Z,57.00,45.00
2026-03-07T14:31:00Z,57.00,45.00
2026-03-07T14:51:00Z,57.00,45.00
2026-03-07T14:54:00Z,57.00,45.00
2026-03-07T14:56:00Z,57.00,45.00
2026-03-07T14:58:00Z,57.00,45.00
2026-03-07T15:00:00Z,57.00,45.00
2026-03-07T15:03:00Z,57.00,45.00
2026-03-07T15:07:00Z,57.00,45.00
2026-03-07T15:16:00Z,57.00,44.00
2026-03-07T15:20:00Z,58.00,44.00
2026-03-07T15:31:00Z,57.00,44.00
2026-03-07T15:36:00Z,57.00,44.00
2026-03-07T15:38:00Z,57.00,44.46
2026-03-07T15:39:00Z,57.00,44.06
2026-03-07T15:41:00Z,57.00,44.62
2026-03-07T15:45:00Z,57.00,44.00
2026-03-07T15:46:00Z,57.00,44.00
2026-03-07T15:55:00Z,57.00,44.00
2026-03-07T15:58:00Z,57.00,45.00
2026-03-07T16:08:00Z,57.00,45.00
2026-03-07T16:13:00Z,57.00,45.00
2026-03-07T16:16:00Z,57.00,44.00
2026-03-07T16:21:00Z,57.00,45.00
2026-03-07T16:24:00Z,57.00,45.00
2026-03-07T16:25:00Z,57.00,45.00
2026-03-07T16:30:00Z,57.00,45.00
2026-03-07T16:31:00Z,57.00,45.00
