# event_ticker=KXATPCHALLENGERMATCH-26JUN02FEAHIJ
# final_score=6-1 7-6(3)
# score_resolution=1-6 6-7
# match_winner=Rinky Hijikata
# fav_player=Jacob Fearnley
# dog_player=Rinky Hijikata
# kalshi_date=2026-06-02
timestamp,Jacob Fearnley,Rinky Hijikata
2026-06-02T01:10:00Z,,45.35
2026-06-02T02:08:00Z,,47.00
2026-06-02T02:20:00Z,55.00,47.00
2026-06-02T02:40:00Z,55.00,47.00
2026-06-02T03:08:00Z,55.00,47.00
2026-06-02T03:25:00Z,55.00,47.00
2026-06-02T04:20:00Z,55.00,47.00
2026-06-02T04:22:00Z,55.00,47.00
2026-06-02T04:26:00Z,55.00,47.00
2026-06-02T04:43:00Z,55.10,47.00
2026-06-02T04:57:00Z,55.00,47.00
2026-06-02T04:59:00Z,55.00,46.00
2026-06-02T05:08:00Z,55.00,46.00
2026-06-02T05:10:00Z,55.00,46.00
2026-06-02T05:23:00Z,55.00,46.00
2026-06-02T05:39:00Z,55.00,46.00
2026-06-02T05:41:00Z,55.00,46.00
2026-06-02T05:53:00Z,55.00,46.00
2026-06-02T06:22:00Z,55.00,46.00
2026-06-02T06:27:00Z,55.00,46.00
2026-06-02T06:28:00Z,55.00,46.00
2026-06-02T06:34:00Z,55.00,46.00
2026-06-02T07:27:00Z,55.00,49.09
2026-06-02T07:29:00Z,55.00,49.00
2026-06-02T07:35:00Z,53.00,49.00
2026-06-02T07:45:00Z,53.00,49.00
2026-06-02T07:46:00Z,53.00,49.00
2026-06-02T07:48:00Z,53.00,49.00
2026-06-02T08:24:00Z,53.00,49.00
2026-06-02T09:29:00Z,53.00,49.00
2026-06-02T10:20:00Z,53.00,49.00
2026-06-02T10:39:00Z,53.00,49.00
2026-06-02T10:40:00Z,52.00,49.00
2026-06-02T11:25:00Z,52.00,49.00
2026-06-02T11:29:00Z,52.00,49.00
2026-06-02T11:33:00Z,52.00,49.00
2026-06-02T11:42:00Z,53.00,49.00
2026-06-02T11:46:00Z,53.00,50.19
2026-06-02T11:50:00Z,53.00,50.19
2026-06-02T11:57:00Z,52.00,50.19
2026-06-02T12:03:00Z,51.00,50.19
2026-06-02T12:12:00Z,51.00,50.57
2026-06-02T12:14:00Z,51.00,50.00
2026-06-02T12:15:00Z,52.39,50.00
2026-06-02T12:27:00Z,53.00,50.00
2026-06-02T12:29:00Z,53.00,50.00
2026-06-02T12:31:00Z,53.00,49.00
2026-06-02T12:33:00Z,53.00,49.72
2026-06-02T12:34:00Z,53.00,49.04
2026-06-02T12:37:00Z,53.00,50.00
2026-06-02T12:38:00Z,52.00,50.00
2026-06-02T12:39:00Z,51.73,50.00
2026-06-02T12:40:00Z,52.18,49.77
2026-06-02T12:41:00Z,48.00,53.00
2026-06-02T12:42:00Z,46.99,56.88
2026-06-02T12:43:00Z,48.00,53.04
2026-06-02T12:44:00Z,50.19,51.12
2026-06-02T12:45:00Z,49.00,50.78
2026-06-02T12:46:00Z,50.58,50.75
2026-06-02T12:47:00Z,49.00,49.86
2026-06-02T12:48:00Z,49.00,52.95
2026-06-02T12:49:00Z,47.00,54.00
2026-06-02T12:50:00Z,47.90,53.00
2026-06-02T12:51:00Z,47.88,58.12
2026-06-02T12:52:00Z,43.00,57.05
2026-06-02T12:53:00Z,43.43,62.27
2026-06-02T12:54:00Z,30.01,69.66
2026-06-02T12:55:00Z,27.35,72.04
2026-06-02T12:56:00Z,28.68,71.55
2026-06-02T12:57:00Z,28.56,72.28
2026-06-02T12:58:00Z,27.00,72.01
2026-06-02T12:59:00Z,27.00,75.00
2026-06-02T13:00:00Z,25.38,74.30
2026-06-02T13:01:00Z,22.96,76.50
2026-06-02T13:02:00Z,25.54,77.52
2026-06-02T13:03:00Z,28.00,74.75
2026-06-02T13:04:00Z,21.28,78.86
2026-06-02T13:05:00Z,21.80,78.83
2026-06-02T13:06:00Z,21.00,79.01
2026-06-02T13:07:00Z,21.00,79.02
2026-06-02T13:08:00Z,21.00,80.65
2026-06-02T13:09:00Z,21.91,79.13
2026-06-02T13:10:00Z,23.39,77.83
2026-06-02T13:11:00Z,24.92,76.27
2026-06-02T13:12:00Z,25.33,75.60
2026-06-02T13:13:00Z,30.84,69.90
2026-06-02T13:14:00Z,34.74,65.78
2026-06-02T13:15:00Z,36.92,64.83
2026-06-02T13:16:00Z,33.45,67.25
2026-06-02T13:17:00Z,35.18,64.98
2026-06-02T13:18:00Z,34.90,66.79
2026-06-02T13:19:00Z,26.12,71.82
2026-06-02T13:20:00Z,25.10,74.92
2026-06-02T13:21:00Z,25.00,73.85
2026-06-02T13:22:00Z,25.39,73.83
2026-06-02T13:23:00Z,25.92,76.34
2026-06-02T13:24:00Z,25.00,76.00
2026-06-02T13:25:00Z,27.14,74.25
2026-06-02T13:26:00Z,27.14,73.00
2026-06-02T13:27:00Z,27.98,71.37
2026-06-02T13:28:00Z,26.00,73.02
2026-06-02T13:29:00Z,28.42,70.70
2026-06-02T13:30:00Z,34.19,67.46
2026-06-02T13:31:00Z,32.24,68.76
2026-06-02T13:32:00Z,29.88,69.85
2026-06-02T13:33:00Z,31.00,73.62
2026-06-02T13:34:00Z,30.86,68.68
2026-06-02T13:35:00Z,26.86,73.10
2026-06-02T13:36:00Z,29.00,70.81
2026-06-02T13:37:00Z,29.01,71.66
2026-06-02T13:38:00Z,31.00,69.00
2026-06-02T13:39:00Z,31.00,68.30
2026-06-02T13:40:00Z,26.15,72.98
2026-06-02T13:41:00Z,26.15,74.18
2026-06-02T13:42:00Z,27.94,75.34
2026-06-02T13:43:00Z,27.82,73.97
2026-06-02T13:44:00Z,30.65,69.44
2026-06-02T13:45:00Z,31.00,69.10
2026-06-02T13:46:00Z,33.21,65.27
2026-06-02T13:47:00Z,36.17,61.04
2026-06-02T13:48:00Z,35.10,65.69
2026-06-02T13:49:00Z,27.24,73.64
2026-06-02T13:50:00Z,28.50,72.03
2026-06-02T13:51:00Z,31.99,69.11
2026-06-02T13:52:00Z,31.66,70.72
2026-06-02T13:53:00Z,32.00,70.92
2026-06-02T13:54:00Z,32.00,68.60
2026-06-02T13:55:00Z,28.10,71.99
2026-06-02T13:56:00Z,29.52,70.74
