# event_ticker=KXATPCHALLENGERMATCH-26MAR10SCHNAP
# final_score=7-6(13) 7-6(4)
# score_resolution=6-7 6-7
# match_winner=Stefano Napolitano
# fav_player=Joel Schwaerzler
# dog_player=Stefano Napolitano
# kalshi_date=2026-03-10
timestamp,Joel Schwaerzler,Stefano Napolitano
2026-03-10T03:11:00Z,56.00,
2026-03-10T03:37:00Z,64.00,
2026-03-10T04:43:00Z,64.00,45.00
2026-03-10T05:08:00Z,64.00,42.00
2026-03-10T06:08:00Z,59.08,43.00
2026-03-10T07:41:00Z,58.00,43.00
2026-03-10T08:18:00Z,56.00,47.46
2026-03-10T08:20:00Z,57.00,47.46
2026-03-10T09:48:00Z,56.00,47.46
2026-03-10T09:57:00Z,56.00,46.00
2026-03-10T10:14:00Z,58.00,46.00
2026-03-10T10:49:00Z,58.00,46.00
2026-03-10T10:58:00Z,58.00,46.00
2026-03-10T11:00:00Z,55.00,43.92
2026-03-10T11:01:00Z,52.55,50.55
2026-03-10T11:02:00Z,51.69,51.76
2026-03-10T11:03:00Z,48.86,45.96
2026-03-10T11:04:00Z,51.67,56.78
2026-03-10T11:05:00Z,51.67,51.00
2026-03-10T11:06:00Z,54.44,44.00
2026-03-10T11:08:00Z,58.08,44.00
2026-03-10T11:09:00Z,58.25,42.00
2026-03-10T11:10:00Z,53.00,42.00
2026-03-10T11:11:00Z,52.00,42.00
2026-03-10T11:12:00Z,52.00,51.00
2026-03-10T11:13:00Z,56.00,51.00
2026-03-10T11:14:00Z,56.00,43.00
2026-03-10T11:15:00Z,54.83,45.10
2026-03-10T11:17:00Z,54.83,50.00
2026-03-10T11:18:00Z,48.56,54.00
2026-03-10T11:19:00Z,46.83,59.00
2026-03-10T11:20:00Z,44.70,59.00
2026-03-10T11:21:00Z,54.00,54.75
2026-03-10T11:22:00Z,45.71,52.00
2026-03-10T11:23:00Z,45.71,52.82
2026-03-10T11:25:00Z,48.31,52.82
2026-03-10T11:26:00Z,51.00,52.70
2026-03-10T11:27:00Z,53.15,50.00
2026-03-10T11:28:00Z,54.08,50.00
2026-03-10T11:29:00Z,54.08,45.00
2026-03-10T11:30:00Z,55.00,43.05
2026-03-10T11:31:00Z,55.00,48.25
2026-03-10T11:32:00Z,55.00,49.00
2026-03-10T11:33:00Z,51.00,50.67
2026-03-10T11:34:00Z,50.66,51.00
2026-03-10T11:35:00Z,55.00,51.00
2026-03-10T11:36:00Z,57.00,51.00
2026-03-10T11:37:00Z,55.81,51.00
2026-03-10T11:38:00Z,55.81,48.00
2026-03-10T11:40:00Z,50.92,49.08
2026-03-10T11:41:00Z,50.92,48.00
2026-03-10T11:43:00Z,55.84,48.00
2026-03-10T11:44:00Z,58.91,43.02
2026-03-10T11:45:00Z,66.57,32.93
2026-03-10T11:46:00Z,66.47,38.23
2026-03-10T11:47:00Z,68.00,38.23
2026-03-10T11:48:00Z,69.49,38.00
2026-03-10T11:49:00Z,56.18,45.34
2026-03-10T11:50:00Z,59.61,42.44
2026-03-10T11:51:00Z,55.07,42.44
2026-03-10T11:52:00Z,50.85,50.04
2026-03-10T11:53:00Z,63.07,37.00
2026-03-10T11:54:00Z,62.14,41.27
2026-03-10T11:55:00Z,55.94,41.27
2026-03-10T11:56:00Z,47.36,52.84
2026-03-10T11:57:00Z,37.36,55.96
2026-03-10T11:58:00Z,52.80,63.74
2026-03-10T11:59:00Z,46.94,49.01
2026-03-10T12:00:00Z,56.00,49.01
2026-03-10T12:01:00Z,59.42,41.37
2026-03-10T12:02:00Z,50.92,50.20
2026-03-10T12:03:00Z,56.48,40.22
2026-03-10T12:04:00Z,60.95,43.67
2026-03-10T12:05:00Z,65.62,33.19
2026-03-10T12:06:00Z,64.97,34.47
2026-03-10T12:07:00Z,40.97,56.39
2026-03-10T12:08:00Z,31.12,70.28
2026-03-10T12:09:00Z,30.67,68.99
2026-03-10T12:10:00Z,30.96,68.99
2026-03-10T12:11:00Z,30.98,68.99
2026-03-10T12:12:00Z,32.81,69.95
2026-03-10T12:13:00Z,33.91,69.95
2026-03-10T12:14:00Z,35.40,66.79
2026-03-10T12:15:00Z,32.00,69.87
2026-03-10T12:16:00Z,33.38,69.37
2026-03-10T12:17:00Z,27.01,73.52
2026-03-10T12:18:00Z,23.18,75.01
2026-03-10T12:19:00Z,29.39,73.02
2026-03-10T12:20:00Z,27.27,74.59
2026-03-10T12:21:00Z,29.98,71.92
2026-03-10T12:22:00Z,31.00,71.00
2026-03-10T12:23:00Z,31.27,71.64
2026-03-10T12:24:00Z,31.50,73.52
2026-03-10T12:25:00Z,29.68,74.00
2026-03-10T12:26:00Z,28.81,74.00
2026-03-10T12:27:00Z,30.44,71.10
2026-03-10T12:28:00Z,29.63,73.80
2026-03-10T12:29:00Z,30.00,73.80
2026-03-10T12:30:00Z,36.00,67.47
2026-03-10T12:31:00Z,37.99,66.23
2026-03-10T12:32:00Z,28.99,72.77
2026-03-10T12:33:00Z,26.63,74.93
2026-03-10T12:34:00Z,33.56,66.86
2026-03-10T12:35:00Z,37.15,65.89
2026-03-10T12:36:00Z,37.36,65.18
2026-03-10T12:37:00Z,44.75,58.53
2026-03-10T12:38:00Z,43.38,60.67
2026-03-10T12:39:00Z,39.96,64.73
2026-03-10T12:40:00Z,35.03,66.60
2026-03-10T12:41:00Z,33.91,66.00
2026-03-10T12:42:00Z,35.51,64.48
2026-03-10T12:43:00Z,39.89,59.53
2026-03-10T12:44:00Z,43.03,63.30
2026-03-10T12:45:00Z,36.40,68.94
2026-03-10T12:46:00Z,33.00,70.87
2026-03-10T12:47:00Z,38.56,72.25
2026-03-10T12:48:00Z,34.94,66.43
2026-03-10T12:49:00Z,37.19,63.81
2026-03-10T12:50:00Z,36.31,67.63
2026-03-10T12:51:00Z,33.64,66.63
2026-03-10T12:52:00Z,32.13,70.44
2026-03-10T12:53:00Z,31.94,70.95
2026-03-10T12:54:00Z,40.89,63.75
2026-03-10T12:55:00Z,41.84,56.72
2026-03-10T12:56:00Z,31.77,80.29
2026-03-10T12:57:00Z,29.02,76.81
2026-03-10T12:58:00Z,32.04,73.70
2026-03-10T12:59:00Z,21.99,78.73
2026-03-10T13:00:00Z,8.28,91.59
2026-03-10T13:01:00Z,1.99,98.21
2026-03-10T13:02:00Z,1.99,99.00
2026-03-10T13:03:00Z,1.99,99.00
