# event_ticker=KXATPCHALLENGERMATCH-26MAR05CECKYM
# final_score=6-7(6) 3-3 RET
# match_winner=Marco Cecchinato
# fav_player=Jerome Kym
# dog_player=Marco Cecchinato
# kalshi_date=2026-03-05
timestamp,Jerome Kym,Marco Cecchinato
2026-03-05T04:06:00Z,71.00,
2026-03-05T05:38:00Z,70.00,
2026-03-05T05:40:00Z,70.00,
2026-03-05T06:06:00Z,70.27,
2026-03-05T06:10:00Z,71.00,
2026-03-05T06:18:00Z,71.00,
2026-03-05T06:22:00Z,71.00,
2026-03-05T06:25:00Z,71.00,
2026-03-05T06:31:00Z,70.00,
2026-03-05T06:38:00Z,70.00,
2026-03-05T06:58:00Z,70.00,32.00
2026-03-05T06:59:00Z,70.65,32.00
2026-03-05T07:01:00Z,71.00,32.00
2026-03-05T07:02:00Z,71.00,33.68
2026-03-05T07:03:00Z,69.00,33.68
2026-03-05T07:05:00Z,69.00,33.68
2026-03-05T07:11:00Z,69.00,32.00
2026-03-05T07:13:00Z,69.00,32.00
2026-03-05T07:16:00Z,69.00,32.00
2026-03-05T07:24:00Z,69.00,31.00
2026-03-05T07:27:00Z,71.00,31.00
2026-03-05T07:33:00Z,71.00,31.00
2026-03-05T07:36:00Z,71.00,31.00
2026-03-05T07:44:00Z,71.00,31.00
2026-03-05T07:46:00Z,71.00,31.00
2026-03-05T07:50:00Z,71.00,31.00
2026-03-05T07:53:00Z,71.00,31.00
2026-03-05T07:56:00Z,71.00,31.00
2026-03-05T07:57:00Z,71.19,31.00
2026-03-05T08:00:00Z,71.19,31.00
